origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,0.0000
np10_nt25,nt10_nt9,2.6427
np10_nt25,nt11_np18,0.0000
np10_nt25,nt11_nt12,2.6184
np10_nt25,nt12_nt13,2.9252
np10_nt25,nt12_nt17,2.7351
np10_nt25,nt12_nt7,2.8563
np10_nt25,nt13_nt12,2.8877
np10_nt25,nt13_nt14,2.9535
np10_nt25,nt13_nt18,2.8194
np10_nt25,nt13_nt8,2.7680
np10_nt25,nt14_nt13,2.8878
np10_nt25,nt14_nt19,2.6744
np10_nt25,nt14_nt9,2.7248
np10_nt25,nt15_np8,0.0000
np10_nt25,nt15_nt14,2.7373
np10_nt25,nt16_np17,0.0000
np10_nt25,nt16_nt17,2.5335
np10_nt25,nt17_nt12,2.5384
np10_nt25,nt17_nt18,2.7370
np10_nt25,nt18_nt13,2.7886
np10_nt25,nt18_nt17,2.7759
np10_nt25,nt18_nt19,2.7560
np10_nt25,nt19_nt14,2.6777
np10_nt25,nt19_nt18,2.7056
np10_nt25,nt1_np1,0.0000
np10_nt25,nt1_np20,0.0000
np10_nt25,nt20_np9,0.0000
np10_nt25,nt20_nt19,2.5990
np10_nt25,nt21_np15,0.0000
np10_nt25,nt21_np16,0.0000
np10_nt25,nt22_np14,0.0000
np10_nt25,nt22_nt17,2.7991
np10_nt25,nt23_np13,0.0000
np10_nt25,nt23_nt18,2.9925
np10_nt25,nt24_np12,0.0000
np10_nt25,nt24_nt19,2.7601
np10_nt25,nt25_np11,0.0000
np10_nt25,nt2_np2,0.0000
np10_nt25,nt2_nt7,2.8556
np10_nt25,nt3_np3,0.3445
np10_nt25,nt3_nt8,2.7331
np10_nt25,nt4_np4,0.0000
np10_nt25,nt4_nt9,2.7409
np10_nt25,nt5_np5,0.0000
np10_nt25,nt5_np6,2.7899
np10_nt25,nt6_np19,0.0000
np10_nt25,nt6_nt7,2.8026
np10_nt25,nt7_nt12,3.1020
np10_nt25,nt7_nt8,2.8131
np10_nt25,nt8_nt13,2.9270
np10_nt25,nt8_nt7,2.8981
np10_nt25,nt8_nt9,2.7912
np10_nt25,nt9_nt14,2.9513
np10_nt25,nt9_nt8,2.9715
np11_nt25,nt10_np7,0.0000
np11_nt25,nt10_nt9,2.5965
np11_nt25,nt11_np18,0.0000
np11_nt25,nt11_nt12,2.9186
np11_nt25,nt12_nt13,2.7751
np11_nt25,nt12_nt17,2.9839
np11_nt25,nt12_nt7,2.7641
np11_nt25,nt13_nt12,2.9622
np11_nt25,nt13_nt14,2.7159
np11_nt25,nt13_nt18,3.0948
np11_nt25,nt13_nt8,2.9493
np11_nt25,nt14_nt13,2.8497
np11_nt25,nt14_nt19,2.6628
np11_nt25,nt14_nt9,2.7787
np11_nt25,nt15_np8,0.0000
np11_nt25,nt15_nt14,2.7718
np11_nt25,nt16_np17,0.0000
np11_nt25,nt16_nt17,2.5544
np11_nt25,nt17_nt12,2.6231
np11_nt25,nt17_nt18,2.6514
np11_nt25,nt18_nt13,2.6901
np11_nt25,nt18_nt17,2.8925
np11_nt25,nt18_nt19,2.6812
np11_nt25,nt19_nt14,2.7049
np11_nt25,nt19_nt18,2.8781
np11_nt25,nt1_np1,0.0000
np11_nt25,nt1_np20,0.4720
np11_nt25,nt20_np9,0.0000
np11_nt25,nt20_nt19,2.6929
np11_nt25,nt21_np15,0.0000
np11_nt25,nt21_np16,0.0000
np11_nt25,nt22_np14,0.0000
np11_nt25,nt22_nt17,2.8756
np11_nt25,nt23_np13,0.0000
np11_nt25,nt23_nt18,2.4945
np11_nt25,nt24_np12,0.0000
np11_nt25,nt24_nt19,2.9797
np11_nt25,nt25_np10,0.0000
np11_nt25,nt2_np2,0.0000
np11_nt25,nt2_nt7,2.9912
np11_nt25,nt3_np3,0.0000
np11_nt25,nt3_nt8,2.6722
np11_nt25,nt4_np4,0.0000
np11_nt25,nt4_nt9,2.6834
np11_nt25,nt5_np5,0.0000
np11_nt25,nt5_np6,0.0000
np11_nt25,nt6_np19,0.0000
np11_nt25,nt6_nt7,2.6539
np11_nt25,nt7_nt12,2.7625
np11_nt25,nt7_nt8,2.7503
np11_nt25,nt8_nt13,2.5465
np11_nt25,nt8_nt7,2.8823
np11_nt25,nt8_nt9,2.9986
np11_nt25,nt9_nt14,3.0508
np11_nt25,nt9_nt8,2.8092
np12_nt24,nt10_np7,0.8643
np12_nt24,nt10_nt9,2.8416
np12_nt24,nt11_np18,0.0000
np12_nt24,nt11_nt12,2.7596
np12_nt24,nt12_nt13,2.6534
np12_nt24,nt12_nt17,2.8987
np12_nt24,nt12_nt7,2.8398
np12_nt24,nt13_nt12,2.5687
np12_nt24,nt13_nt14,2.7860
np12_nt24,nt13_nt18,2.8019
np12_nt24,nt13_nt8,2.7285
np12_nt24,nt14_nt13,2.7663
np12_nt24,nt14_nt19,2.7235
np12_nt24,nt14_nt9,2.8114
np12_nt24,nt15_np8,0.0000
np12_nt24,nt15_nt14,2.8306
np12_nt24,nt16_np17,0.0000
np12_nt24,nt16_nt17,2.7973
np12_nt24,nt17_nt12,2.6516
np12_nt24,nt17_nt18,2.6576
np12_nt24,nt18_nt13,2.8544
np12_nt24,nt18_nt17,2.8055
np12_nt24,nt18_nt19,2.7929
np12_nt24,nt19_nt14,2.5552
np12_nt24,nt19_nt18,2.9073
np12_nt24,nt1_np1,0.0000
np12_nt24,nt1_np20,0.0000
np12_nt24,nt20_np9,0.0000
np12_nt24,nt20_nt19,2.6223
np12_nt24,nt21_np15,0.8611
np12_nt24,nt21_np16,0.7735
np12_nt24,nt22_np14,0.0000
np12_nt24,nt22_nt17,3.1433
np12_nt24,nt23_np13,0.0000
np12_nt24,nt23_nt18,2.7798
np12_nt24,nt24_nt19,2.7064
