origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,4.9208
np10_nt25,nt10_nt9,0.7400
np10_nt25,nt11_np18,5.6750
np10_nt25,nt11_nt12,0.0000
np10_nt25,nt12_nt13,0.0000
np10_nt25,nt12_nt17,0.0000
np10_nt25,nt12_nt7,0.0000
np10_nt25,nt13_nt12,0.0000
np10_nt25,nt13_nt14,0.0000
np10_nt25,nt13_nt18,0.0000
np10_nt25,nt13_nt8,1.2032
np10_nt25,nt14_nt13,0.7776
np10_nt25,nt14_nt19,0.3796
np10_nt25,nt14_nt9,0.0000
np10_nt25,nt15_np8,5.4398
np10_nt25,nt15_nt14,0.0000
np10_nt25,nt16_np17,5.0695
np10_nt25,nt16_nt17,0.0000
np10_nt25,nt17_nt12,0.6442
np10_nt25,nt17_nt18,1.7668
np10_nt25,nt18_nt13,0.0000
np10_nt25,nt18_nt17,0.0000
np10_nt25,nt18_nt19,0.0000
np10_nt25,nt19_nt14,0.0000
np10_nt25,nt19_nt18,0.0000
np10_nt25,nt1_np1,5.4423
np10_nt25,nt1_np20,4.9718
np10_nt25,nt20_np9,5.2829
np10_nt25,nt20_nt19,0.0000
np10_nt25,nt21_np15,5.3322
np10_nt25,nt21_np16,4.4709
np10_nt25,nt22_np14,5.4792
np10_nt25,nt22_nt17,0.0000
np10_nt25,nt23_np13,4.7310
np10_nt25,nt23_nt18,0.0000
np10_nt25,nt24_np12,5.3758
np10_nt25,nt24_nt19,1.6076
np10_nt25,nt25_np11,5.6002
np10_nt25,nt2_np2,5.0571
np10_nt25,nt2_nt7,0.0000
np10_nt25,nt3_np3,5.4083
np10_nt25,nt3_nt8,0.0000
np10_nt25,nt4_np4,5.6448
np10_nt25,nt4_nt9,0.0000
np10_nt25,nt5_np5,5.2775
np10_nt25,nt5_np6,4.9061
np10_nt25,nt6_np19,5.3893
np10_nt25,nt6_nt7,0.0000
np10_nt25,nt7_nt12,0.0000
np10_nt25,nt7_nt8,0.0916
np10_nt25,nt8_nt13,0.0000
np10_nt25,nt8_nt7,0.0000
np10_nt25,nt8_nt9,1.5029
np10_nt25,nt9_nt14,0.0000
np10_nt25,nt9_nt8,0.0000
np11_nt25,nt10_np7,5.8499
np11_nt25,nt10_nt9,0.0000
np11_nt25,nt11_np18,5.3577
np11_nt25,nt11_nt12,0.0000
np11_nt25,nt12_nt13,0.0000
np11_nt25,nt12_nt17,0.0000
np11_nt25,nt12_nt7,0.0000
np11_nt25,nt13_nt12,0.0000
np11_nt25,nt13_nt14,0.0000
np11_nt25,nt13_nt18,0.4475
np11_nt25,nt13_nt8,0.7136
np11_nt25,nt14_nt13,0.0000
np11_nt25,nt14_nt19,0.0000
np11_nt25,nt14_nt9,0.0000
np11_nt25,nt15_np8,5.4515
np11_nt25,nt15_nt14,0.0000
np11_nt25,nt16_np17,5.3968
np11_nt25,nt16_nt17,0.0000
np11_nt25,nt17_nt12,0.0000
np11_nt25,nt17_nt18,0.0000
np11_nt25,nt18_nt13,0.0000
np11_nt25,nt18_nt17,1.2963
np11_nt25,nt18_nt19,0.0000
np11_nt25,nt19_nt14,0.0000
np11_nt25,nt19_nt18,0.0000
np11_nt25,nt1_np1,5.0136
np11_nt25,nt1_np20,5.3187
np11_nt25,nt20_np9,5.4026
np11_nt25,nt20_nt19,0.0000
np11_nt25,nt21_np15,5.4491
np11_nt25,nt21_np16,5.3842
np11_nt25,nt22_np14,5.8360
np11_nt25,nt22_nt17,0.0558
