origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,0.0000
np10_nt25,nt10_nt9,0.0000
np10_nt25,nt11_np18,0.0000
np10_nt25,nt11_nt12,0.0000
np10_nt25,nt12_nt13,1.8613
np10_nt25,nt12_nt17,0.0000
np10_nt25,nt12_nt7,0.0000
np10_nt25,nt13_nt12,0.0000
np10_nt25,nt13_nt14,0.0000
np10_nt25,nt13_nt18,0.0000
np10_nt25,nt13_nt8,0.0000
np10_nt25,nt14_nt13,0.0000
np10_nt25,nt14_nt19,0.3942
np10_nt25,nt14_nt9,0.0000
np10_nt25,nt15_np8,0.0000
np10_nt25,nt15_nt14,0.0000
np10_nt25,nt16_np17,0.0000
np10_nt25,nt16_nt17,0.0000
np10_nt25,nt17_nt12,0.0000
np10_nt25,nt17_nt18,0.0000
np10_nt25,nt18_nt13,0.0000
np10_nt25,nt18_nt17,0.0000
np10_nt25,nt18_nt19,0.0000
np10_nt25,nt19_nt14,0.0000
np10_nt25,nt19_nt18,0.0000
np10_nt25,nt1_np1,0.0000
np10_nt25,nt1_np20,0.0000
np10_nt25,nt20_np9,0.0000
np10_nt25,nt20_nt19,0.0000
np10_nt25,nt21_np15,0.0000
np10_nt25,nt21_np16,0.0000
np10_nt25,nt22_np14,0.0000
np10_nt25,nt22_nt17,0.0000
np10_nt25,nt23_np13,0.0000
np10_nt25,nt23_nt18,0.0000
np10_nt25,nt24_np12,0.0000
np10_nt25,nt24_nt19,0.0000
np10_nt25,nt25_np11,0.0000
np10_nt25,nt2_np2,0.0000
np10_nt25,nt2_nt7,0.0000
np10_nt25,nt3_np3,0.0000
np10_nt25,nt3_nt8,0.0000
np10_nt25,nt4_np4,1.2379
np10_nt25,nt4_nt9,0.0000
np10_nt25,nt5_np5,0.0000
np10_nt25,nt5_np6,2.5488
np10_nt25,nt6_np19,0.2094
np10_nt25,nt6_nt7,0.0000
np10_nt25,nt7_nt12,0.0000
np10_nt25,nt7_nt8,0.0000
np10_nt25,nt8_nt13,0.0000
np10_nt25,nt8_nt7,0.0000
np10_nt25,nt8_nt9,0.0000
np10_nt25,nt9_nt14,0.0000
np10_nt25,nt9_nt8,0.0000
np11_nt25,nt10_np7,0.0000
np11_nt25,nt10_nt9,0.7763
np11_nt25,nt11_np18,0.0000
np11_nt25,nt11_nt12,0.0000
np11_nt25,nt12_nt13,0.0000
np11_nt25,nt12_nt17,0.0000
np11_nt25,nt12_nt7,0.0000
np11_nt25,nt13_nt12,0.0677
np11_nt25,nt13_nt14,0.0000
np11_nt25,nt13_nt18,2.9696
np11_nt25,nt13_nt8,1.5912
np11_nt25,nt14_nt13,0.0000
np11_nt25,nt14_nt19,0.0000
np11_nt25,nt14_nt9,0.0000
np11_nt25,nt15_np8,1.3658
np11_nt25,nt15_nt14,0.0000
np11_nt25,nt16_np17,0.0000
np11_nt25,nt16_nt17,0.0000
np11_nt25,nt17_nt12,0.0000
np11_nt25,nt17_nt18,0.0000
np11_nt25,nt18_nt13,0.7717
np11_nt25,nt18_nt17,0.0000
np11_nt25,nt18_nt19,0.4623
np11_nt25,nt19_nt14,0.0000
np11_nt25,nt19_nt18,0.0000
