origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,7.0
np10_nt25,nt16_np17,14.0
np10_nt25,nt1_np1,6.0
np10_nt25,nt1_np20,8.0
np10_nt25,nt20_np9,7.0
np10_nt25,nt21_np15,55.0
np10_nt25,nt21_np16,93.0
np10_nt25,nt22_np14,74.0
np10_nt25,nt24_np12,107.0
np10_nt25,nt25_np10,6.0
np10_nt25,nt25_np11,181.0
np10_nt25,nt2_np2,12.0
np10_nt25,nt4_np4,18.0
np10_nt25,nt5_np5,18.0
np10_nt25,nt6_np19,11.0
np15_nt21,nt10_np7,7.0
np15_nt21,nt16_np17,36.0
np15_nt21,nt1_np1,28.0
np15_nt21,nt1_np20,8.0
np15_nt21,nt20_np9,4.0
np15_nt21,nt21_np15,2.0
np15_nt21,nt21_np16,48.0
np15_nt21,nt22_np14,6.0
np15_nt21,nt24_np12,4.0
np15_nt21,nt25_np10,9.0
np15_nt21,nt2_np2,6.0
np15_nt21,nt4_np4,4.0
np15_nt21,nt5_np5,2.0
np15_nt21,nt6_np19,23.0
np16_nt21,nt10_np7,17.0
np16_nt21,nt16_np17,96.0
np16_nt21,nt1_np1,59.0
np16_nt21,nt1_np20,33.0
np16_nt21,nt20_np9,26.0
np16_nt21,nt21_np15,105.0
np16_nt21,nt21_np16,1.0
np16_nt21,nt22_np14,65.0
np16_nt21,nt24_np12,43.0
np16_nt21,nt25_np10,93.0
np16_nt21,nt25_np11,24.0
np16_nt21,nt2_np2,49.0
np16_nt21,nt4_np4,21.0
np16_nt21,nt5_np5,13.0
np16_nt21,nt5_np6,10.0
np16_nt21,nt6_np19,74.0
np19_nt6,nt10_np7,30.0
np19_nt6,nt16_np17,3.0
np19_nt6,nt1_np1,37.0
np19_nt6,nt1_np20,33.0
np19_nt6,nt20_np9,8.0
np19_nt6,nt21_np15,13.0
np19_nt6,nt21_np16,4.0
np19_nt6,nt22_np14,10.0
np19_nt6,nt24_np12,5.0
np19_nt6,nt25_np10,5.0
np19_nt6,nt25_np11,6.0
np19_nt6,nt2_np2,23.0
np19_nt6,nt4_np4,18.0
np19_nt6,nt5_np5,13.0
np19_nt6,nt5_np6,5.0
np19_nt6,nt6_np19,1.0
np1_nt1,nt10_np7,16.0
np1_nt1,nt16_np17,7.0
np1_nt1,nt1_np1,4.0
np1_nt1,nt1_np20,27.0
np1_nt1,nt20_np9,6.0
np1_nt1,nt21_np15,26.0
np1_nt1,nt21_np16,3.0
np1_nt1,nt22_np14,6.0
np1_nt1,nt24_np12,1.0
np1_nt1,nt25_np10,6.0
np1_nt1,nt25_np11,2.0
np1_nt1,nt2_np2,26.0
np1_nt1,nt4_np4,9.0
np1_nt1,nt5_np5,16.0
np1_nt1,nt5_np6,12.0
np1_nt1,nt6_np19,20.0
np20_nt1,nt10_np7,15.0
np20_nt1,nt16_np17,4.0
np20_nt1,nt1_np1,112.0
np20_nt1,nt1_np20,5.0
np20_nt1,nt20_np9,3.0
np20_nt1,nt21_np15,7.0
np20_nt1,nt21_np16,2.0
np20_nt1,nt22_np14,12.0
np20_nt1,nt24_np12,8.0
np20_nt1,nt25_np10,3.0
np20_nt1,nt25_np11,1.0
np20_nt1,nt2_np2,91.0
np20_nt1,nt4_np4,51.0
np20_nt1,nt5_np5,23.0
np20_nt1,nt5_np6,55.0
np20_nt1,nt6_np19,6.0
np5_nt5,nt10_np7,48.0
np5_nt5,nt16_np17,6.0
np5_nt5,nt1_np1,1.0
np5_nt5,nt1_np20,2.0
np5_nt5,nt20_np9,23.0
np5_nt5,nt21_np15,2.0
np5_nt5,nt21_np16,3.0
np5_nt5,nt22_np14,2.0
np5_nt5,nt24_np12,1.0
np5_nt5,nt25_np10,18.0
np5_nt5,nt25_np11,25.0
np5_nt5,nt2_np2,1.0
np5_nt5,nt4_np4,3.0
np5_nt5,nt5_np5,5.0
np5_nt5,nt5_np6,60.0
np5_nt5,nt6_np19,7.0
np7_nt10,nt10_np7,5.0
np7_nt10,nt16_np17,9.0
np7_nt10,nt1_np1,1.0
np7_nt10,nt1_np20,10.0
np7_nt10,nt20_np9,35.0
np7_nt10,nt21_np15,2.0
np7_nt10,nt21_np16,9.0
np7_nt10,nt22_np14,9.0
np7_nt10,nt24_np12,23.0
np7_nt10,nt25_np10,21.0
np7_nt10,nt25_np11,28.0
np7_nt10,nt2_np2,10.0
np7_nt10,nt4_np4,14.0
np7_nt10,nt5_np5,15.0
np7_nt10,nt6_np19,23.0
np9_nt20,nt10_np7,2.0
np9_nt20,nt16_np17,30.0
np9_nt20,nt1_np1,3.0
np9_nt20,nt1_np20,3.0
np9_nt20,nt20_np9,2.0
np9_nt20,nt21_np15,13.0
np9_nt20,nt21_np16,4.0
np9_nt20,nt22_np14,26.0
np9_nt20,nt24_np12,34.0
np9_nt20,nt25_np10,32.0
np9_nt20,nt25_np11,38.0
np9_nt20,nt2_np2,5.0
np9_nt20,nt4_np4,8.0
np9_nt20,nt5_np5,15.0
np9_nt20,nt5_np6,3.0
np9_nt20,nt6_np19,12.0
