origin_edge,dest_edge,veh_per_hour
np10_nt25,nt11_np18,41.6667
np10_nt25,nt1_np1,41.6667
np10_nt25,nt1_np20,41.6667
np10_nt25,nt2_np2,41.6667
np10_nt25,nt3_np3,41.6667
np10_nt25,nt6_np19,41.6667
np11_nt25,nt11_np18,41.6667
np11_nt25,nt1_np1,41.6667
np11_nt25,nt1_np20,41.6667
np11_nt25,nt2_np2,41.6667
np11_nt25,nt3_np3,41.6667
np11_nt25,nt6_np19,41.6667
np12_nt24,nt11_np18,41.6667
np12_nt24,nt1_np1,41.6667
np12_nt24,nt1_np20,41.6667
np12_nt24,nt2_np2,41.6667
np12_nt24,nt3_np3,41.6667
np12_nt24,nt6_np19,41.6667
np13_nt23,nt11_np18,41.6667
np13_nt23,nt1_np1,41.6667
np13_nt23,nt1_np20,41.6667
np13_nt23,nt2_np2,41.6667
np13_nt23,nt3_np3,41.6667
np13_nt23,nt6_np19,41.6667
np8_nt15,nt11_np18,41.6667
np8_nt15,nt1_np1,41.6667
np8_nt15,nt1_np20,41.6667
np8_nt15,nt2_np2,41.6667
np8_nt15,nt3_np3,41.6667
np8_nt15,nt6_np19,41.6667
np9_nt20,nt11_np18,41.6667
np9_nt20,nt1_np1,41.6667
np9_nt20,nt1_np20,41.6667
np9_nt20,nt2_np2,41.6667
np9_nt20,nt3_np3,41.6667
np9_nt20,nt6_np19,41.6667
