origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,0.0000
np10_nt25,nt10_nt9,1.0079
np10_nt25,nt11_np18,2.2094
np10_nt25,nt11_nt12,0.0000
np10_nt25,nt12_nt13,0.0816
np10_nt25,nt12_nt17,0.0000
np10_nt25,nt12_nt7,0.0000
np10_nt25,nt13_nt12,0.0000
np10_nt25,nt13_nt14,0.0000
np10_nt25,nt13_nt18,0.0000
np10_nt25,nt13_nt8,0.0000
np10_nt25,nt14_nt13,0.0000
np10_nt25,nt14_nt19,0.0000
np10_nt25,nt14_nt9,0.0000
np10_nt25,nt15_np8,1.6990
np10_nt25,nt15_nt14,0.0000
np10_nt25,nt16_np17,0.0000
np10_nt25,nt16_nt17,0.0000
np10_nt25,nt17_nt12,1.2053
np10_nt25,nt17_nt18,0.0000
np10_nt25,nt18_nt13,0.0000
np10_nt25,nt18_nt17,0.0000
np10_nt25,nt18_nt19,0.0000
np10_nt25,nt19_nt14,0.0000
np10_nt25,nt19_nt18,0.0000
np10_nt25,nt1_np1,0.0000
np10_nt25,nt1_np20,0.0000
np10_nt25,nt20_np9,0.0000
np10_nt25,nt20_nt19,0.0000
np10_nt25,nt21_np15,0.0000
np10_nt25,nt21_np16,0.0000
np10_nt25,nt22_np14,1.0588
np10_nt25,nt22_nt17,0.0000
np10_nt25,nt23_np13,0.0000
np10_nt25,nt23_nt18,0.0000
np10_nt25,nt24_np12,0.0000
np10_nt25,nt24_nt19,0.0000
np10_nt25,nt25_np11,0.0000
np10_nt25,nt2_np2,0.0000
np10_nt25,nt2_nt7,0.0000
np10_nt25,nt3_np3,0.0000
np10_nt25,nt3_nt8,0.0000
np10_nt25,nt4_np4,0.0000
np10_nt25,nt4_nt9,0.0000
np10_nt25,nt5_np5,0.0000
np10_nt25,nt5_np6,0.0558
np10_nt25,nt6_np19,0.0000
np10_nt25,nt6_nt7,0.0000
np10_nt25,nt7_nt12,0.0000
np10_nt25,nt7_nt8,0.0000
np10_nt25,nt8_nt13,0.0000
np10_nt25,nt8_nt7,0.0000
np10_nt25,nt8_nt9,0.0000
np10_nt25,nt9_nt14,0.0000
np10_nt25,nt9_nt8,0.0000
np11_nt25,nt10_np7,0.0000
np11_nt25,nt10_nt9,1.4315
np11_nt25,nt11_np18,0.0000
np11_nt25,nt11_nt12,0.0000
np11_nt25,nt12_nt13,0.0000
np11_nt25,nt12_nt17,0.0000
np11_nt25,nt12_nt7,0.0000
np11_nt25,nt13_nt12,0.0000
np11_nt25,nt13_nt14,0.0000
np11_nt25,nt13_nt18,0.0000
np11_nt25,nt13_nt8,0.0000
np11_nt25,nt14_nt13,0.0000
np11_nt25,nt14_nt19,0.0000
np11_nt25,nt14_nt9,0.0000
np11_nt25,nt15_np8,0.0000
np11_nt25,nt15_nt14,0.0000
np11_nt25,nt16_np17,0.0000
np11_nt25,nt16_nt17,0.0000
np11_nt25,nt17_nt12,0.0000
np11_nt25,nt17_nt18,0.0000
np11_nt25,nt18_nt13,0.0000
np11_nt25,nt18_nt17,0.0000
np11_nt25,nt18_nt19,0.1831
np11_nt25,nt19_nt14,0.0000
np11_nt25,nt19_nt18,0.0000
np11_nt25,nt1_np1,0.0000
np11_nt25,nt1_np20,1.0555
np11_nt25,nt20_np9,0.0000
np11_nt25,nt20_nt19,0.0000
np11_nt25,nt21_np15,0.0000
np11_nt25,nt21_np16,0.0000
np11_nt25,nt22_np14,0.0000
np11_nt25,nt22_nt17,0.0000
np11_nt25,nt23_np13,0.0000
np11_nt25,nt23_nt18,0.0000
np11_nt25,nt24_np12,0.0000
np11_nt25,nt24_nt19,0.0000
np11_nt25,nt25_np10,0.0000
np11_nt25,nt2_np2,0.0000
np11_nt25,nt2_nt7,0.0000
np11_nt25,nt3_np3,0.0000
np11_nt25,nt3_nt8,0.0000
np11_nt25,nt4_np4,0.0000
np11_nt25,nt4_nt9,0.0000
np11_nt25,nt5_np5,0.0000
np11_nt25,nt5_np6,0.0000
np11_nt25,nt6_np19,0.0000
np11_nt25,nt6_nt7,0.0000
np11_nt25,nt7_nt12,0.0000
np11_nt25,nt7_nt8,0.0000
np11_nt25,nt8_nt13,0.0000
np11_nt25,nt8_nt7,0.0000
np11_nt25,nt8_nt9,0.0000
np11_nt25,nt9_nt14,0.0000
np11_nt25,nt9_nt8,0.0000
np12_nt24,nt10_np7,0.0000
np12_nt24,nt10_nt9,0.0000
np12_nt24,nt11_np18,0.0000
np12_nt24,nt11_nt12,0.0000
np12_nt24,nt12_nt13,0.0000
np12_nt24,nt12_nt17,0.6240
np12_nt24,nt12_nt7,0.4434
np12_nt24,nt13_nt12,0.9663
np12_nt24,nt13_nt14,1.6818
np12_nt24,nt13_nt18,0.0000
np12_nt24,nt13_nt8,0.0000
np12_nt24,nt14_nt13,0.0000
np12_nt24,nt14_nt19,0.0000
np12_nt24,nt14_nt9,0.0000
np12_nt24,nt15_np8,0.0000
np12_nt24,nt15_nt14,0.0000
np12_nt24,nt16_np17,2.4976
np12_nt24,nt16_nt17,0.0000
np12_nt24,nt17_nt12,0.0000
np12_nt24,nt17_nt18,0.0000
np12_nt24,nt18_nt13,0.0000
np12_nt24,nt18_nt17,0.0000
np12_nt24,nt18_nt19,0.0000
np12_nt24,nt19_nt14,0.0000
np12_nt24,nt19_nt18,0.0000
np12_nt24,nt1_np1,0.0000
np12_nt24,nt1_np20,0.0000
np12_nt24,nt20_np9,0.0000
np12_nt24,nt20_nt19,0.9534
np12_nt24,nt21_np15,0.2832
np12_nt24,nt21_np16,0.0000
np12_nt24,nt22_np14,0.0000
np12_nt24,nt22_nt17,0.0000
np12_nt24,nt23_np13,0.0000
np12_nt24,nt23_nt18,0.0000
np12_nt24,nt24_nt19,0.0000
np12_nt24,nt25_np10,0.0000
np12_nt24,nt25_np11,0.0000
np12_nt24,nt2_np2,0.0000
np12_nt24,nt2_nt7,0.9336
np12_nt24,nt3_np3,0.0000
np12_nt24,nt3_nt8,0.0000
np12_nt24,nt4_np4,0.0000
np12_nt24,nt4_nt9,0.0000
np12_nt24,nt5_np5,0.0000
np12_nt24,nt5_np6,0.0000
np12_nt24,nt6_np19,0.0000
np12_nt24,nt6_nt7,0.3934
np12_nt24,nt7_nt12,0.0000
np12_nt24,nt7_nt8,2.0396
np12_nt24,nt8_nt13,0.0000
np12_nt24,nt8_nt7,0.0000
np12_nt24,nt8_nt9,0.0000
np12_nt24,nt9_nt14,0.0000
np12_nt24,nt9_nt8,0.0000
np13_nt23,nt10_np7,71.4155
np13_nt23,nt10_nt9,0.0000
np13_nt23,nt11_np18,0.0000
np13_nt23,nt11_nt12,0.0000
np13_nt23,nt12_nt13,1.2096
np13_nt23,nt12_nt17,0.0000
np13_nt23,nt12_nt7,0.0000
np13_nt23,nt13_nt12,0.0000
np13_nt23,nt13_nt14,0.0000
np13_nt23,nt13_nt18,0.7371
np13_nt23,nt13_nt8,0.5236
np13_nt23,nt14_nt13,0.0000
np13_nt23,nt14_nt19,0.0000
np13_nt23,nt14_nt9,2.1151
np13_nt23,nt15_np8,75.7543
np13_nt23,nt15_nt14,0.0000
np13_nt23,nt16_np17,0.0000
np13_nt23,nt16_nt17,0.0000
np13_nt23,nt17_nt12,0.0000
np13_nt23,nt17_nt18,0.0000
np13_nt23,nt18_nt13,0.9257
np13_nt23,nt18_nt17,0.0000
np13_nt23,nt18_nt19,0.0000
np13_nt23,nt19_nt14,0.0000
np13_nt23,nt19_nt18,0.0000
np13_nt23,nt1_np1,0.0000
np13_nt23,nt1_np20,0.0000
np13_nt23,nt20_np9,0.0000
np13_nt23,nt20_nt19,0.0000
np13_nt23,nt21_np15,0.2548
np13_nt23,nt21_np16,0.0000
np13_nt23,nt22_np14,0.0000
np13_nt23,nt22_nt17,0.0000
np13_nt23,nt23_nt18,1.5474
np13_nt23,nt24_np12,0.0000
np13_nt23,nt24_nt19,0.0000
np13_nt23,nt25_np10,0.0000
np13_nt23,nt25_np11,0.0000
np13_nt23,nt2_np2,0.0000
np13_nt23,nt2_nt7,0.0000
np13_nt23,nt3_np3,69.7486
np13_nt23,nt3_nt8,1.9230
np13_nt23,nt4_np4,66.0550
np13_nt23,nt4_nt9,0.0000
np13_nt23,nt5_np5,69.7287
np13_nt23,nt5_np6,68.2865
np13_nt23,nt6_np19,0.0000
np13_nt23,nt6_nt7,0.0000
np13_nt23,nt7_nt12,0.0000
np13_nt23,nt7_nt8,0.0000
np13_nt23,nt8_nt13,0.0000
np13_nt23,nt8_nt7,0.5223
np13_nt23,nt8_nt9,0.0000
np13_nt23,nt9_nt14,0.0000
np13_nt23,nt9_nt8,0.0000
np14_nt22,nt10_np7,70.5464
np14_nt22,nt10_nt9,1.1774
np14_nt22,nt11_np18,0.4389
np14_nt22,nt11_nt12,0.0000
np14_nt22,nt12_nt13,2.1330
np14_nt22,nt12_nt17,0.0000
np14_nt22,nt12_nt7,0.0000
np14_nt22,nt13_nt12,0.0000
np14_nt22,nt13_nt14,0.0000
np14_nt22,nt13_nt18,0.0000
np14_nt22,nt13_nt8,0.0000
np14_nt22,nt14_nt13,0.8076
np14_nt22,nt14_nt19,0.0000
np14_nt22,nt14_nt9,0.9820
np14_nt22,nt15_np8,66.5819
np14_nt22,nt15_nt14,1.4999
np14_nt22,nt16_np17,0.0000
np14_nt22,nt16_nt17,0.0000
np14_nt22,nt17_nt12,0.0000
np14_nt22,nt17_nt18,0.0000
np14_nt22,nt18_nt13,0.3513
np14_nt22,nt18_nt17,0.8183
np14_nt22,nt18_nt19,0.0000
np14_nt22,nt19_nt14,0.0000
np14_nt22,nt19_nt18,0.0000
np14_nt22,nt1_np1,0.0000
np14_nt22,nt1_np20,0.0000
np14_nt22,nt20_np9,0.0000
np14_nt22,nt20_nt19,0.0000
np14_nt22,nt21_np15,0.4768
np14_nt22,nt21_np16,0.0836
np14_nt22,nt22_nt17,0.0000
np14_nt22,nt23_np13,0.0000
np14_nt22,nt23_nt18,0.0000
np14_nt22,nt24_np12,0.0000
np14_nt22,nt24_nt19,1.3314
np14_nt22,nt25_np10,0.4448
np14_nt22,nt25_np11,0.0000
np14_nt22,nt2_np2,0.0000
np14_nt22,nt2_nt7,0.0000
np14_nt22,nt3_np3,69.6094
np14_nt22,nt3_nt8,0.0000
np14_nt22,nt4_np4,63.8626
np14_nt22,nt4_nt9,0.0000
np14_nt22,nt5_np5,69.7517
np14_nt22,nt5_np6,73.2735
np14_nt22,nt6_np19,0.0000
np14_nt22,nt6_nt7,0.0000
np14_nt22,nt7_nt12,0.0000
np14_nt22,nt7_nt8,0.0000
np14_nt22,nt8_nt13,0.0000
np14_nt22,nt8_nt7,0.0000
np14_nt22,nt8_nt9,0.0000
np14_nt22,nt9_nt14,0.0000
np14_nt22,nt9_nt8,0.0000
np15_nt21,nt10_np7,68.4947
np15_nt21,nt10_nt9,0.2454
np15_nt21,nt11_np18,0.0000
np15_nt21,nt11_nt12,0.0000
np15_nt21,nt12_nt13,0.0000
np15_nt21,nt12_nt17,0.0000
np15_nt21,nt12_nt7,0.0000
np15_nt21,nt13_nt12,0.8871
np15_nt21,nt13_nt14,0.0000
np15_nt21,nt13_nt18,0.0000
np15_nt21,nt13_nt8,0.0000
np15_nt21,nt14_nt13,0.0000
np15_nt21,nt14_nt19,0.0338
np15_nt21,nt14_nt9,0.0000
np15_nt21,nt15_np8,67.5453
np15_nt21,nt15_nt14,0.0000
np15_nt21,nt16_np17,0.0000
np15_nt21,nt16_nt17,1.8561
np15_nt21,nt17_nt12,0.0000
np15_nt21,nt17_nt18,0.0000
np15_nt21,nt18_nt13,0.0000
np15_nt21,nt18_nt17,0.0000
np15_nt21,nt18_nt19,0.0000
np15_nt21,nt19_nt14,2.4505
np15_nt21,nt19_nt18,0.0000
np15_nt21,nt1_np1,0.0000
np15_nt21,nt1_np20,0.0000
np15_nt21,nt20_np9,2.9356
np15_nt21,nt20_nt19,0.0000
np15_nt21,nt21_np16,0.0000
np15_nt21,nt22_np14,0.0000
np15_nt21,nt22_nt17,0.0000
np15_nt21,nt23_np13,0.0000
np15_nt21,nt23_nt18,1.4947
np15_nt21,nt24_np12,0.0000
np15_nt21,nt24_nt19,0.0000
np15_nt21,nt25_np10,0.8598
np15_nt21,nt25_np11,1.2828
np15_nt21,nt2_np2,0.0000
np15_nt21,nt2_nt7,0.2633
np15_nt21,nt3_np3,74.2320
np15_nt21,nt3_nt8,0.0000
np15_nt21,nt4_np4,68.2872
np15_nt21,nt4_nt9,0.0000
np15_nt21,nt5_np5,67.9687
np15_nt21,nt5_np6,75.1608
np15_nt21,nt6_np19,0.0000
np15_nt21,nt6_nt7,0.0000
np15_nt21,nt7_nt12,0.0000
np15_nt21,nt7_nt8,0.0000
np15_nt21,nt8_nt13,0.0000
np15_nt21,nt8_nt7,0.0000
np15_nt21,nt8_nt9,1.6944
np15_nt21,nt9_nt14,0.0000
np15_nt21,nt9_nt8,0.0593
np16_nt21,nt10_np7,60.8365
np16_nt21,nt10_nt9,0.6323
np16_nt21,nt11_np18,0.0000
np16_nt21,nt11_nt12,2.5284
np16_nt21,nt12_nt13,0.0000
np16_nt21,nt12_nt17,0.0774
np16_nt21,nt12_nt7,0.0000
np16_nt21,nt13_nt12,0.0000
np16_nt21,nt13_nt14,0.4488
np16_nt21,nt13_nt18,0.0000
np16_nt21,nt13_nt8,0.0000
np16_nt21,nt14_nt13,0.0000
np16_nt21,nt14_nt19,0.0000
np16_nt21,nt14_nt9,0.0000
np16_nt21,nt15_np8,68.9828
np16_nt21,nt15_nt14,0.0000
np16_nt21,nt16_np17,0.0000
np16_nt21,nt16_nt17,0.0000
np16_nt21,nt17_nt12,0.0000
np16_nt21,nt17_nt18,0.0000
np16_nt21,nt18_nt13,0.0000
np16_nt21,nt18_nt17,0.0000
np16_nt21,nt18_nt19,0.0000
np16_nt21,nt19_nt14,0.0000
np16_nt21,nt19_nt18,0.0265
np16_nt21,nt1_np1,0.0000
np16_nt21,nt1_np20,0.0000
np16_nt21,nt20_np9,0.0000
np16_nt21,nt20_nt19,0.0000
np16_nt21,nt21_np15,0.0000
np16_nt21,nt22_np14,0.0000
np16_nt21,nt22_nt17,0.0000
np16_nt21,nt23_np13,0.0000
np16_nt21,nt23_nt18,0.0000
np16_nt21,nt24_np12,0.0000
np16_nt21,nt24_nt19,0.0000
np16_nt21,nt25_np10,0.0000
np16_nt21,nt25_np11,0.0000
np16_nt21,nt2_np2,0.0000
np16_nt21,nt2_nt7,0.0000
np16_nt21,nt3_np3,76.5853
np16_nt21,nt3_nt8,0.0000
np16_nt21,nt4_np4,74.8717
np16_nt21,nt4_nt9,0.0000
np16_nt21,nt5_np5,68.7922
np16_nt21,nt5_np6,69.2391
np16_nt21,nt6_np19,0.0000
np16_nt21,nt6_nt7,0.0000
np16_nt21,nt7_nt12,0.0000
np16_nt21,nt7_nt8,0.0000
np16_nt21,nt8_nt13,0.1743
np16_nt21,nt8_nt7,0.0000
np16_nt21,nt8_nt9,0.0000
np16_nt21,nt9_nt14,0.0000
np16_nt21,nt9_nt8,0.0000
np17_nt16,nt10_np7,66.5093
np17_nt16,nt10_nt9,1.8294
np17_nt16,nt11_np18,0.0000
np17_nt16,nt11_nt12,0.0000
np17_nt16,nt12_nt13,0.0000
np17_nt16,nt12_nt17,0.0000
np17_nt16,nt12_nt7,0.0000
np17_nt16,nt13_nt12,0.0000
np17_nt16,nt13_nt14,0.0000
np17_nt16,nt13_nt18,0.0000
np17_nt16,nt13_nt8,0.0000
np17_nt16,nt14_nt13,0.0000
np17_nt16,nt14_nt19,0.0559
np17_nt16,nt14_nt9,0.0000
np17_nt16,nt15_np8,72.5946
np17_nt16,nt15_nt14,0.0000
np17_nt16,nt16_nt17,0.8019
np17_nt16,nt17_nt12,1.9406
np17_nt16,nt17_nt18,0.0000
np17_nt16,nt18_nt13,0.0000
np17_nt16,nt18_nt17,0.0000
np17_nt16,nt18_nt19,0.0000
np17_nt16,nt19_nt14,0.0000
np17_nt16,nt19_nt18,0.0000
np17_nt16,nt1_np1,1.7943
np17_nt16,nt1_np20,0.0000
np17_nt16,nt20_np9,0.0000
np17_nt16,nt20_nt19,0.0508
np17_nt16,nt21_np15,0.0000
np17_nt16,nt21_np16,0.0000
np17_nt16,nt22_np14,0.0000
np17_nt16,nt22_nt17,0.0000
np17_nt16,nt23_np13,0.0000
np17_nt16,nt23_nt18,0.0000
np17_nt16,nt24_np12,0.0000
np17_nt16,nt24_nt19,0.0000
np17_nt16,nt25_np10,1.4270
np17_nt16,nt25_np11,0.0000
np17_nt16,nt2_np2,0.0000
np17_nt16,nt2_nt7,0.0000
np17_nt16,nt3_np3,71.2076
np17_nt16,nt3_nt8,0.0000
np17_nt16,nt4_np4,65.7900
np17_nt16,nt4_nt9,0.0000
np17_nt16,nt5_np5,70.8229
np17_nt16,nt5_np6,71.2636
np17_nt16,nt6_np19,0.0000
np17_nt16,nt6_nt7,0.0000
np17_nt16,nt7_nt12,0.0000
np17_nt16,nt7_nt8,0.0000
np17_nt16,nt8_nt13,0.0000
np17_nt16,nt8_nt7,0.0000
np17_nt16,nt8_nt9,0.0000
np17_nt16,nt9_nt14,0.0000
np17_nt16,nt9_nt8,0.0000
np18_nt11,nt10_np7,75.9052
np18_nt11,nt10_nt9,0.0000
np18_nt11,nt11_nt12,0.0000
np18_nt11,nt12_nt13,0.0000
np18_nt11,nt12_nt17,0.0000
np18_nt11,nt12_nt7,0.0000
np18_nt11,nt13_nt12,0.0000
np18_nt11,nt13_nt14,1.8615
np18_nt11,nt13_nt18,0.0000
np18_nt11,nt13_nt8,0.0000
np18_nt11,nt14_nt13,0.0000
np18_nt11,nt14_nt19,0.0000
np18_nt11,nt14_nt9,0.0000
np18_nt11,nt15_np8,71.7719
np18_nt11,nt15_nt14,0.0000
np18_nt11,nt16_np17,0.0000
np18_nt11,nt16_nt17,0.0000
np18_nt11,nt17_nt12,0.0000
np18_nt11,nt17_nt18,0.0000
np18_nt11,nt18_nt13,0.0000
np18_nt11,nt18_nt17,0.0000
np18_nt11,nt18_nt19,0.0000
np18_nt11,nt19_nt14,0.0000
np18_nt11,nt19_nt18,0.0000
np18_nt11,nt1_np1,1.1842
np18_nt11,nt1_np20,0.0000
np18_nt11,nt20_np9,0.0000
np18_nt11,nt20_nt19,0.0000
np18_nt11,nt21_np15,0.0000
np18_nt11,nt21_np16,0.0000
np18_nt11,nt22_np14,1.1101
np18_nt11,nt22_nt17,0.0000
np18_nt11,nt23_np13,0.0000
np18_nt11,nt23_nt18,0.0000
np18_nt11,nt24_np12,0.0000
np18_nt11,nt24_nt19,1.7144
np18_nt11,nt25_np10,0.0000
np18_nt11,nt25_np11,0.7457
np18_nt11,nt2_np2,0.0000
np18_nt11,nt2_nt7,0.0000
np18_nt11,nt3_np3,73.0680
np18_nt11,nt3_nt8,0.0000
np18_nt11,nt4_np4,71.7236
np18_nt11,nt4_nt9,0.0000
np18_nt11,nt5_np5,64.7412
np18_nt11,nt5_np6,68.5851
np18_nt11,nt6_np19,0.0000
np18_nt11,nt6_nt7,0.0000
np18_nt11,nt7_nt12,0.0000
np18_nt11,nt7_nt8,0.0000
np18_nt11,nt8_nt13,0.0000
np18_nt11,nt8_nt7,0.0000
np18_nt11,nt8_nt9,0.0000
np18_nt11,nt9_nt14,0.0000
np18_nt11,nt9_nt8,0.0000
np19_nt6,nt10_np7,0.0000
np19_nt6,nt10_nt9,0.0000
np19_nt6,nt11_np18,0.0000
np19_nt6,nt11_nt12,0.0000
np19_nt6,nt12_nt13,0.0000
np19_nt6,nt12_nt17,0.0000
np19_nt6,nt12_nt7,0.0000
np19_nt6,nt13_nt12,0.0000
np19_nt6,nt13_nt14,0.0000
np19_nt6,nt13_nt18,0.0000
np19_nt6,nt13_nt8,0.0000
np19_nt6,nt14_nt13,0.0000
np19_nt6,nt14_nt19,0.0000
np19_nt6,nt14_nt9,0.0000
np19_nt6,nt15_np8,0.0000
np19_nt6,nt15_nt14,0.0000
np19_nt6,nt16_np17,0.0000
np19_nt6,nt16_nt17,0.0000
np19_nt6,nt17_nt12,0.9419
np19_nt6,nt17_nt18,0.0000
np19_nt6,nt18_nt13,0.0000
np19_nt6,nt18_nt17,0.0000
np19_nt6,nt18_nt19,0.1557
np19_nt6,nt19_nt14,0.2236
np19_nt6,nt19_nt18,0.0000
np19_nt6,nt1_np1,0.0000
np19_nt6,nt1_np20,0.0000
np19_nt6,nt20_np9,0.0000
np19_nt6,nt20_nt19,0.0000
np19_nt6,nt21_np15,0.2170
np19_nt6,nt21_np16,0.0000
np19_nt6,nt22_np14,0.0000
np19_nt6,nt22_nt17,0.0000
np19_nt6,nt23_np13,0.0000
np19_nt6,nt23_nt18,0.0000
np19_nt6,nt24_np12,0.0000
np19_nt6,nt24_nt19,0.0000
np19_nt6,nt25_np10,0.0000
np19_nt6,nt25_np11,3.1937
np19_nt6,nt2_np2,1.0185
np19_nt6,nt2_nt7,0.0000
np19_nt6,nt3_np3,0.0000
np19_nt6,nt3_nt8,0.5621
np19_nt6,nt4_np4,1.2979
np19_nt6,nt4_nt9,0.0000
np19_nt6,nt5_np5,0.0000
np19_nt6,nt5_np6,0.0000
np19_nt6,nt6_nt7,0.0000
np19_nt6,nt7_nt12,0.0000
np19_nt6,nt7_nt8,0.0000
np19_nt6,nt8_nt13,0.0000
np19_nt6,nt8_nt7,1.6734
np19_nt6,nt8_nt9,0.0000
np19_nt6,nt9_nt14,0.0000
np19_nt6,nt9_nt8,0.0000
np1_nt1,nt10_np7,0.0000
np1_nt1,nt10_nt9,0.0000
np1_nt1,nt11_np18,0.4116
np1_nt1,nt11_nt12,0.0000
np1_nt1,nt12_nt13,0.0000
np1_nt1,nt12_nt17,0.0000
np1_nt1,nt12_nt7,0.0000
np1_nt1,nt13_nt12,0.0000
np1_nt1,nt13_nt14,0.1520
np1_nt1,nt13_nt18,0.0000
np1_nt1,nt13_nt8,0.0000
np1_nt1,nt14_nt13,0.0000
np1_nt1,nt14_nt19,0.0000
np1_nt1,nt14_nt9,0.0000
np1_nt1,nt15_np8,0.7472
np1_nt1,nt15_nt14,0.0000
np1_nt1,nt16_np17,0.0000
np1_nt1,nt16_nt17,1.4773
np1_nt1,nt17_nt12,0.0000
np1_nt1,nt17_nt18,0.0000
np1_nt1,nt18_nt13,0.0000
np1_nt1,nt18_nt17,0.0000
np1_nt1,nt18_nt19,0.0000
np1_nt1,nt19_nt14,0.0000
np1_nt1,nt19_nt18,0.7903
np1_nt1,nt1_np20,0.0000
np1_nt1,nt20_np9,0.0000
np1_nt1,nt20_nt19,0.0000
np1_nt1,nt21_np15,0.5306
np1_nt1,nt21_np16,0.0000
np1_nt1,nt22_np14,0.0000
np1_nt1,nt22_nt17,0.0000
np1_nt1,nt23_np13,0.0000
np1_nt1,nt23_nt18,1.5853
np1_nt1,nt24_np12,0.0000
np1_nt1,nt24_nt19,0.0000
np1_nt1,nt25_np10,0.0000
np1_nt1,nt25_np11,0.0000
np1_nt1,nt2_np2,0.0000
np1_nt1,nt2_nt7,0.0000
np1_nt1,nt3_np3,0.0000
np1_nt1,nt3_nt8,1.0127
np1_nt1,nt4_np4,0.0000
np1_nt1,nt4_nt9,0.0000
np1_nt1,nt5_np5,0.0000
np1_nt1,nt5_np6,0.0000
np1_nt1,nt6_np19,0.0000
np1_nt1,nt6_nt7,0.0000
np1_nt1,nt7_nt12,0.0000
np1_nt1,nt7_nt8,0.0000
np1_nt1,nt8_nt13,0.0000
np1_nt1,nt8_nt7,0.0000
np1_nt1,nt8_nt9,0.0000
np1_nt1,nt9_nt14,0.0000
np1_nt1,nt9_nt8,0.0000
np20_nt1,nt10_np7,0.0000
np20_nt1,nt10_nt9,0.0000
np20_nt1,nt11_np18,0.0000
np20_nt1,nt11_nt12,0.0000
np20_nt1,nt12_nt13,0.3541
np20_nt1,nt12_nt17,0.0000
np20_nt1,nt12_nt7,0.0000
np20_nt1,nt13_nt12,0.0000
np20_nt1,nt13_nt14,0.0000
np20_nt1,nt13_nt18,0.0000
np20_nt1,nt13_nt8,0.0000
np20_nt1,nt14_nt13,0.0000
np20_nt1,nt14_nt19,2.0847
np20_nt1,nt14_nt9,0.0000
np20_nt1,nt15_np8,0.0000
np20_nt1,nt15_nt14,0.0000
np20_nt1,nt16_np17,0.0000
np20_nt1,nt16_nt17,0.0000
np20_nt1,nt17_nt12,0.7590
np20_nt1,nt17_nt18,0.0000
np20_nt1,nt18_nt13,0.0000
np20_nt1,nt18_nt17,0.7733
np20_nt1,nt18_nt19,0.0000
np20_nt1,nt19_nt14,0.0000
np20_nt1,nt19_nt18,0.0000
np20_nt1,nt1_np1,0.0000
np20_nt1,nt20_np9,0.0000
np20_nt1,nt20_nt19,0.0000
np20_nt1,nt21_np15,0.0000
np20_nt1,nt21_np16,0.0000
np20_nt1,nt22_np14,0.0000
np20_nt1,nt22_nt17,0.0000
np20_nt1,nt23_np13,0.0000
np20_nt1,nt23_nt18,0.0000
np20_nt1,nt24_np12,0.7471
np20_nt1,nt24_nt19,0.0000
np20_nt1,nt25_np10,0.0000
np20_nt1,nt25_np11,0.0000
np20_nt1,nt2_np2,0.0000
np20_nt1,nt2_nt7,0.5970
np20_nt1,nt3_np3,0.0000
np20_nt1,nt3_nt8,0.0000
np20_nt1,nt4_np4,0.0000
np20_nt1,nt4_nt9,0.0000
np20_nt1,nt5_np5,0.0000
np20_nt1,nt5_np6,0.9176
np20_nt1,nt6_np19,0.0000
