origin_edge,dest_edge,veh_per_hour
np11_nt25,nt1_np1,60.0000
np11_nt25,nt2_np2,60.0000
np11_nt25,nt3_np3,60.0000
np11_nt25,nt4_np4,60.0000
np11_nt25,nt5_np5,60.0000
np12_nt24,nt1_np1,60.0000
np12_nt24,nt2_np2,60.0000
np12_nt24,nt3_np3,60.0000
np12_nt24,nt4_np4,60.0000
np12_nt24,nt5_np5,60.0000
np13_nt23,nt1_np1,60.0000
np13_nt23,nt2_np2,60.0000
np13_nt23,nt3_np3,60.0000
np13_nt23,nt4_np4,60.0000
np13_nt23,nt5_np5,60.0000
np14_nt22,nt1_np1,60.0000
np14_nt22,nt2_np2,60.0000
np14_nt22,nt3_np3,60.0000
np14_nt22,nt4_np4,60.0000
np14_nt22,nt5_np5,60.0000
np15_nt21,nt1_np1,60.0000
np15_nt21,nt2_np2,60.0000
np15_nt21,nt3_np3,60.0000
np15_nt21,nt4_np4,60.0000
np15_nt21,nt5_np5,60.0000
