origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_nt9,2.0833
np10_nt25,nt11_nt12,2.0833
np10_nt25,nt12_nt13,2.0833
np10_nt25,nt12_nt17,2.0833
np10_nt25,nt12_nt7,2.0833
np10_nt25,nt13_nt12,2.0833
np10_nt25,nt13_nt14,2.0833
np10_nt25,nt13_nt18,2.0833
np10_nt25,nt13_nt8,2.0833
np10_nt25,nt14_nt13,2.0833
np10_nt25,nt14_nt19,2.0833
np10_nt25,nt14_nt9,2.0833
np10_nt25,nt15_nt14,2.0833
np10_nt25,nt16_nt17,2.0833
np10_nt25,nt17_nt12,2.0833
np10_nt25,nt17_nt18,2.0833
np10_nt25,nt18_nt13,2.0833
np10_nt25,nt18_nt17,2.0833
np10_nt25,nt18_nt19,2.0833
np10_nt25,nt19_nt14,2.0833
np10_nt25,nt19_nt18,2.0833
np10_nt25,nt20_nt19,2.0833
np10_nt25,nt22_nt17,2.0833
np10_nt25,nt23_nt18,2.0833
np10_nt25,nt24_nt19,2.0833
np10_nt25,nt2_nt7,2.0833
np10_nt25,nt3_nt8,2.0833
np10_nt25,nt4_nt9,2.0833
np10_nt25,nt6_nt7,2.0833
np10_nt25,nt7_nt12,2.0833
np10_nt25,nt7_nt8,2.0833
np10_nt25,nt8_nt13,2.0833
np10_nt25,nt8_nt7,2.0833
np10_nt25,nt8_nt9,2.0833
np10_nt25,nt9_nt14,2.0833
np10_nt25,nt9_nt8,2.0833
np11_nt25,nt10_nt9,2.0833
np11_nt25,nt11_nt12,2.0833
np11_nt25,nt12_nt13,2.0833
np11_nt25,nt12_nt17,2.0833
np11_nt25,nt12_nt7,2.0833
np11_nt25,nt13_nt12,2.0833
np11_nt25,nt13_nt14,2.0833
np11_nt25,nt13_nt18,2.0833
np11_nt25,nt13_nt8,2.0833
np11_nt25,nt14_nt13,2.0833
np11_nt25,nt14_nt19,2.0833
np11_nt25,nt14_nt9,2.0833
np11_nt25,nt15_nt14,2.0833
np11_nt25,nt16_nt17,2.0833
np11_nt25,nt17_nt12,2.0833
np11_nt25,nt17_nt18,2.0833
np11_nt25,nt18_nt13,2.0833
np11_nt25,nt18_nt17,2.0833
np11_nt25,nt18_nt19,2.0833
np11_nt25,nt19_nt14,2.0833
np11_nt25,nt19_nt18,2.0833
np11_nt25,nt20_nt19,2.0833
np11_nt25,nt22_nt17,2.0833
np11_nt25,nt23_nt18,2.0833
np11_nt25,nt24_nt19,2.0833
np11_nt25,nt2_nt7,2.0833
np11_nt25,nt3_nt8,2.0833
np11_nt25,nt4_nt9,2.0833
np11_nt25,nt6_nt7,2.0833
np11_nt25,nt7_nt12,2.0833
np11_nt25,nt7_nt8,2.0833
np11_nt25,nt8_nt13,2.0833
np11_nt25,nt8_nt7,2.0833
np11_nt25,nt8_nt9,2.0833
np11_nt25,nt9_nt14,2.0833
np11_nt25,nt9_nt8,2.0833
np12_nt24,nt10_nt9,2.0833
np12_nt24,nt11_nt12,2.0833
np12_nt24,nt12_nt13,2.0833
np12_nt24,nt12_nt17,2.0833
np12_nt24,nt12_nt7,2.0833
np12_nt24,nt13_nt12,2.0833
np12_nt24,nt13_nt14,2.0833
np12_nt24,nt13_nt18,2.0833
np12_nt24,nt13_nt8,2.0833
np12_nt24,nt14_nt13,2.0833
np12_nt24,nt14_nt19,2.0833
np12_nt24,nt14_nt9,2.0833
np12_nt24,nt15_nt14,2.0833
np12_nt24,nt16_nt17,2.0833
np12_nt24,nt17_nt12,2.0833
np12_nt24,nt17_nt18,2.0833
np12_nt24,nt18_nt13,2.0833
np12_nt24,nt18_nt17,2.0833
np12_nt24,nt18_nt19,2.0833
np12_nt24,nt19_nt14,2.0833
np12_nt24,nt19_nt18,2.0833
np12_nt24,nt20_nt19,2.0833
np12_nt24,nt22_nt17,2.0833
np12_nt24,nt23_nt18,2.0833
np12_nt24,nt24_nt19,2.0833
np12_nt24,nt2_nt7,2.0833
np12_nt24,nt3_nt8,2.0833
np12_nt24,nt4_nt9,2.0833
np12_nt24,nt6_nt7,2.0833
np12_nt24,nt7_nt12,2.0833
np12_nt24,nt7_nt8,2.0833
np12_nt24,nt8_nt13,2.0833
np12_nt24,nt8_nt7,2.0833
np12_nt24,nt8_nt9,2.0833
np12_nt24,nt9_nt14,2.0833
np12_nt24,nt9_nt8,2.0833
np13_nt23,nt10_nt9,2.0833
np13_nt23,nt11_nt12,2.0833
np13_nt23,nt12_nt13,2.0833
np13_nt23,nt12_nt17,2.0833
np13_nt23,nt12_nt7,2.0833
np13_nt23,nt13_nt12,2.0833
np13_nt23,nt13_nt14,2.0833
np13_nt23,nt13_nt18,2.0833
np13_nt23,nt13_nt8,2.0833
np13_nt23,nt14_nt13,2.0833
np13_nt23,nt14_nt19,2.0833
np13_nt23,nt14_nt9,2.0833
np13_nt23,nt15_nt14,2.0833
np13_nt23,nt16_nt17,2.0833
np13_nt23,nt17_nt12,2.0833
np13_nt23,nt17_nt18,2.0833
np13_nt23,nt18_nt13,2.0833
np13_nt23,nt18_nt17,2.0833
np13_nt23,nt18_nt19,2.0833
np13_nt23,nt19_nt14,2.0833
np13_nt23,nt19_nt18,2.0833
np13_nt23,nt20_nt19,2.0833
np13_nt23,nt22_nt17,2.0833
