origin_edge,dest_edge,veh_per_hour
np3_nt3,nt11_np18,41.6667
np3_nt3,nt16_np17,41.6667
np3_nt3,nt21_np15,41.6667
np3_nt3,nt21_np16,41.6667
np3_nt3,nt22_np14,41.6667
np3_nt3,nt23_np13,41.6667
np4_nt4,nt11_np18,41.6667
np4_nt4,nt16_np17,41.6667
np4_nt4,nt21_np15,41.6667
np4_nt4,nt21_np16,41.6667
np4_nt4,nt22_np14,41.6667
np4_nt4,nt23_np13,41.6667
np5_nt5,nt11_np18,41.6667
np5_nt5,nt16_np17,41.6667
np5_nt5,nt21_np15,41.6667
np5_nt5,nt21_np16,41.6667
np5_nt5,nt22_np14,41.6667
np5_nt5,nt23_np13,41.6667
np6_nt5,nt11_np18,41.6667
np6_nt5,nt16_np17,41.6667
np6_nt5,nt21_np15,41.6667
np6_nt5,nt21_np16,41.6667
np6_nt5,nt22_np14,41.6667
np6_nt5,nt23_np13,41.6667
np7_nt10,nt11_np18,41.6667
np7_nt10,nt16_np17,41.6667
np7_nt10,nt21_np15,41.6667
np7_nt10,nt21_np16,41.6667
np7_nt10,nt22_np14,41.6667
np7_nt10,nt23_np13,41.6667
np8_nt15,nt11_np18,41.6667
np8_nt15,nt16_np17,41.6667
np8_nt15,nt21_np15,41.6667
np8_nt15,nt21_np16,41.6667
np8_nt15,nt22_np14,41.6667
np8_nt15,nt23_np13,41.6667
