origin_edge,dest_edge,veh_per_hour
np1_nt1,nt21_np15,60.0000
np1_nt1,nt22_np14,60.0000
np1_nt1,nt23_np13,60.0000
np1_nt1,nt24_np12,60.0000
np1_nt1,nt25_np11,60.0000
np2_nt2,nt21_np15,60.0000
np2_nt2,nt22_np14,60.0000
np2_nt2,nt23_np13,60.0000
np2_nt2,nt24_np12,60.0000
np2_nt2,nt25_np11,60.0000
np3_nt3,nt21_np15,60.0000
np3_nt3,nt22_np14,60.0000
np3_nt3,nt23_np13,60.0000
np3_nt3,nt24_np12,60.0000
np3_nt3,nt25_np11,60.0000
np4_nt4,nt21_np15,60.0000
np4_nt4,nt22_np14,60.0000
np4_nt4,nt23_np13,60.0000
np4_nt4,nt24_np12,60.0000
np4_nt4,nt25_np11,60.0000
np5_nt5,nt21_np15,60.0000
np5_nt5,nt22_np14,60.0000
np5_nt5,nt23_np13,60.0000
np5_nt5,nt24_np12,60.0000
np5_nt5,nt25_np11,60.0000
