origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,6.7963
np10_nt25,nt10_nt9,0.0000
np10_nt25,nt11_np18,6.5749
np10_nt25,nt11_nt12,0.0000
np10_nt25,nt12_nt13,0.0000
np10_nt25,nt12_nt17,0.0000
np10_nt25,nt12_nt7,0.0000
np10_nt25,nt13_nt12,0.0000
np10_nt25,nt13_nt14,0.0000
np10_nt25,nt13_nt18,0.0000
np10_nt25,nt13_nt8,0.0000
np10_nt25,nt14_nt13,0.0000
np10_nt25,nt14_nt19,0.0000
np10_nt25,nt14_nt9,0.0000
np10_nt25,nt15_np8,6.3111
np10_nt25,nt15_nt14,0.3941
np10_nt25,nt16_np17,6.7214
np10_nt25,nt16_nt17,1.1389
np10_nt25,nt17_nt12,0.0000
np10_nt25,nt17_nt18,0.0000
np10_nt25,nt18_nt13,0.0000
np10_nt25,nt18_nt17,0.0000
np10_nt25,nt18_nt19,0.0000
np10_nt25,nt19_nt14,1.9693
np10_nt25,nt19_nt18,0.0000
np10_nt25,nt1_np1,6.9755
np10_nt25,nt1_np20,6.4977
np10_nt25,nt20_np9,6.8455
np10_nt25,nt20_nt19,0.0000
np10_nt25,nt21_np15,6.0418
np10_nt25,nt21_np16,6.5432
np10_nt25,nt22_np14,6.5418
np10_nt25,nt22_nt17,2.2421
np10_nt25,nt23_np13,6.8337
np10_nt25,nt23_nt18,0.0000
np10_nt25,nt24_np12,6.7910
np10_nt25,nt24_nt19,0.0000
np10_nt25,nt25_np11,6.8237
np10_nt25,nt2_np2,6.5132
np10_nt25,nt2_nt7,0.0000
np10_nt25,nt3_np3,6.8450
np10_nt25,nt3_nt8,0.6371
np10_nt25,nt4_np4,6.9665
np10_nt25,nt4_nt9,0.0000
np10_nt25,nt5_np5,6.4090
np10_nt25,nt5_np6,6.2082
np10_nt25,nt6_np19,6.9367
np10_nt25,nt6_nt7,0.0000
np10_nt25,nt7_nt12,0.3754
np10_nt25,nt7_nt8,0.0000
np10_nt25,nt8_nt13,0.0000
np10_nt25,nt8_nt7,0.0000
np10_nt25,nt8_nt9,1.6652
np10_nt25,nt9_nt14,0.8933
np10_nt25,nt9_nt8,0.9927
np11_nt25,nt10_np7,6.7219
np11_nt25,nt10_nt9,0.0000
np11_nt25,nt11_np18,6.6251
np11_nt25,nt11_nt12,0.0669
np11_nt25,nt12_nt13,0.0000
np11_nt25,nt12_nt17,0.0000
np11_nt25,nt12_nt7,1.7343
np11_nt25,nt13_nt12,0.0000
np11_nt25,nt13_nt14,0.0000
np11_nt25,nt13_nt18,1.1045
np11_nt25,nt13_nt8,1.7413
np11_nt25,nt14_nt13,0.0000
np11_nt25,nt14_nt19,0.6170
np11_nt25,nt14_nt9,0.0000
np11_nt25,nt15_np8,6.5656
np11_nt25,nt15_nt14,0.0000
np11_nt25,nt16_np17,6.5959
np11_nt25,nt16_nt17,0.0000
np11_nt25,nt17_nt12,0.0000
np11_nt25,nt17_nt18,0.0000
np11_nt25,nt18_nt13,0.0000
np11_nt25,nt18_nt17,0.0000
np11_nt25,nt18_nt19,0.0000
np11_nt25,nt19_nt14,0.0000
np11_nt25,nt19_nt18,0.0000
np11_nt25,nt1_np1,6.7307
np11_nt25,nt1_np20,6.9396
np11_nt25,nt20_np9,6.5986
np11_nt25,nt20_nt19,0.0000
np11_nt25,nt21_np15,6.4628
np11_nt25,nt21_np16,6.3856
np11_nt25,nt22_np14,6.4668
np11_nt25,nt22_nt17,0.0000
np11_nt25,nt23_np13,6.7395
np11_nt25,nt23_nt18,0.0000
np11_nt25,nt24_np12,6.9777
np11_nt25,nt24_nt19,0.0000
np11_nt25,nt25_np10,6.7160
np11_nt25,nt2_np2,6.3677
np11_nt25,nt2_nt7,0.0000
np11_nt25,nt3_np3,6.4694
np11_nt25,nt3_nt8,0.0000
np11_nt25,nt4_np4,7.0245
np11_nt25,nt4_nt9,0.3035
np11_nt25,nt5_np5,7.0449
np11_nt25,nt5_np6,6.2496
np11_nt25,nt6_np19,6.5458
np11_nt25,nt6_nt7,0.0000
np11_nt25,nt7_nt12,0.0000
np11_nt25,nt7_nt8,0.0000
np11_nt25,nt8_nt13,0.0000
np11_nt25,nt8_nt7,0.9701
np11_nt25,nt8_nt9,0.0000
np11_nt25,nt9_nt14,0.0000
np11_nt25,nt9_nt8,0.0000
np12_nt24,nt10_np7,6.5993
np12_nt24,nt10_nt9,0.0000
np12_nt24,nt11_np18,6.5859
np12_nt24,nt11_nt12,0.0000
np12_nt24,nt12_nt13,0.0000
np12_nt24,nt12_nt17,0.0000
np12_nt24,nt12_nt7,0.0000
np12_nt24,nt13_nt12,0.0000
np12_nt24,nt13_nt14,0.0000
np12_nt24,nt13_nt18,0.0000
