origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,2.3422
np10_nt25,nt10_nt9,4.7699
np10_nt25,nt11_np18,5.8959
np10_nt25,nt11_nt12,2.4063
np10_nt25,nt12_nt13,5.7650
np10_nt25,nt12_nt17,5.0665
np10_nt25,nt12_nt7,4.1770
np10_nt25,nt13_nt12,5.3848
np10_nt25,nt13_nt14,5.0794
np10_nt25,nt13_nt18,8.1858
np10_nt25,nt13_nt8,8.3370
np10_nt25,nt14_nt13,3.3684
np10_nt25,nt14_nt19,6.6507
np10_nt25,nt14_nt9,5.5252
np10_nt25,nt15_np8,3.0772
np10_nt25,nt15_nt14,3.8341
np10_nt25,nt16_np17,6.0034
np10_nt25,nt16_nt17,6.4742
np10_nt25,nt17_nt12,5.9715
np10_nt25,nt17_nt18,3.8944
np10_nt25,nt18_nt13,7.7487
np10_nt25,nt18_nt17,4.6678
np10_nt25,nt18_nt19,5.3708
np10_nt25,nt19_nt14,6.4440
np10_nt25,nt19_nt18,2.8214
np10_nt25,nt1_np1,3.6383
np10_nt25,nt1_np20,9.2189
np10_nt25,nt20_np9,4.7665
np10_nt25,nt20_nt19,5.3491
np10_nt25,nt21_np15,4.8596
np10_nt25,nt21_np16,3.5915
np10_nt25,nt22_np14,6.2775
np10_nt25,nt22_nt17,1.0286
np10_nt25,nt23_np13,4.1956
np10_nt25,nt23_nt18,3.9506
np10_nt25,nt24_np12,5.0076
np10_nt25,nt24_nt19,4.2576
np10_nt25,nt25_np11,6.1142
np10_nt25,nt2_np2,7.5201
np10_nt25,nt2_nt7,4.1677
np10_nt25,nt3_np3,4.0426
np10_nt25,nt3_nt8,8.5950
np10_nt25,nt4_np4,4.9457
np10_nt25,nt4_nt9,1.1935
np10_nt25,nt5_np5,5.1017
np10_nt25,nt5_np6,6.9437
np10_nt25,nt6_np19,1.3294
np10_nt25,nt6_nt7,5.2713
np10_nt25,nt7_nt12,5.4597
np10_nt25,nt7_nt8,2.8884
np10_nt25,nt8_nt13,4.9632
np10_nt25,nt8_nt7,6.4525
np10_nt25,nt8_nt9,4.0678
np10_nt25,nt9_nt14,4.8075
np10_nt25,nt9_nt8,2.9440
np11_nt25,nt10_np7,5.6190
np11_nt25,nt10_nt9,5.6108
np11_nt25,nt11_np18,6.8529
np11_nt25,nt11_nt12,10.3932
np11_nt25,nt12_nt13,4.5805
np11_nt25,nt12_nt17,5.1292
np11_nt25,nt12_nt7,4.2274
np11_nt25,nt13_nt12,8.6848
np11_nt25,nt13_nt14,1.0000
np11_nt25,nt13_nt18,2.6798
np11_nt25,nt13_nt8,7.9956
np11_nt25,nt14_nt13,6.9136
np11_nt25,nt14_nt19,6.7148
np11_nt25,nt14_nt9,4.1340
np11_nt25,nt15_np8,5.9581
np11_nt25,nt15_nt14,4.9072
np11_nt25,nt16_np17,4.2515
np11_nt25,nt16_nt17,5.3427
np11_nt25,nt17_nt12,2.1010
np11_nt25,nt17_nt18,5.9702
np11_nt25,nt18_nt13,6.9030
np11_nt25,nt18_nt17,4.8597
np11_nt25,nt18_nt19,1.2278
np11_nt25,nt19_nt14,1.5522
np11_nt25,nt19_nt18,4.8496
np11_nt25,nt1_np1,4.0324
np11_nt25,nt1_np20,7.0531
np11_nt25,nt20_np9,5.7415
np11_nt25,nt20_nt19,4.0064
np11_nt25,nt21_np15,3.6015
np11_nt25,nt21_np16,5.9277
np11_nt25,nt22_np14,3.4996
np11_nt25,nt22_nt17,3.9000
np11_nt25,nt23_np13,2.2306
np11_nt25,nt23_nt18,2.6420
np11_nt25,nt24_np12,3.6817
np11_nt25,nt24_nt19,7.9546
np11_nt25,nt25_np10,5.8058
np11_nt25,nt2_np2,4.3365
np11_nt25,nt2_nt7,1.0000
np11_nt25,nt3_np3,7.0944
np11_nt25,nt3_nt8,4.3684
np11_nt25,nt4_np4,5.7958
np11_nt25,nt4_nt9,1.9172
np11_nt25,nt5_np5,3.6231
np11_nt25,nt5_np6,2.9831
np11_nt25,nt6_np19,8.5090
np11_nt25,nt6_nt7,2.2210
np11_nt25,nt7_nt12,4.2092
np11_nt25,nt7_nt8,4.4132
np11_nt25,nt8_nt13,5.3767
np11_nt25,nt8_nt7,5.8032
np11_nt25,nt8_nt9,6.9420
np11_nt25,nt9_nt14,5.6688
np11_nt25,nt9_nt8,1.0000
np12_nt24,nt10_np7,7.9546
np12_nt24,nt10_nt9,7.3050
np12_nt24,nt11_np18,4.8773
np12_nt24,nt11_nt12,1.2307
np12_nt24,nt12_nt13,4.7941
np12_nt24,nt12_nt17,4.9509
np12_nt24,nt12_nt7,4.1625
np12_nt24,nt13_nt12,3.5564
np12_nt24,nt13_nt14,7.3527
np12_nt24,nt13_nt18,4.0634
np12_nt24,nt13_nt8,6.6618
np12_nt24,nt14_nt13,5.1271
np12_nt24,nt14_nt19,7.5530
np12_nt24,nt14_nt9,3.1441
np12_nt24,nt15_np8,5.7844
np12_nt24,nt15_nt14,3.7752
np12_nt24,nt16_np17,4.3968
np12_nt24,nt16_nt17,4.4692
np12_nt24,nt17_nt12,7.3809
np12_nt24,nt17_nt18,3.7811
np12_nt24,nt18_nt13,4.4015
np12_nt24,nt18_nt17,3.9380
np12_nt24,nt18_nt19,4.7910
np12_nt24,nt19_nt14,5.8664
np12_nt24,nt19_nt18,8.8610
np12_nt24,nt1_np1,2.2393
np12_nt24,nt1_np20,6.4318
np12_nt24,nt20_np9,2.6813
np12_nt24,nt20_nt19,8.0852
np12_nt24,nt21_np15,5.4326
np12_nt24,nt21_np16,8.2496
np12_nt24,nt22_np14,8.2340
np12_nt24,nt22_nt17,6.8323
np12_nt24,nt23_np13,6.0178
np12_nt24,nt23_nt18,5.2397
np12_nt24,nt24_nt19,4.6775
np12_nt24,nt25_np10,2.4316
np12_nt24,nt25_np11,6.2994
np12_nt24,nt2_np2,7.5293
np12_nt24,nt2_nt7,5.8124
np12_nt24,nt3_np3,6.4998
np12_nt24,nt3_nt8,4.2893
np12_nt24,nt4_np4,1.0000
np12_nt24,nt4_nt9,5.2538
np12_nt24,nt5_np5,5.6769
np12_nt24,nt5_np6,6.9231
np12_nt24,nt6_np19,5.5837
np12_nt24,nt6_nt7,7.0341
np12_nt24,nt7_nt12,4.9785
np12_nt24,nt7_nt8,5.2174
np12_nt24,nt8_nt13,4.1505
np12_nt24,nt8_nt7,5.7903
np12_nt24,nt8_nt9,7.7794
np12_nt24,nt9_nt14,10.0860
np12_nt24,nt9_nt8,5.5015
np13_nt23,nt10_np7,3.7356
np13_nt23,nt10_nt9,5.0772
np13_nt23,nt11_np18,8.3412
np13_nt23,nt11_nt12,3.9612
np13_nt23,nt12_nt13,3.7522
np13_nt23,nt12_nt17,5.5734
np13_nt23,nt12_nt7,3.1058
np13_nt23,nt13_nt12,6.3502
np13_nt23,nt13_nt14,2.6940
np13_nt23,nt13_nt18,5.4383
np13_nt23,nt13_nt8,8.4641
np13_nt23,nt14_nt13,6.4749
np13_nt23,nt14_nt19,3.1322
np13_nt23,nt14_nt9,5.3090
np13_nt23,nt15_np8,6.5505
np13_nt23,nt15_nt14,3.9606
np13_nt23,nt16_np17,1.6519
np13_nt23,nt16_nt17,7.2114
np13_nt23,nt17_nt12,7.2491
np13_nt23,nt17_nt18,3.3714
np13_nt23,nt18_nt13,2.4323
np13_nt23,nt18_nt17,2.1592
np13_nt23,nt18_nt19,4.2943
np13_nt23,nt19_nt14,6.1113
np13_nt23,nt19_nt18,2.9932
np13_nt23,nt1_np1,6.2535
np13_nt23,nt1_np20,8.6473
np13_nt23,nt20_np9,6.0364
np13_nt23,nt20_nt19,7.9596
np13_nt23,nt21_np15,8.4946
np13_nt23,nt21_np16,8.7153
np13_nt23,nt22_np14,1.5806
np13_nt23,nt22_nt17,3.6715
np13_nt23,nt23_nt18,3.5397
np13_nt23,nt24_np12,4.2254
np13_nt23,nt24_nt19,4.9212
np13_nt23,nt25_np10,5.7855
np13_nt23,nt25_np11,7.8425
np13_nt23,nt2_np2,4.9224
np13_nt23,nt2_nt7,4.8861
np13_nt23,nt3_np3,3.0127
np13_nt23,nt3_nt8,4.5170
np13_nt23,nt4_np4,6.6394
np13_nt23,nt4_nt9,2.0352
np13_nt23,nt5_np5,3.2481
np13_nt23,nt5_np6,6.6655
np13_nt23,nt6_np19,7.1917
np13_nt23,nt6_nt7,4.3146
np13_nt23,nt7_nt12,2.8220
np13_nt23,nt7_nt8,5.9296
np13_nt23,nt8_nt13,6.0129
np13_nt23,nt8_nt7,4.8151
np13_nt23,nt8_nt9,4.2874
np13_nt23,nt9_nt14,6.9612
np13_nt23,nt9_nt8,4.2932
np14_nt22,nt10_np7,4.4630
np14_nt22,nt10_nt9,6.0851
np14_nt22,nt11_np18,6.8000
np14_nt22,nt11_nt12,2.4788
np14_nt22,nt12_nt13,6.0293
np14_nt22,nt12_nt17,9.0896
np14_nt22,nt12_nt7,3.0218
np14_nt22,nt13_nt12,4.6420
np14_nt22,nt13_nt14,3.8927
np14_nt22,nt13_nt18,6.8549
np14_nt22,nt13_nt8,4.8295
np14_nt22,nt14_nt13,5.9847
np14_nt22,nt14_nt19,4.3508
np14_nt22,nt14_nt9,3.6495
np14_nt22,nt15_np8,3.2313
np14_nt22,nt15_nt14,6.3406
np14_nt22,nt16_np17,4.9093
np14_nt22,nt16_nt17,6.0695
np14_nt22,nt17_nt12,4.0373
np14_nt22,nt17_nt18,3.4292
np14_nt22,nt18_nt13,6.7548
np14_nt22,nt18_nt17,5.7165
np14_nt22,nt18_nt19,6.6159
np14_nt22,nt19_nt14,2.5805
np14_nt22,nt19_nt18,4.6799
np14_nt22,nt1_np1,4.7504
np14_nt22,nt1_np20,4.6924
np14_nt22,nt20_np9,5.8554
np14_nt22,nt20_nt19,4.3735
np14_nt22,nt21_np15,6.3120
np14_nt22,nt21_np16,8.3114
np14_nt22,nt22_nt17,4.7603
np14_nt22,nt23_np13,5.3870
np14_nt22,nt23_nt18,5.8739
np14_nt22,nt24_np12,3.3536
np14_nt22,nt24_nt19,4.0288
np14_nt22,nt25_np10,1.0228
np14_nt22,nt25_np11,4.1877
np14_nt22,nt2_np2,4.3419
np14_nt22,nt2_nt7,5.7271
np14_nt22,nt3_np3,4.3126
np14_nt22,nt3_nt8,6.9847
np14_nt22,nt4_np4,5.2301
np14_nt22,nt4_nt9,4.6875
np14_nt22,nt5_np5,6.3955
np14_nt22,nt5_np6,3.0933
np14_nt22,nt6_np19,7.1379
np14_nt22,nt6_nt7,6.5166
np14_nt22,nt7_nt12,5.3880
np14_nt22,nt7_nt8,7.5997
np14_nt22,nt8_nt13,4.5156
np14_nt22,nt8_nt7,4.6883
np14_nt22,nt8_nt9,7.7216
np14_nt22,nt9_nt14,5.1716
np14_nt22,nt9_nt8,5.0502
np15_nt21,nt10_np7,7.4004
np15_nt21,nt10_nt9,3.8571
np15_nt21,nt11_np18,5.4607
np15_nt21,nt11_nt12,2.4216
np15_nt21,nt12_nt13,1.5551
np15_nt21,nt12_nt17,5.4721
np15_nt21,nt12_nt7,6.5780
np15_nt21,nt13_nt12,4.7523
np15_nt21,nt13_nt14,4.0709
np15_nt21,nt13_nt18,7.8430
np15_nt21,nt13_nt8,3.9938
np15_nt21,nt14_nt13,3.6173
np15_nt21,nt14_nt19,2.4720
np15_nt21,nt14_nt9,2.3003
np15_nt21,nt15_np8,8.2397
np15_nt21,nt15_nt14,9.1023
np15_nt21,nt16_np17,2.7406
np15_nt21,nt16_nt17,2.6850
np15_nt21,nt17_nt12,2.3235
np15_nt21,nt17_nt18,3.3540
np15_nt21,nt18_nt13,5.7429
np15_nt21,nt18_nt17,8.2787
np15_nt21,nt18_nt19,3.5511
np15_nt21,nt19_nt14,12.3693
np15_nt21,nt19_nt18,6.1635
np15_nt21,nt1_np1,8.5867
np15_nt21,nt1_np20,6.7261
np15_nt21,nt20_np9,5.6662
np15_nt21,nt20_nt19,1.4356
np15_nt21,nt21_np16,9.1008
np15_nt21,nt22_np14,9.8709
np15_nt21,nt22_nt17,1.5137
np15_nt21,nt23_np13,5.2373
np15_nt21,nt23_nt18,5.1926
np15_nt21,nt24_np12,5.0837
np15_nt21,nt24_nt19,5.6088
np15_nt21,nt25_np10,7.7820
np15_nt21,nt25_np11,5.0811
np15_nt21,nt2_np2,1.0000
np15_nt21,nt2_nt7,5.2184
np15_nt21,nt3_np3,4.3713
np15_nt21,nt3_nt8,3.1935
np15_nt21,nt4_np4,6.6811
np15_nt21,nt4_nt9,8.0167
np15_nt21,nt5_np5,4.6953
np15_nt21,nt5_np6,6.1645
np15_nt21,nt6_np19,1.0000
np15_nt21,nt6_nt7,6.6067
np15_nt21,nt7_nt12,6.3610
np15_nt21,nt7_nt8,5.2186
np15_nt21,nt8_nt13,5.5341
np15_nt21,nt8_nt7,3.6301
np15_nt21,nt8_nt9,5.6303
np15_nt21,nt9_nt14,5.3718
np15_nt21,nt9_nt8,6.7740
np16_nt21,nt10_np7,4.9754
np16_nt21,nt10_nt9,9.1036
np16_nt21,nt11_np18,4.9774
np16_nt21,nt11_nt12,5.8190
np16_nt21,nt12_nt13,5.8297
np16_nt21,nt12_nt17,4.9372
np16_nt21,nt12_nt7,5.5191
np16_nt21,nt13_nt12,3.2745
np16_nt21,nt13_nt14,3.5077
np16_nt21,nt13_nt18,7.3452
np16_nt21,nt13_nt8,5.8251
np16_nt21,nt14_nt13,6.4351
np16_nt21,nt14_nt19,5.9293
np16_nt21,nt14_nt9,3.9196
np16_nt21,nt15_np8,6.3665
np16_nt21,nt15_nt14,3.0217
np16_nt21,nt16_np17,2.5104
np16_nt21,nt16_nt17,3.8657
np16_nt21,nt17_nt12,5.4612
np16_nt21,nt17_nt18,4.4228
np16_nt21,nt18_nt13,3.9607
np16_nt21,nt18_nt17,5.6306
np16_nt21,nt18_nt19,2.0407
np16_nt21,nt19_nt14,7.7720
np16_nt21,nt19_nt18,5.7894
np16_nt21,nt1_np1,3.5252
np16_nt21,nt1_np20,1.7778
np16_nt21,nt20_np9,3.3448
np16_nt21,nt20_nt19,5.4438
np16_nt21,nt21_np15,8.3451
np16_nt21,nt22_np14,3.6622
np16_nt21,nt22_nt17,4.5608
np16_nt21,nt23_np13,5.1707
np16_nt21,nt23_nt18,4.3640
np16_nt21,nt24_np12,6.1366
np16_nt21,nt24_nt19,5.9717
np16_nt21,nt25_np10,7.0396
np16_nt21,nt25_np11,3.2653
np16_nt21,nt2_np2,3.9674
np16_nt21,nt2_nt7,2.7925
np16_nt21,nt3_np3,4.7122
np16_nt21,nt3_nt8,5.1673
np16_nt21,nt4_np4,5.4296
np16_nt21,nt4_nt9,3.5608
np16_nt21,nt5_np5,3.0068
np16_nt21,nt5_np6,5.9085
np16_nt21,nt6_np19,7.2181
np16_nt21,nt6_nt7,7.4540
np16_nt21,nt7_nt12,1.1101
np16_nt21,nt7_nt8,8.1185
np16_nt21,nt8_nt13,3.3342
np16_nt21,nt8_nt7,3.9694
np16_nt21,nt8_nt9,7.1065
np16_nt21,nt9_nt14,4.9809
np16_nt21,nt9_nt8,7.0068
np17_nt16,nt10_np7,5.2427
np17_nt16,nt10_nt9,5.6742
np17_nt16,nt11_np18,4.7230
np17_nt16,nt11_nt12,7.7335
np17_nt16,nt12_nt13,3.7927
np17_nt16,nt12_nt17,5.9585
np17_nt16,nt12_nt7,4.3577
np17_nt16,nt13_nt12,10.0133
np17_nt16,nt13_nt14,1.3085
np17_nt16,nt13_nt18,1.0991
np17_nt16,nt13_nt8,7.9619
