origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,4.4998
np10_nt25,nt10_nt9,5.5251
np10_nt25,nt11_np18,96.0482
np10_nt25,nt11_nt12,6.8585
np10_nt25,nt12_nt13,6.0131
np10_nt25,nt12_nt17,5.0692
np10_nt25,nt12_nt7,4.7939
np10_nt25,nt13_nt12,2.7685
np10_nt25,nt13_nt14,5.0282
np10_nt25,nt13_nt18,4.3563
np10_nt25,nt13_nt8,2.9641
np10_nt25,nt14_nt13,4.6775
np10_nt25,nt14_nt19,8.8224
np10_nt25,nt14_nt9,5.3649
np10_nt25,nt15_np8,4.6134
np10_nt25,nt15_nt14,5.4130
np10_nt25,nt16_np17,102.9776
np10_nt25,nt16_nt17,5.5402
np10_nt25,nt17_nt12,6.7715
np10_nt25,nt17_nt18,3.8498
np10_nt25,nt18_nt13,2.1140
np10_nt25,nt18_nt17,6.6019
np10_nt25,nt18_nt19,2.9294
np10_nt25,nt19_nt14,5.8501
np10_nt25,nt19_nt18,3.6741
np10_nt25,nt1_np1,5.0795
np10_nt25,nt1_np20,106.5415
np10_nt25,nt20_np9,6.2343
np10_nt25,nt20_nt19,5.2634
np10_nt25,nt21_np15,6.8601
np10_nt25,nt21_np16,107.6714
np10_nt25,nt22_np14,6.2203
np10_nt25,nt22_nt17,2.8149
np10_nt25,nt23_np13,6.7501
np10_nt25,nt23_nt18,5.8031
np10_nt25,nt24_np12,7.7746
np10_nt25,nt24_nt19,8.1779
np10_nt25,nt25_np11,3.3146
np10_nt25,nt2_np2,7.2941
np10_nt25,nt2_nt7,4.9370
np10_nt25,nt3_np3,7.7925
np10_nt25,nt3_nt8,7.0710
np10_nt25,nt4_np4,8.1214
np10_nt25,nt4_nt9,5.2723
np10_nt25,nt5_np5,5.8352
np10_nt25,nt5_np6,6.1796
np10_nt25,nt6_np19,101.6996
np10_nt25,nt6_nt7,1.0000
np10_nt25,nt7_nt12,3.5399
np10_nt25,nt7_nt8,4.9588
np10_nt25,nt8_nt13,5.9738
np10_nt25,nt8_nt7,1.8467
np10_nt25,nt8_nt9,2.7679
np10_nt25,nt9_nt14,3.5374
np10_nt25,nt9_nt8,5.2476
np11_nt25,nt10_np7,3.3635
np11_nt25,nt10_nt9,4.1028
np11_nt25,nt11_np18,7.0914
np11_nt25,nt11_nt12,7.4661
np11_nt25,nt12_nt13,7.0078
np11_nt25,nt12_nt17,5.3039
np11_nt25,nt12_nt7,6.9515
np11_nt25,nt13_nt12,5.3375
np11_nt25,nt13_nt14,6.0336
np11_nt25,nt13_nt18,4.0469
np11_nt25,nt13_nt8,5.6921
np11_nt25,nt14_nt13,2.0183
np11_nt25,nt14_nt19,5.0853
np11_nt25,nt14_nt9,3.8348
