origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,5.7066
np10_nt25,nt10_nt9,6.8075
np10_nt25,nt11_np18,65.8100
np10_nt25,nt11_nt12,3.9279
np10_nt25,nt12_nt13,6.0799
np10_nt25,nt12_nt17,2.0542
np10_nt25,nt12_nt7,5.7477
np10_nt25,nt13_nt12,4.5800
np10_nt25,nt13_nt14,7.4872
np10_nt25,nt13_nt18,3.1151
np10_nt25,nt13_nt8,7.7298
np10_nt25,nt14_nt13,4.0122
np10_nt25,nt14_nt19,3.1191
np10_nt25,nt14_nt9,4.8833
np10_nt25,nt15_np8,6.1729
np10_nt25,nt15_nt14,5.5503
np10_nt25,nt16_np17,2.6481
np10_nt25,nt16_nt17,3.9438
np10_nt25,nt17_nt12,1.0000
np10_nt25,nt17_nt18,2.8978
np10_nt25,nt18_nt13,3.4252
np10_nt25,nt18_nt17,8.4226
np10_nt25,nt18_nt19,4.0000
np10_nt25,nt19_nt14,6.6432
np10_nt25,nt19_nt18,2.6286
np10_nt25,nt1_np1,69.5162
np10_nt25,nt1_np20,66.1374
np10_nt25,nt20_np9,4.1909
np10_nt25,nt20_nt19,9.1430
np10_nt25,nt21_np15,4.9441
np10_nt25,nt21_np16,5.3455
np10_nt25,nt22_np14,4.0797
np10_nt25,nt22_nt17,3.3120
np10_nt25,nt23_np13,3.2249
np10_nt25,nt23_nt18,3.1257
np10_nt25,nt24_np12,6.0906
np10_nt25,nt24_nt19,11.4358
np10_nt25,nt25_np11,5.6093
np10_nt25,nt2_np2,67.9013
np10_nt25,nt2_nt7,5.2563
np10_nt25,nt3_np3,72.8483
np10_nt25,nt3_nt8,2.2058
np10_nt25,nt4_np4,8.5728
np10_nt25,nt4_nt9,1.0000
np10_nt25,nt5_np5,2.7858
np10_nt25,nt5_np6,2.1510
np10_nt25,nt6_np19,66.8853
np10_nt25,nt6_nt7,3.9756
np10_nt25,nt7_nt12,4.9001
np10_nt25,nt7_nt8,6.4698
np10_nt25,nt8_nt13,4.1549
np10_nt25,nt8_nt7,7.0498
np10_nt25,nt8_nt9,4.1340
np10_nt25,nt9_nt14,4.0193
np10_nt25,nt9_nt8,3.3333
np11_nt25,nt10_np7,4.2559
np11_nt25,nt10_nt9,6.0322
np11_nt25,nt11_np18,67.7502
np11_nt25,nt11_nt12,7.3535
np11_nt25,nt12_nt13,5.9183
np11_nt25,nt12_nt17,1.0000
np11_nt25,nt12_nt7,7.7286
np11_nt25,nt13_nt12,9.1088
np11_nt25,nt13_nt14,7.2558
np11_nt25,nt13_nt18,5.5748
np11_nt25,nt13_nt8,5.7622
np11_nt25,nt14_nt13,1.3501
np11_nt25,nt14_nt19,4.4467
np11_nt25,nt14_nt9,7.5102
np11_nt25,nt15_np8,7.4286
np11_nt25,nt15_nt14,6.1613
np11_nt25,nt16_np17,4.4762
np11_nt25,nt16_nt17,4.0253
np11_nt25,nt17_nt12,7.8314
np11_nt25,nt17_nt18,3.4022
np11_nt25,nt18_nt13,1.5107
np11_nt25,nt18_nt17,2.2883
np11_nt25,nt18_nt19,3.5975
np11_nt25,nt19_nt14,4.6314
np11_nt25,nt19_nt18,4.2051
np11_nt25,nt1_np1,70.3516
np11_nt25,nt1_np20,67.8421
np11_nt25,nt20_np9,9.6320
np11_nt25,nt20_nt19,8.5686
np11_nt25,nt21_np15,6.3608
np11_nt25,nt21_np16,2.8726
np11_nt25,nt22_np14,4.4580
np11_nt25,nt22_nt17,3.9041
np11_nt25,nt23_np13,5.7972
np11_nt25,nt23_nt18,5.9688
np11_nt25,nt24_np12,6.0751
np11_nt25,nt24_nt19,4.8730
np11_nt25,nt25_np10,3.9309
np11_nt25,nt2_np2,67.3597
np11_nt25,nt2_nt7,6.1089
np11_nt25,nt3_np3,66.1725
np11_nt25,nt3_nt8,6.2951
np11_nt25,nt4_np4,5.5659
np11_nt25,nt4_nt9,4.8127
np11_nt25,nt5_np5,5.6358
np11_nt25,nt5_np6,6.7133
np11_nt25,nt6_np19,69.4965
np11_nt25,nt6_nt7,4.7926
np11_nt25,nt7_nt12,7.1973
np11_nt25,nt7_nt8,5.7386
np11_nt25,nt8_nt13,5.3305
np11_nt25,nt8_nt7,8.0452
np11_nt25,nt8_nt9,5.7278
