origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,5.7256
np10_nt25,nt10_nt9,4.2421
np10_nt25,nt11_np18,1.0402
np10_nt25,nt11_nt12,6.7390
np10_nt25,nt12_nt13,3.9598
np10_nt25,nt12_nt17,2.9524
np10_nt25,nt12_nt7,2.4037
np10_nt25,nt13_nt12,4.3961
np10_nt25,nt13_nt14,7.8938
np10_nt25,nt13_nt18,4.8418
np10_nt25,nt13_nt8,5.3608
np10_nt25,nt14_nt13,3.7809
np10_nt25,nt14_nt19,5.7768
np10_nt25,nt14_nt9,6.6620
np10_nt25,nt15_np8,5.5956
np10_nt25,nt15_nt14,5.0180
np10_nt25,nt16_np17,4.1884
np10_nt25,nt16_nt17,5.6854
np10_nt25,nt17_nt12,4.2778
np10_nt25,nt17_nt18,6.4513
np10_nt25,nt18_nt13,6.5281
np10_nt25,nt18_nt17,7.4818
np10_nt25,nt18_nt19,4.0547
np10_nt25,nt19_nt14,2.7736
np10_nt25,nt19_nt18,3.4378
np10_nt25,nt1_np1,4.4073
np10_nt25,nt1_np20,3.9120
np10_nt25,nt20_np9,5.9486
np10_nt25,nt20_nt19,4.0506
np10_nt25,nt21_np15,5.1821
np10_nt25,nt21_np16,4.2799
np10_nt25,nt22_np14,8.3489
np10_nt25,nt22_nt17,5.2353
np10_nt25,nt23_np13,3.8909
np10_nt25,nt23_nt18,3.0662
np10_nt25,nt24_np12,2.6119
np10_nt25,nt24_nt19,6.8957
np10_nt25,nt25_np11,4.3410
np10_nt25,nt2_np2,6.3616
np10_nt25,nt2_nt7,5.4018
np10_nt25,nt3_np3,1.5449
np10_nt25,nt3_nt8,4.0148
np10_nt25,nt4_np4,5.5943
np10_nt25,nt4_nt9,5.6451
np10_nt25,nt5_np5,2.9784
np10_nt25,nt5_np6,6.7325
np10_nt25,nt6_np19,2.5201
np10_nt25,nt6_nt7,2.6887
np10_nt25,nt7_nt12,10.2900
np10_nt25,nt7_nt8,5.9591
np10_nt25,nt8_nt13,5.0332
np10_nt25,nt8_nt7,7.3440
np10_nt25,nt8_nt9,5.2564
np10_nt25,nt9_nt14,3.4580
np10_nt25,nt9_nt8,5.0013
np11_nt25,nt10_np7,6.6722
np11_nt25,nt10_nt9,7.1709
np11_nt25,nt11_np18,4.0591
np11_nt25,nt11_nt12,2.0308
np11_nt25,nt12_nt13,6.4617
np11_nt25,nt12_nt17,8.1721
np11_nt25,nt12_nt7,5.7219
np11_nt25,nt13_nt12,4.2631
np11_nt25,nt13_nt14,6.6451
np11_nt25,nt13_nt18,3.1139
np11_nt25,nt13_nt8,8.2471
np11_nt25,nt14_nt13,5.9081
np11_nt25,nt14_nt19,6.1317
np11_nt25,nt14_nt9,5.6970
np11_nt25,nt15_np8,4.8000
np11_nt25,nt15_nt14,4.5134
np11_nt25,nt16_np17,6.8538
np11_nt25,nt16_nt17,5.5642
np11_nt25,nt17_nt12,1.0000
np11_nt25,nt17_nt18,6.2949
np11_nt25,nt18_nt13,1.5288
np11_nt25,nt18_nt17,6.2879
np11_nt25,nt18_nt19,7.7932
np11_nt25,nt19_nt14,2.7790
np11_nt25,nt19_nt18,3.0045
np11_nt25,nt1_np1,5.3234
np11_nt25,nt1_np20,4.6124
np11_nt25,nt20_np9,6.1208
np11_nt25,nt20_nt19,4.9565
np11_nt25,nt21_np15,6.2029
np11_nt25,nt21_np16,4.9963
np11_nt25,nt22_np14,6.5546
np11_nt25,nt22_nt17,4.3407
np11_nt25,nt23_np13,4.7448
np11_nt25,nt23_nt18,3.3832
np11_nt25,nt24_np12,3.5979
np11_nt25,nt24_nt19,4.0119
np11_nt25,nt25_np10,3.1526
np11_nt25,nt2_np2,4.1501
np11_nt25,nt2_nt7,8.9396
np11_nt25,nt3_np3,1.7088
np11_nt25,nt3_nt8,4.9210
np11_nt25,nt4_np4,1.4545
np11_nt25,nt4_nt9,5.3843
np11_nt25,nt5_np5,8.1194
np11_nt25,nt5_np6,5.4844
np11_nt25,nt6_np19,1.6745
np11_nt25,nt6_nt7,3.6179
np11_nt25,nt7_nt12,6.7509
np11_nt25,nt7_nt8,3.0639
np11_nt25,nt8_nt13,3.4553
np11_nt25,nt8_nt7,1.0000
np11_nt25,nt8_nt9,3.6210
np11_nt25,nt9_nt14,4.7147
np11_nt25,nt9_nt8,4.5019
np12_nt24,nt10_np7,5.4365
np12_nt24,nt10_nt9,9.9931
np12_nt24,nt11_np18,5.8638
np12_nt24,nt11_nt12,5.7209
np12_nt24,nt12_nt13,6.8413
np12_nt24,nt12_nt17,5.3234
np12_nt24,nt12_nt7,3.4689
np12_nt24,nt13_nt12,6.8789
np12_nt24,nt13_nt14,5.8278
np12_nt24,nt13_nt18,7.7027
np12_nt24,nt13_nt8,4.5336
np12_nt24,nt14_nt13,5.4723
np12_nt24,nt14_nt19,5.9448
np12_nt24,nt14_nt9,4.2151
np12_nt24,nt15_np8,4.8777
np12_nt24,nt15_nt14,8.5218
np12_nt24,nt16_np17,8.1126
np12_nt24,nt16_nt17,5.9255
