origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,6.3720
np10_nt25,nt10_nt9,3.4828
np10_nt25,nt11_np18,8.0876
np10_nt25,nt11_nt12,4.9734
np10_nt25,nt12_nt13,3.2903
np10_nt25,nt12_nt17,3.3969
np10_nt25,nt12_nt7,4.7464
np10_nt25,nt13_nt12,6.1226
np10_nt25,nt13_nt14,1.0000
np10_nt25,nt13_nt18,5.0758
np10_nt25,nt13_nt8,1.0000
np10_nt25,nt14_nt13,3.6310
np10_nt25,nt14_nt19,4.0420
np10_nt25,nt14_nt9,5.0295
np10_nt25,nt15_np8,2.6052
np10_nt25,nt15_nt14,5.4146
np10_nt25,nt16_np17,7.5093
np10_nt25,nt16_nt17,6.4936
np10_nt25,nt17_nt12,2.9125
np10_nt25,nt17_nt18,3.2001
np10_nt25,nt18_nt13,6.1268
np10_nt25,nt18_nt17,5.9657
np10_nt25,nt18_nt19,4.3317
np10_nt25,nt19_nt14,6.4195
np10_nt25,nt19_nt18,6.0790
np10_nt25,nt1_np1,1.0000
np10_nt25,nt1_np20,3.5591
np10_nt25,nt20_np9,3.1554
np10_nt25,nt20_nt19,6.1978
np10_nt25,nt21_np15,4.1191
np10_nt25,nt21_np16,1.0000
np10_nt25,nt22_np14,4.0104
np10_nt25,nt22_nt17,8.1558
np10_nt25,nt23_np13,1.9857
np10_nt25,nt23_nt18,4.4553
np10_nt25,nt24_np12,3.5368
np10_nt25,nt24_nt19,6.5365
np10_nt25,nt25_np11,3.9928
np10_nt25,nt2_np2,6.3586
np10_nt25,nt2_nt7,1.0000
np10_nt25,nt3_np3,1.6696
np10_nt25,nt3_nt8,6.0292
np10_nt25,nt4_np4,6.8953
np10_nt25,nt4_nt9,6.4488
np10_nt25,nt5_np5,4.1717
np10_nt25,nt5_np6,7.3450
np10_nt25,nt6_np19,5.6586
np10_nt25,nt6_nt7,4.7578
np10_nt25,nt7_nt12,7.0362
np10_nt25,nt7_nt8,5.7109
np10_nt25,nt8_nt13,5.4592
np10_nt25,nt8_nt7,4.3630
np10_nt25,nt8_nt9,1.0000
np10_nt25,nt9_nt14,1.6363
np10_nt25,nt9_nt8,1.0000
np11_nt25,nt10_np7,5.3375
np11_nt25,nt10_nt9,6.5297
np11_nt25,nt11_np18,2.7632
np11_nt25,nt11_nt12,6.3520
np11_nt25,nt12_nt13,3.3571
np11_nt25,nt12_nt17,5.7611
np11_nt25,nt12_nt7,5.9413
np11_nt25,nt13_nt12,6.8843
np11_nt25,nt13_nt14,5.5231
np11_nt25,nt13_nt18,5.5802
np11_nt25,nt13_nt8,6.6128
np11_nt25,nt14_nt13,5.8855
np11_nt25,nt14_nt19,4.1071
np11_nt25,nt14_nt9,8.2451
np11_nt25,nt15_np8,6.8604
np11_nt25,nt15_nt14,1.0000
np11_nt25,nt16_np17,1.7899
np11_nt25,nt16_nt17,4.2926
np11_nt25,nt17_nt12,2.3652
np11_nt25,nt17_nt18,5.1375
np11_nt25,nt18_nt13,6.2171
np11_nt25,nt18_nt17,3.9766
np11_nt25,nt18_nt19,5.4159
np11_nt25,nt19_nt14,4.7364
np11_nt25,nt19_nt18,7.2061
np11_nt25,nt1_np1,95.3137
np11_nt25,nt1_np20,3.7070
np11_nt25,nt20_np9,9.4892
np11_nt25,nt20_nt19,7.6989
np11_nt25,nt21_np15,6.8999
np11_nt25,nt21_np16,4.4199
