origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,2.5742
np10_nt25,nt10_nt9,3.5619
np10_nt25,nt11_np18,6.6122
np10_nt25,nt11_nt12,3.8522
np10_nt25,nt12_nt13,3.5365
np10_nt25,nt12_nt17,3.5432
np10_nt25,nt12_nt7,3.7171
np10_nt25,nt13_nt12,3.5422
np10_nt25,nt13_nt14,3.2745
np10_nt25,nt13_nt18,3.3370
np10_nt25,nt13_nt8,3.6323
np10_nt25,nt14_nt13,3.4895
np10_nt25,nt14_nt19,3.2043
np10_nt25,nt14_nt9,3.6459
np10_nt25,nt15_np8,4.3012
np10_nt25,nt15_nt14,3.4558
np10_nt25,nt16_np17,5.3809
np10_nt25,nt16_nt17,3.5092
np10_nt25,nt17_nt12,3.2263
np10_nt25,nt17_nt18,3.2909
np10_nt25,nt18_nt13,3.7163
np10_nt25,nt18_nt17,3.4127
np10_nt25,nt18_nt19,3.3713
np10_nt25,nt19_nt14,3.5533
np10_nt25,nt19_nt18,3.4464
np10_nt25,nt1_np1,3.9804
np10_nt25,nt1_np20,7.7209
np10_nt25,nt20_np9,6.7126
np10_nt25,nt20_nt19,3.3717
np10_nt25,nt21_np15,3.1666
np10_nt25,nt21_np16,5.5836
np10_nt25,nt22_np14,5.6872
np10_nt25,nt22_nt17,3.4824
np10_nt25,nt23_np13,5.3672
np10_nt25,nt23_nt18,3.5311
np10_nt25,nt24_np12,6.2854
np10_nt25,nt24_nt19,3.3067
np10_nt25,nt25_np11,5.7135
np10_nt25,nt2_np2,5.2465
np10_nt25,nt2_nt7,3.4731
np10_nt25,nt3_np3,5.5767
np10_nt25,nt3_nt8,3.2351
np10_nt25,nt4_np4,5.8772
np10_nt25,nt4_nt9,3.6047
np10_nt25,nt5_np5,6.7254
np10_nt25,nt5_np6,5.2077
np10_nt25,nt6_np19,4.5983
np10_nt25,nt6_nt7,3.3780
np10_nt25,nt7_nt12,3.2598
np10_nt25,nt7_nt8,3.2910
np10_nt25,nt8_nt13,3.6154
np10_nt25,nt8_nt7,3.1337
np10_nt25,nt8_nt9,3.5648
np10_nt25,nt9_nt14,3.7436
np10_nt25,nt9_nt8,3.2962
np11_nt25,nt10_np7,5.4076
np11_nt25,nt10_nt9,3.2459
np11_nt25,nt11_np18,7.7899
np11_nt25,nt11_nt12,3.5183
np11_nt25,nt12_nt13,3.6928
np11_nt25,nt12_nt17,3.3198
np11_nt25,nt12_nt7,3.1327
np11_nt25,nt13_nt12,3.5400
np11_nt25,nt13_nt14,3.2522
np11_nt25,nt13_nt18,3.4066
np11_nt25,nt13_nt8,3.4929
np11_nt25,nt14_nt13,3.6233
np11_nt25,nt14_nt19,3.3793
np11_nt25,nt14_nt9,3.5563
np11_nt25,nt15_np8,9.5088
np11_nt25,nt15_nt14,3.4004
np11_nt25,nt16_np17,4.8826
np11_nt25,nt16_nt17,3.5651
np11_nt25,nt17_nt12,3.7290
np11_nt25,nt17_nt18,3.6892
np11_nt25,nt18_nt13,3.3915
np11_nt25,nt18_nt17,3.4926
np11_nt25,nt18_nt19,3.1017
np11_nt25,nt19_nt14,3.6185
np11_nt25,nt19_nt18,3.4364
np11_nt25,nt1_np1,5.1557
np11_nt25,nt1_np20,5.9363
np11_nt25,nt20_np9,3.5614
np11_nt25,nt20_nt19,3.7998
np11_nt25,nt21_np15,1.1622
np11_nt25,nt21_np16,4.0935
np11_nt25,nt22_np14,7.2885
np11_nt25,nt22_nt17,3.6509
np11_nt25,nt23_np13,3.1901
np11_nt25,nt23_nt18,3.4949
np11_nt25,nt24_np12,3.4809
np11_nt25,nt24_nt19,3.1793
np11_nt25,nt25_np10,3.6344
np11_nt25,nt2_np2,7.9475
np11_nt25,nt2_nt7,3.4239
np11_nt25,nt3_np3,5.6897
np11_nt25,nt3_nt8,3.3460
np11_nt25,nt4_np4,4.6901
np11_nt25,nt4_nt9,3.4933
np11_nt25,nt5_np5,5.0539
np11_nt25,nt5_np6,7.6115
np11_nt25,nt6_np19,6.2940
np11_nt25,nt6_nt7,3.3066
np11_nt25,nt7_nt12,3.4615
np11_nt25,nt7_nt8,3.1679
np11_nt25,nt8_nt13,3.4687
np11_nt25,nt8_nt7,3.3177
np11_nt25,nt8_nt9,3.5900
np11_nt25,nt9_nt14,3.4386
np11_nt25,nt9_nt8,3.4344
np12_nt24,nt10_np7,7.1261
np12_nt24,nt10_nt9,3.1184
np12_nt24,nt11_np18,3.2400
np12_nt24,nt11_nt12,3.5329
np12_nt24,nt12_nt13,3.1437
np12_nt24,nt12_nt17,3.4853
np12_nt24,nt12_nt7,3.7446
np12_nt24,nt13_nt12,3.4935
np12_nt24,nt13_nt14,3.2992
np12_nt24,nt13_nt18,3.5122
np12_nt24,nt13_nt8,3.6308
np12_nt24,nt14_nt13,3.3371
np12_nt24,nt14_nt19,3.6019
np12_nt24,nt14_nt9,3.2878
np12_nt24,nt15_np8,4.2506
np12_nt24,nt15_nt14,3.3338
np12_nt24,nt16_np17,3.4506
np12_nt24,nt16_nt17,3.5385
np12_nt24,nt17_nt12,3.3175
np12_nt24,nt17_nt18,3.6961
np12_nt24,nt18_nt13,3.6011
np12_nt24,nt18_nt17,3.4778
np12_nt24,nt18_nt19,3.4965
np12_nt24,nt19_nt14,3.5253
np12_nt24,nt19_nt18,3.7088
np12_nt24,nt1_np1,5.0127
np12_nt24,nt1_np20,7.3382
np12_nt24,nt20_np9,2.6322
np12_nt24,nt20_nt19,3.5870
np12_nt24,nt21_np15,4.2131
np12_nt24,nt21_np16,5.0627
np12_nt24,nt22_np14,4.3449
np12_nt24,nt22_nt17,3.5609
np12_nt24,nt23_np13,3.9873
np12_nt24,nt23_nt18,3.2578
np12_nt24,nt24_nt19,3.3239
np12_nt24,nt25_np10,6.8322
np12_nt24,nt25_np11,6.8040
np12_nt24,nt2_np2,5.2528
np12_nt24,nt2_nt7,3.5120
np12_nt24,nt3_np3,1.0000
np12_nt24,nt3_nt8,3.6682
np12_nt24,nt4_np4,1.9563
np12_nt24,nt4_nt9,3.4993
np12_nt24,nt5_np5,7.3031
np12_nt24,nt5_np6,4.5914
np12_nt24,nt6_np19,5.5626
np12_nt24,nt6_nt7,3.5952
np12_nt24,nt7_nt12,3.5453
np12_nt24,nt7_nt8,3.6025
np12_nt24,nt8_nt13,3.5084
np12_nt24,nt8_nt7,3.3586
np12_nt24,nt8_nt9,3.6927
np12_nt24,nt9_nt14,3.3919
np12_nt24,nt9_nt8,3.1175
np13_nt23,nt10_np7,4.7816
np13_nt23,nt10_nt9,3.5407
np13_nt23,nt11_np18,5.2279
np13_nt23,nt11_nt12,3.5058
np13_nt23,nt12_nt13,3.2756
np13_nt23,nt12_nt17,3.5241
