origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,5.6111
np10_nt25,nt10_nt9,1.6150
np10_nt25,nt11_np18,5.6252
np10_nt25,nt11_nt12,7.7439
np10_nt25,nt12_nt13,2.8057
np10_nt25,nt12_nt17,4.2288
np10_nt25,nt12_nt7,3.9818
np10_nt25,nt13_nt12,6.0779
np10_nt25,nt13_nt14,5.5016
np10_nt25,nt13_nt18,2.8043
np10_nt25,nt13_nt8,3.7022
np10_nt25,nt14_nt13,7.3547
np10_nt25,nt14_nt19,2.8091
np10_nt25,nt14_nt9,4.5680
np10_nt25,nt15_np8,5.4502
np10_nt25,nt15_nt14,7.8772
np10_nt25,nt16_np17,4.3605
np10_nt25,nt16_nt17,3.3860
np10_nt25,nt17_nt12,4.7180
np10_nt25,nt17_nt18,5.9247
np10_nt25,nt18_nt13,3.9880
np10_nt25,nt18_nt17,5.4697
np10_nt25,nt18_nt19,5.6201
np10_nt25,nt19_nt14,6.6872
np10_nt25,nt19_nt18,6.5085
np10_nt25,nt1_np1,5.9048
np10_nt25,nt1_np20,1.0000
np10_nt25,nt20_np9,6.5110
np10_nt25,nt20_nt19,5.9647
np10_nt25,nt21_np15,6.1751
np10_nt25,nt21_np16,2.6107
np10_nt25,nt22_np14,3.9463
np10_nt25,nt22_nt17,5.3489
np10_nt25,nt23_np13,6.0343
np10_nt25,nt23_nt18,4.6870
np10_nt25,nt24_np12,4.3866
np10_nt25,nt24_nt19,3.4068
np10_nt25,nt25_np11,3.6131
np10_nt25,nt2_np2,7.3352
np10_nt25,nt2_nt7,1.8459
np10_nt25,nt3_np3,1.0000
np10_nt25,nt3_nt8,5.6035
np10_nt25,nt4_np4,10.3033
np10_nt25,nt4_nt9,2.3880
np10_nt25,nt5_np5,2.8706
np10_nt25,nt5_np6,5.2419
np10_nt25,nt6_np19,3.1236
np10_nt25,nt6_nt7,7.9747
np10_nt25,nt7_nt12,5.7468
np10_nt25,nt7_nt8,4.3608
np10_nt25,nt8_nt13,6.3459
np10_nt25,nt8_nt7,7.3879
np10_nt25,nt8_nt9,1.1429
np10_nt25,nt9_nt14,2.7913
np10_nt25,nt9_nt8,8.2677
np11_nt25,nt10_np7,6.5587
np11_nt25,nt10_nt9,4.8759
np11_nt25,nt11_np18,5.7467
np11_nt25,nt11_nt12,6.3723
np11_nt25,nt12_nt13,4.7973
np11_nt25,nt12_nt17,7.2916
np11_nt25,nt12_nt7,2.9237
np11_nt25,nt13_nt12,4.0368
np11_nt25,nt13_nt14,7.5714
np11_nt25,nt13_nt18,7.5038
np11_nt25,nt13_nt8,3.9880
np11_nt25,nt14_nt13,5.4813
np11_nt25,nt14_nt19,6.7748
np11_nt25,nt14_nt9,5.3450
np11_nt25,nt15_np8,5.0800
np11_nt25,nt15_nt14,8.6630
np11_nt25,nt16_np17,2.3125
np11_nt25,nt16_nt17,5.6199
np11_nt25,nt17_nt12,4.0555
np11_nt25,nt17_nt18,7.7550
np11_nt25,nt18_nt13,7.0463
np11_nt25,nt18_nt17,5.0589
np11_nt25,nt18_nt19,10.4634
np11_nt25,nt19_nt14,6.5349
np11_nt25,nt19_nt18,3.6160
np11_nt25,nt1_np1,6.2834
np11_nt25,nt1_np20,5.6282
np11_nt25,nt20_np9,6.2696
np11_nt25,nt20_nt19,5.5256
np11_nt25,nt21_np15,6.0784
np11_nt25,nt21_np16,3.6066
np11_nt25,nt22_np14,4.8873
np11_nt25,nt22_nt17,5.6203
np11_nt25,nt23_np13,9.0542
np11_nt25,nt23_nt18,6.5052
np11_nt25,nt24_np12,3.0086
np11_nt25,nt24_nt19,1.3774
np11_nt25,nt25_np10,4.6564
np11_nt25,nt2_np2,2.0334
np11_nt25,nt2_nt7,4.6004
np11_nt25,nt3_np3,2.6654
np11_nt25,nt3_nt8,6.3202
np11_nt25,nt4_np4,1.0000
np11_nt25,nt4_nt9,3.5687
np11_nt25,nt5_np5,6.0569
np11_nt25,nt5_np6,4.8824
np11_nt25,nt6_np19,8.9111
np11_nt25,nt6_nt7,1.3502
np11_nt25,nt7_nt12,5.8732
np11_nt25,nt7_nt8,5.7407
np11_nt25,nt8_nt13,6.8189
np11_nt25,nt8_nt7,3.7295
np11_nt25,nt8_nt9,6.2646
np11_nt25,nt9_nt14,7.3309
np11_nt25,nt9_nt8,5.3069
np12_nt24,nt10_np7,7.0653
np12_nt24,nt10_nt9,4.9141
np12_nt24,nt11_np18,3.6720
np12_nt24,nt11_nt12,5.4346
np12_nt24,nt12_nt13,6.3020
np12_nt24,nt12_nt17,7.5432
np12_nt24,nt12_nt7,9.3356
np12_nt24,nt13_nt12,5.9991
np12_nt24,nt13_nt14,4.3812
np12_nt24,nt13_nt18,2.3525
np12_nt24,nt13_nt8,3.0616
np12_nt24,nt14_nt13,4.9040
np12_nt24,nt14_nt19,6.7929
np12_nt24,nt14_nt9,6.1440
np12_nt24,nt15_np8,4.1489
np12_nt24,nt15_nt14,4.8524
np12_nt24,nt16_np17,9.5181
np12_nt24,nt16_nt17,5.9993
np12_nt24,nt17_nt12,7.2440
np12_nt24,nt17_nt18,3.2137
np12_nt24,nt18_nt13,4.1293
np12_nt24,nt18_nt17,7.0050
np12_nt24,nt18_nt19,6.6149
np12_nt24,nt19_nt14,3.2337
np12_nt24,nt19_nt18,9.3025
np12_nt24,nt1_np1,2.0063
np12_nt24,nt1_np20,3.7501
np12_nt24,nt20_np9,2.9027
np12_nt24,nt20_nt19,8.4153
np12_nt24,nt21_np15,3.7334
np12_nt24,nt21_np16,1.0000
np12_nt24,nt22_np14,9.6440
np12_nt24,nt22_nt17,1.3227
np12_nt24,nt23_np13,4.7993
np12_nt24,nt23_nt18,1.0000
np12_nt24,nt24_nt19,2.0498
np12_nt24,nt25_np10,2.2445
np12_nt24,nt25_np11,2.7384
np12_nt24,nt2_np2,5.3144
np12_nt24,nt2_nt7,7.5224
np12_nt24,nt3_np3,5.8049
np12_nt24,nt3_nt8,3.1196
np12_nt24,nt4_np4,3.2070
np12_nt24,nt4_nt9,1.0000
np12_nt24,nt5_np5,8.1605
np12_nt24,nt5_np6,3.6213
np12_nt24,nt6_np19,5.5024
np12_nt24,nt6_nt7,3.6858
np12_nt24,nt7_nt12,4.3782
np12_nt24,nt7_nt8,4.3304
np12_nt24,nt8_nt13,5.1688
np12_nt24,nt8_nt7,2.8354
np12_nt24,nt8_nt9,4.9857
np12_nt24,nt9_nt14,4.4918
np12_nt24,nt9_nt8,3.2116
np13_nt23,nt10_np7,2.7260
np13_nt23,nt10_nt9,4.8166
np13_nt23,nt11_np18,1.1091
np13_nt23,nt11_nt12,6.9707
np13_nt23,nt12_nt13,4.7677
np13_nt23,nt12_nt17,7.4053
np13_nt23,nt12_nt7,4.0626
np13_nt23,nt13_nt12,4.1401
np13_nt23,nt13_nt14,4.0533
np13_nt23,nt13_nt18,3.9438
np13_nt23,nt13_nt8,3.5236
np13_nt23,nt14_nt13,7.3756
np13_nt23,nt14_nt19,4.4066
np13_nt23,nt14_nt9,5.9726
