origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,4.4730
np10_nt25,nt10_nt9,5.1626
np10_nt25,nt11_np18,7.0980
np10_nt25,nt11_nt12,2.6808
np10_nt25,nt12_nt13,5.3562
np10_nt25,nt12_nt17,7.2422
np10_nt25,nt12_nt7,7.5462
np10_nt25,nt13_nt12,8.5849
np10_nt25,nt13_nt14,1.0000
np10_nt25,nt13_nt18,3.3947
np10_nt25,nt13_nt8,2.5422
np10_nt25,nt14_nt13,3.4722
np10_nt25,nt14_nt19,1.8824
np10_nt25,nt14_nt9,6.9003
np10_nt25,nt15_np8,6.2892
np10_nt25,nt15_nt14,7.4492
np10_nt25,nt16_np17,5.9459
np10_nt25,nt16_nt17,7.4055
np10_nt25,nt17_nt12,1.0000
np10_nt25,nt17_nt18,5.2992
np10_nt25,nt18_nt13,10.0897
np10_nt25,nt18_nt17,2.0673
np10_nt25,nt18_nt19,6.2013
np10_nt25,nt19_nt14,2.9570
np10_nt25,nt19_nt18,4.4263
np10_nt25,nt1_np1,3.0486
np10_nt25,nt1_np20,5.5578
np10_nt25,nt20_np9,3.5706
np10_nt25,nt20_nt19,7.0592
np10_nt25,nt21_np15,6.3525
np10_nt25,nt21_np16,5.3236
np10_nt25,nt22_np14,6.3535
np10_nt25,nt22_nt17,7.3388
np10_nt25,nt23_np13,5.7769
np10_nt25,nt23_nt18,1.5798
np10_nt25,nt24_np12,2.0979
np10_nt25,nt24_nt19,1.0044
np10_nt25,nt25_np11,5.3178
np10_nt25,nt2_np2,1.0953
np10_nt25,nt2_nt7,6.0325
np10_nt25,nt3_np3,7.7140
np10_nt25,nt3_nt8,4.5528
np10_nt25,nt4_np4,2.4987
np10_nt25,nt4_nt9,7.6466
np10_nt25,nt5_np5,4.0544
np10_nt25,nt5_np6,4.5037
np10_nt25,nt6_np19,4.0562
np10_nt25,nt6_nt7,8.7256
np10_nt25,nt7_nt12,7.3606
np10_nt25,nt7_nt8,4.8880
np10_nt25,nt8_nt13,4.2424
np10_nt25,nt8_nt7,6.1926
np10_nt25,nt8_nt9,3.4150
np10_nt25,nt9_nt14,5.1704
np10_nt25,nt9_nt8,6.6189
np11_nt25,nt10_np7,6.6761
np11_nt25,nt10_nt9,7.6487
np11_nt25,nt11_np18,4.4418
np11_nt25,nt11_nt12,3.6991
np11_nt25,nt12_nt13,1.0000
np11_nt25,nt12_nt17,1.4214
np11_nt25,nt12_nt7,7.1349
np11_nt25,nt13_nt12,4.6605
np11_nt25,nt13_nt14,6.3554
np11_nt25,nt13_nt18,7.1798
np11_nt25,nt13_nt8,4.7778
np11_nt25,nt14_nt13,5.3997
np11_nt25,nt14_nt19,6.6486
np11_nt25,nt14_nt9,1.3570
np11_nt25,nt15_np8,7.8218
np11_nt25,nt15_nt14,3.6856
np11_nt25,nt16_np17,4.9009
np11_nt25,nt16_nt17,6.7499
np11_nt25,nt17_nt12,7.8122
np11_nt25,nt17_nt18,3.2720
np11_nt25,nt18_nt13,6.1694
np11_nt25,nt18_nt17,5.4618
np11_nt25,nt18_nt19,3.5337
np11_nt25,nt19_nt14,2.9561
np11_nt25,nt19_nt18,7.6010
np11_nt25,nt1_np1,3.3192
np11_nt25,nt1_np20,7.6957
np11_nt25,nt20_np9,3.8311
np11_nt25,nt20_nt19,5.4017
np11_nt25,nt21_np15,3.6421
np11_nt25,nt21_np16,2.9537
np11_nt25,nt22_np14,4.4828
np11_nt25,nt22_nt17,5.5756
np11_nt25,nt23_np13,3.5979
np11_nt25,nt23_nt18,3.6447
np11_nt25,nt24_np12,3.9937
np11_nt25,nt24_nt19,5.9866
np11_nt25,nt25_np10,3.6855
np11_nt25,nt2_np2,7.2088
np11_nt25,nt2_nt7,7.3058
np11_nt25,nt3_np3,3.2630
np11_nt25,nt3_nt8,6.9686
np11_nt25,nt4_np4,7.0146
np11_nt25,nt4_nt9,3.7738
np11_nt25,nt5_np5,3.4963
np11_nt25,nt5_np6,5.3632
np11_nt25,nt6_np19,4.9973
np11_nt25,nt6_nt7,4.7363
np11_nt25,nt7_nt12,6.4677
np11_nt25,nt7_nt8,4.0117
np11_nt25,nt8_nt13,4.1587
np11_nt25,nt8_nt7,3.2608
np11_nt25,nt8_nt9,6.9148
np11_nt25,nt9_nt14,3.8447
np11_nt25,nt9_nt8,7.8461
np12_nt24,nt10_np7,2.2488
np12_nt24,nt10_nt9,6.8380
np12_nt24,nt11_np18,6.0328
np12_nt24,nt11_nt12,6.0022
np12_nt24,nt12_nt13,6.0051
np12_nt24,nt12_nt17,6.5921
np12_nt24,nt12_nt7,7.4357
np12_nt24,nt13_nt12,5.1227
np12_nt24,nt13_nt14,4.8156
np12_nt24,nt13_nt18,4.7949
np12_nt24,nt13_nt8,8.4285
np12_nt24,nt14_nt13,5.5731
np12_nt24,nt14_nt19,1.0000
np12_nt24,nt14_nt9,5.7119
np12_nt24,nt15_np8,4.8647
np12_nt24,nt15_nt14,4.6557
np12_nt24,nt16_np17,1.9067
np12_nt24,nt16_nt17,3.1397
np12_nt24,nt17_nt12,1.6696
np12_nt24,nt17_nt18,3.3020
np12_nt24,nt18_nt13,3.3461
np12_nt24,nt18_nt17,4.0119
np12_nt24,nt18_nt19,5.4272
np12_nt24,nt19_nt14,4.5287
np12_nt24,nt19_nt18,5.9115
np12_nt24,nt1_np1,1.5478
np12_nt24,nt1_np20,8.0344
np12_nt24,nt20_np9,7.4683
np12_nt24,nt20_nt19,5.4567
np12_nt24,nt21_np15,3.2185
np12_nt24,nt21_np16,3.9990
np12_nt24,nt22_np14,7.4817
np12_nt24,nt22_nt17,6.8079
np12_nt24,nt23_np13,8.1391
np12_nt24,nt23_nt18,5.7188
np12_nt24,nt24_nt19,6.6954
np12_nt24,nt25_np10,7.5856
np12_nt24,nt25_np11,5.1980
np12_nt24,nt2_np2,5.9621
np12_nt24,nt2_nt7,3.5579
np12_nt24,nt3_np3,1.0000
np12_nt24,nt3_nt8,5.3136
np12_nt24,nt4_np4,3.9525
np12_nt24,nt4_nt9,3.9668
np12_nt24,nt5_np5,7.1127
np12_nt24,nt5_np6,3.6875
np12_nt24,nt6_np19,7.8086
np12_nt24,nt6_nt7,3.2894
np12_nt24,nt7_nt12,9.0584
np12_nt24,nt7_nt8,5.1618
np12_nt24,nt8_nt13,3.8895
np12_nt24,nt8_nt7,3.1579
np12_nt24,nt8_nt9,5.9032
np12_nt24,nt9_nt14,4.9969
np12_nt24,nt9_nt8,6.0396
np13_nt23,nt10_np7,4.3082
np13_nt23,nt10_nt9,2.1131
np13_nt23,nt11_np18,5.1386
np13_nt23,nt11_nt12,3.7486
np13_nt23,nt12_nt13,5.3676
np13_nt23,nt12_nt17,1.0000
np13_nt23,nt12_nt7,6.3338
np13_nt23,nt13_nt12,4.8014
np13_nt23,nt13_nt14,5.0200
np13_nt23,nt13_nt18,9.2496
np13_nt23,nt13_nt8,5.2181
np13_nt23,nt14_nt13,6.6057
np13_nt23,nt14_nt19,3.8868
np13_nt23,nt14_nt9,5.6327
np13_nt23,nt15_np8,7.9173
np13_nt23,nt15_nt14,5.3115
np13_nt23,nt16_np17,4.2501
np13_nt23,nt16_nt17,6.0266
np13_nt23,nt17_nt12,6.8012
