origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,1.7604
np10_nt25,nt10_nt9,5.1420
np10_nt25,nt11_np18,3.9580
np10_nt25,nt11_nt12,8.9310
np10_nt25,nt12_nt13,4.1560
np10_nt25,nt12_nt17,6.3136
np10_nt25,nt12_nt7,7.5474
np10_nt25,nt13_nt12,5.0364
np10_nt25,nt13_nt14,9.8714
np10_nt25,nt13_nt18,8.5908
np10_nt25,nt13_nt8,6.6195
np10_nt25,nt14_nt13,5.3242
np10_nt25,nt14_nt19,4.9330
np10_nt25,nt14_nt9,4.3867
np10_nt25,nt15_np8,7.8616
np10_nt25,nt15_nt14,5.8521
np10_nt25,nt16_np17,3.9822
np10_nt25,nt16_nt17,2.4432
np10_nt25,nt17_nt12,4.2910
np10_nt25,nt17_nt18,7.4888
np10_nt25,nt18_nt13,6.5510
np10_nt25,nt18_nt17,2.9938
np10_nt25,nt18_nt19,6.8898
np10_nt25,nt19_nt14,5.7789
np10_nt25,nt19_nt18,2.6763
np10_nt25,nt1_np1,2.4480
np10_nt25,nt1_np20,8.9214
np10_nt25,nt20_np9,5.0056
np10_nt25,nt20_nt19,1.0000
np10_nt25,nt21_np15,4.0189
np10_nt25,nt21_np16,6.4064
np10_nt25,nt22_np14,2.5483
np10_nt25,nt22_nt17,7.8492
np10_nt25,nt23_np13,8.4498
np10_nt25,nt23_nt18,5.8826
np10_nt25,nt24_np12,6.3152
np10_nt25,nt24_nt19,5.7799
np10_nt25,nt25_np11,8.3203
np10_nt25,nt2_np2,3.3720
np10_nt25,nt2_nt7,1.3473
np10_nt25,nt3_np3,7.1170
np10_nt25,nt3_nt8,3.8233
np10_nt25,nt4_np4,7.8327
np10_nt25,nt4_nt9,1.6222
np10_nt25,nt5_np5,2.8353
np10_nt25,nt5_np6,3.0154
np10_nt25,nt6_np19,4.0217
np10_nt25,nt6_nt7,5.7035
np10_nt25,nt7_nt12,4.4598
np10_nt25,nt7_nt8,8.2743
np10_nt25,nt8_nt13,3.2419
np10_nt25,nt8_nt7,7.1924
np10_nt25,nt8_nt9,3.9707
np10_nt25,nt9_nt14,4.4178
np10_nt25,nt9_nt8,4.1243
np11_nt25,nt10_np7,4.1597
np11_nt25,nt10_nt9,5.3142
np11_nt25,nt11_np18,2.1713
np11_nt25,nt11_nt12,8.6173
np11_nt25,nt12_nt13,4.2208
np11_nt25,nt12_nt17,4.1155
np11_nt25,nt12_nt7,5.8762
np11_nt25,nt13_nt12,4.6437
np11_nt25,nt13_nt14,4.3322
np11_nt25,nt13_nt18,8.2790
np11_nt25,nt13_nt8,5.8050
np11_nt25,nt14_nt13,1.9373
np11_nt25,nt14_nt19,4.0104
np11_nt25,nt14_nt9,8.4958
np11_nt25,nt15_np8,4.0117
np11_nt25,nt15_nt14,7.7759
np11_nt25,nt16_np17,6.1336
np11_nt25,nt16_nt17,6.2238
np11_nt25,nt17_nt12,3.8440
np11_nt25,nt17_nt18,6.5202
np11_nt25,nt18_nt13,6.7892
np11_nt25,nt18_nt17,6.8313
np11_nt25,nt18_nt19,4.6017
np11_nt25,nt19_nt14,7.4162
np11_nt25,nt19_nt18,3.4036
np11_nt25,nt1_np1,3.1240
np11_nt25,nt1_np20,1.0000
np11_nt25,nt20_np9,5.2994
np11_nt25,nt20_nt19,4.0017
np11_nt25,nt21_np15,6.8517
np11_nt25,nt21_np16,5.5624
np11_nt25,nt22_np14,3.3420
np11_nt25,nt22_nt17,4.9958
np11_nt25,nt23_np13,2.5192
np11_nt25,nt23_nt18,3.2386
np11_nt25,nt24_np12,1.0000
np11_nt25,nt24_nt19,3.2703
np11_nt25,nt25_np10,1.0000
np11_nt25,nt2_np2,3.9890
np11_nt25,nt2_nt7,5.7094
np11_nt25,nt3_np3,3.8287
np11_nt25,nt3_nt8,7.7254
np11_nt25,nt4_np4,3.9480
np11_nt25,nt4_nt9,7.8905
np11_nt25,nt5_np5,6.7463
np11_nt25,nt5_np6,8.8308
np11_nt25,nt6_np19,2.4821
np11_nt25,nt6_nt7,5.2155
np11_nt25,nt7_nt12,5.5768
np11_nt25,nt7_nt8,5.7261
np11_nt25,nt8_nt13,4.1193
np11_nt25,nt8_nt7,5.0423
np11_nt25,nt8_nt9,6.7448
np11_nt25,nt9_nt14,3.2132
np11_nt25,nt9_nt8,3.9514
np12_nt24,nt10_np7,8.4121
np12_nt24,nt10_nt9,4.7449
np12_nt24,nt11_np18,7.5374
np12_nt24,nt11_nt12,6.1247
np12_nt24,nt12_nt13,6.9087
np12_nt24,nt12_nt17,5.9278
np12_nt24,nt12_nt7,5.8482
np12_nt24,nt13_nt12,3.0570
np12_nt24,nt13_nt14,1.2604
np12_nt24,nt13_nt18,4.8473
np12_nt24,nt13_nt8,6.2291
np12_nt24,nt14_nt13,6.6177
np12_nt24,nt14_nt19,8.1519
np12_nt24,nt14_nt9,6.7060
np12_nt24,nt15_np8,3.2986
np12_nt24,nt15_nt14,4.2720
np12_nt24,nt16_np17,5.5858
np12_nt24,nt16_nt17,5.9159
np12_nt24,nt17_nt12,3.2493
np12_nt24,nt17_nt18,4.9127
np12_nt24,nt18_nt13,7.4080
np12_nt24,nt18_nt17,4.3017
np12_nt24,nt18_nt19,8.6468
np12_nt24,nt19_nt14,1.0000
np12_nt24,nt19_nt18,8.3894
np12_nt24,nt1_np1,1.9266
np12_nt24,nt1_np20,4.1038
np12_nt24,nt20_np9,9.1651
np12_nt24,nt20_nt19,4.8486
np12_nt24,nt21_np15,6.9279
np12_nt24,nt21_np16,3.7347
np12_nt24,nt22_np14,3.9204
np12_nt24,nt22_nt17,6.2961
np12_nt24,nt23_np13,6.7670
np12_nt24,nt23_nt18,7.2243
np12_nt24,nt24_nt19,7.4638
np12_nt24,nt25_np10,4.3108
np12_nt24,nt25_np11,3.9493
np12_nt24,nt2_np2,4.2943
np12_nt24,nt2_nt7,2.7210
np12_nt24,nt3_np3,4.5394
np12_nt24,nt3_nt8,5.5373
np12_nt24,nt4_np4,5.7904
np12_nt24,nt4_nt9,4.3696
np12_nt24,nt5_np5,5.7013
np12_nt24,nt5_np6,3.9132
np12_nt24,nt6_np19,3.6507
np12_nt24,nt6_nt7,4.9815
np12_nt24,nt7_nt12,5.8466
np12_nt24,nt7_nt8,6.2346
np12_nt24,nt8_nt13,5.2490
np12_nt24,nt8_nt7,7.5850
np12_nt24,nt8_nt9,2.4290
np12_nt24,nt9_nt14,4.8845
np12_nt24,nt9_nt8,5.2635
np13_nt23,nt10_np7,6.5268
np13_nt23,nt10_nt9,4.1816
np13_nt23,nt11_np18,4.6857
np13_nt23,nt11_nt12,4.3405
np13_nt23,nt12_nt13,5.1054
np13_nt23,nt12_nt17,4.4311
np13_nt23,nt12_nt7,4.0648
np13_nt23,nt13_nt12,4.6088
np13_nt23,nt13_nt14,4.7139
np13_nt23,nt13_nt18,5.5483
np13_nt23,nt13_nt8,4.6772
np13_nt23,nt14_nt13,4.2639
np13_nt23,nt14_nt19,6.1799
np13_nt23,nt14_nt9,4.5970
np13_nt23,nt15_np8,6.5808
np13_nt23,nt15_nt14,9.0441
np13_nt23,nt16_np17,4.2457
np13_nt23,nt16_nt17,4.0013
np13_nt23,nt17_nt12,2.8186
np13_nt23,nt17_nt18,2.6409
np13_nt23,nt18_nt13,4.4093
np13_nt23,nt18_nt17,5.0626
np13_nt23,nt18_nt19,5.7330
np13_nt23,nt19_nt14,5.4261
np13_nt23,nt19_nt18,3.7301
np13_nt23,nt1_np1,6.6188
np13_nt23,nt1_np20,7.1472
np13_nt23,nt20_np9,5.8091
np13_nt23,nt20_nt19,4.7697
np13_nt23,nt21_np15,6.0543
np13_nt23,nt21_np16,6.9102
np13_nt23,nt22_np14,2.6416
np13_nt23,nt22_nt17,9.0196
np13_nt23,nt23_nt18,4.9538
np13_nt23,nt24_np12,4.7373
np13_nt23,nt24_nt19,6.7519
np13_nt23,nt25_np10,4.4811
np13_nt23,nt25_np11,2.5144
np13_nt23,nt2_np2,3.0277
np13_nt23,nt2_nt7,6.8830
np13_nt23,nt3_np3,6.4774
np13_nt23,nt3_nt8,6.0760
np13_nt23,nt4_np4,3.6480
np13_nt23,nt4_nt9,2.6990
np13_nt23,nt5_np5,3.4515
np13_nt23,nt5_np6,4.8043
np13_nt23,nt6_np19,7.6986
np13_nt23,nt6_nt7,4.5745
np13_nt23,nt7_nt12,7.5416
np13_nt23,nt7_nt8,3.6326
np13_nt23,nt8_nt13,7.8136
np13_nt23,nt8_nt7,8.3121
np13_nt23,nt8_nt9,7.6557
np13_nt23,nt9_nt14,3.3382
np13_nt23,nt9_nt8,2.8183
np14_nt22,nt10_np7,4.6727
np14_nt22,nt10_nt9,6.9218
np14_nt22,nt11_np18,2.1545
np14_nt22,nt11_nt12,3.2869
np14_nt22,nt12_nt13,7.6092
np14_nt22,nt12_nt17,8.5818
np14_nt22,nt12_nt7,5.4255
np14_nt22,nt13_nt12,4.6263
np14_nt22,nt13_nt14,2.7073
np14_nt22,nt13_nt18,8.9067
np14_nt22,nt13_nt8,4.7669
np14_nt22,nt14_nt13,3.2018
np14_nt22,nt14_nt19,6.2863
np14_nt22,nt14_nt9,6.3688
np14_nt22,nt15_np8,4.7642
np14_nt22,nt15_nt14,6.7448
np14_nt22,nt16_np17,3.9725
np14_nt22,nt16_nt17,4.3152
np14_nt22,nt17_nt12,4.9387
np14_nt22,nt17_nt18,3.5584
np14_nt22,nt18_nt13,1.0000
np14_nt22,nt18_nt17,4.6062
np14_nt22,nt18_nt19,6.1469
np14_nt22,nt19_nt14,5.0592
np14_nt22,nt19_nt18,6.1228
np14_nt22,nt1_np1,6.0640
np14_nt22,nt1_np20,8.8667
np14_nt22,nt20_np9,3.5742
np14_nt22,nt20_nt19,5.2703
np14_nt22,nt21_np15,7.3733
np14_nt22,nt21_np16,1.4042
np14_nt22,nt22_nt17,1.0000
np14_nt22,nt23_np13,5.3601
np14_nt22,nt23_nt18,3.7796
np14_nt22,nt24_np12,6.2809
np14_nt22,nt24_nt19,5.9420
np14_nt22,nt25_np10,7.1125
np14_nt22,nt25_np11,3.7020
np14_nt22,nt2_np2,1.1992
np14_nt22,nt2_nt7,8.0007
np14_nt22,nt3_np3,7.1968
np14_nt22,nt3_nt8,1.5868
np14_nt22,nt4_np4,3.6807
np14_nt22,nt4_nt9,7.2242
np14_nt22,nt5_np5,1.4896
np14_nt22,nt5_np6,5.3534
np14_nt22,nt6_np19,5.1401
np14_nt22,nt6_nt7,3.9716
np14_nt22,nt7_nt12,5.0737
np14_nt22,nt7_nt8,7.0515
np14_nt22,nt8_nt13,2.6907
np14_nt22,nt8_nt7,5.3731
np14_nt22,nt8_nt9,5.8320
np14_nt22,nt9_nt14,4.0951
np14_nt22,nt9_nt8,1.6565
np15_nt21,nt10_np7,2.1395
np15_nt21,nt10_nt9,2.6567
np15_nt21,nt11_np18,2.3275
np15_nt21,nt11_nt12,6.3979
np15_nt21,nt12_nt13,2.6417
np15_nt21,nt12_nt17,3.5283
np15_nt21,nt12_nt7,4.5060
np15_nt21,nt13_nt12,3.9827
np15_nt21,nt13_nt14,5.9068
np15_nt21,nt13_nt18,2.9166
np15_nt21,nt13_nt8,3.8944
np15_nt21,nt14_nt13,7.5063
np15_nt21,nt14_nt19,5.0484
np15_nt21,nt14_nt9,3.4043
np15_nt21,nt15_np8,1.3091
np15_nt21,nt15_nt14,3.1709
np15_nt21,nt16_np17,4.4767
np15_nt21,nt16_nt17,6.7851
np15_nt21,nt17_nt12,3.2111
np15_nt21,nt17_nt18,4.1850
np15_nt21,nt18_nt13,6.1723
np15_nt21,nt18_nt17,7.3198
np15_nt21,nt18_nt19,2.3887
np15_nt21,nt19_nt14,5.2556
np15_nt21,nt19_nt18,6.8089
np15_nt21,nt1_np1,5.3349
np15_nt21,nt1_np20,5.0944
np15_nt21,nt20_np9,4.1927
np15_nt21,nt20_nt19,6.5633
np15_nt21,nt21_np16,4.8503
np15_nt21,nt22_np14,2.7972
np15_nt21,nt22_nt17,1.8251
np15_nt21,nt23_np13,1.4235
np15_nt21,nt23_nt18,5.8868
np15_nt21,nt24_np12,5.7939
np15_nt21,nt24_nt19,6.1831
np15_nt21,nt25_np10,7.7303
np15_nt21,nt25_np11,5.8149
np15_nt21,nt2_np2,2.1957
np15_nt21,nt2_nt7,3.2238
np15_nt21,nt3_np3,3.1491
np15_nt21,nt3_nt8,4.8250
np15_nt21,nt4_np4,3.8305
np15_nt21,nt4_nt9,2.1484
np15_nt21,nt5_np5,4.8111
np15_nt21,nt5_np6,3.8869
np15_nt21,nt6_np19,5.2379
np15_nt21,nt6_nt7,7.9367
np15_nt21,nt7_nt12,6.2737
np15_nt21,nt7_nt8,4.4183
np15_nt21,nt8_nt13,8.8172
np15_nt21,nt8_nt7,7.9224
np15_nt21,nt8_nt9,3.4530
np15_nt21,nt9_nt14,7.6276
np15_nt21,nt9_nt8,5.8072
np16_nt21,nt10_np7,3.3690
np16_nt21,nt10_nt9,3.5420
np16_nt21,nt11_np18,5.2755
np16_nt21,nt11_nt12,2.4080
np16_nt21,nt12_nt13,4.7100
np16_nt21,nt12_nt17,2.0520
np16_nt21,nt12_nt7,5.1700
np16_nt21,nt13_nt12,1.7501
np16_nt21,nt13_nt14,4.5078
np16_nt21,nt13_nt18,6.9602
np16_nt21,nt13_nt8,7.9724
np16_nt21,nt14_nt13,4.6675
np16_nt21,nt14_nt19,6.5054
np16_nt21,nt14_nt9,2.9366
np16_nt21,nt15_np8,7.1487
np16_nt21,nt15_nt14,5.1083
np16_nt21,nt16_np17,2.5011
np16_nt21,nt16_nt17,3.5074
np16_nt21,nt17_nt12,5.9427
np16_nt21,nt17_nt18,6.3906
np16_nt21,nt18_nt13,3.6294
np16_nt21,nt18_nt17,8.5328
np16_nt21,nt18_nt19,5.5120
np16_nt21,nt19_nt14,4.8433
np16_nt21,nt19_nt18,4.9404
np16_nt21,nt1_np1,4.5408
np16_nt21,nt1_np20,6.5679
np16_nt21,nt20_np9,4.1421
np16_nt21,nt20_nt19,5.9613
np16_nt21,nt21_np15,4.7283
np16_nt21,nt22_np14,4.6494
np16_nt21,nt22_nt17,7.9081
np16_nt21,nt23_np13,4.5991
np16_nt21,nt23_nt18,3.0707
np16_nt21,nt24_np12,3.5768
np16_nt21,nt24_nt19,3.7063
np16_nt21,nt25_np10,5.1193
np16_nt21,nt25_np11,2.7615
np16_nt21,nt2_np2,6.5510
np16_nt21,nt2_nt7,5.0868
np16_nt21,nt3_np3,7.3806
np16_nt21,nt3_nt8,5.8672
np16_nt21,nt4_np4,3.9547
np16_nt21,nt4_nt9,8.2499
np16_nt21,nt5_np5,8.3995
np16_nt21,nt5_np6,3.3039
np16_nt21,nt6_np19,9.5240
np16_nt21,nt6_nt7,4.5953
np16_nt21,nt7_nt12,3.5849
np16_nt21,nt7_nt8,5.5723
np16_nt21,nt8_nt13,3.2910
np16_nt21,nt8_nt7,5.5902
np16_nt21,nt8_nt9,4.0144
np16_nt21,nt9_nt14,6.2886
np16_nt21,nt9_nt8,4.4157
np17_nt16,nt10_np7,4.7366
np17_nt16,nt10_nt9,5.0274
np17_nt16,nt11_np18,8.5656
np17_nt16,nt11_nt12,4.9038
np17_nt16,nt12_nt13,3.6356
np17_nt16,nt12_nt17,4.9983
np17_nt16,nt12_nt7,1.8408
np17_nt16,nt13_nt12,6.3387
np17_nt16,nt13_nt14,5.4879
np17_nt16,nt13_nt18,5.2440
np17_nt16,nt13_nt8,3.2212
np17_nt16,nt14_nt13,5.1386
np17_nt16,nt14_nt19,6.4390
np17_nt16,nt14_nt9,1.1177
np17_nt16,nt15_np8,4.9314
np17_nt16,nt15_nt14,6.7203
np17_nt16,nt16_nt17,4.1633
np17_nt16,nt17_nt12,7.7313
np17_nt16,nt17_nt18,5.2446
np17_nt16,nt18_nt13,2.2404
np17_nt16,nt18_nt17,8.2432
np17_nt16,nt18_nt19,5.7150
np17_nt16,nt19_nt14,1.4167
np17_nt16,nt19_nt18,4.6415
np17_nt16,nt1_np1,6.8205
np17_nt16,nt1_np20,2.4637
