origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,6.1665
np10_nt25,nt10_nt9,3.4724
np10_nt25,nt11_np18,6.6007
np10_nt25,nt11_nt12,6.4359
np10_nt25,nt12_nt13,4.8505
np10_nt25,nt12_nt17,6.3284
np10_nt25,nt12_nt7,3.2437
np10_nt25,nt13_nt12,5.3765
np10_nt25,nt13_nt14,6.2878
np10_nt25,nt13_nt18,2.1611
np10_nt25,nt13_nt8,3.6368
np10_nt25,nt14_nt13,2.0385
np10_nt25,nt14_nt19,8.3070
np10_nt25,nt14_nt9,2.6323
np10_nt25,nt15_np8,6.8930
np10_nt25,nt15_nt14,6.8910
np10_nt25,nt16_np17,6.8580
np10_nt25,nt16_nt17,3.2241
np10_nt25,nt17_nt12,1.0000
np10_nt25,nt17_nt18,3.7077
np10_nt25,nt18_nt13,1.3930
np10_nt25,nt18_nt17,6.0083
np10_nt25,nt18_nt19,3.7981
np10_nt25,nt19_nt14,5.3371
np10_nt25,nt19_nt18,3.8839
np10_nt25,nt1_np1,6.3392
np10_nt25,nt1_np20,6.6779
np10_nt25,nt20_np9,6.9508
np10_nt25,nt20_nt19,7.4653
np10_nt25,nt21_np15,6.4457
np10_nt25,nt21_np16,6.8999
np10_nt25,nt22_np14,6.5280
np10_nt25,nt22_nt17,4.8600
np10_nt25,nt23_np13,6.3966
np10_nt25,nt23_nt18,7.0845
np10_nt25,nt24_np12,6.3399
np10_nt25,nt24_nt19,6.3489
np10_nt25,nt25_np11,7.0569
np10_nt25,nt2_np2,6.8455
np10_nt25,nt2_nt7,6.3222
np10_nt25,nt3_np3,6.5758
np10_nt25,nt3_nt8,6.0812
np10_nt25,nt4_np4,6.4374
np10_nt25,nt4_nt9,2.4557
np10_nt25,nt5_np5,6.2472
np10_nt25,nt5_np6,6.7049
np10_nt25,nt6_np19,6.6250
np10_nt25,nt6_nt7,3.0297
np10_nt25,nt7_nt12,4.6787
np10_nt25,nt7_nt8,7.7267
np10_nt25,nt8_nt13,9.0310
np10_nt25,nt8_nt7,5.7159
np10_nt25,nt8_nt9,5.2728
np10_nt25,nt9_nt14,6.3276
np10_nt25,nt9_nt8,3.5192
np11_nt25,nt10_np7,6.6002
np11_nt25,nt10_nt9,6.1949
np11_nt25,nt11_np18,6.6822
np11_nt25,nt11_nt12,7.1171
np11_nt25,nt12_nt13,2.4312
np11_nt25,nt12_nt17,2.7368
np11_nt25,nt12_nt7,7.2152
np11_nt25,nt13_nt12,2.9469
np11_nt25,nt13_nt14,7.1591
np11_nt25,nt13_nt18,7.0006
np11_nt25,nt13_nt8,1.0000
np11_nt25,nt14_nt13,6.4283
np11_nt25,nt14_nt19,8.3624
np11_nt25,nt14_nt9,4.4534
np11_nt25,nt15_np8,6.9843
np11_nt25,nt15_nt14,9.1900
np11_nt25,nt16_np17,6.6349
np11_nt25,nt16_nt17,7.6332
np11_nt25,nt17_nt12,5.1481
np11_nt25,nt17_nt18,5.8017
np11_nt25,nt18_nt13,6.5347
np11_nt25,nt18_nt17,8.7084
np11_nt25,nt18_nt19,2.3225
np11_nt25,nt19_nt14,6.1996
np11_nt25,nt19_nt18,2.2118
np11_nt25,nt1_np1,6.3269
np11_nt25,nt1_np20,6.6061
np11_nt25,nt20_np9,6.8654
np11_nt25,nt20_nt19,2.2547
np11_nt25,nt21_np15,6.5233
np11_nt25,nt21_np16,6.1728
np11_nt25,nt22_np14,7.1582
np11_nt25,nt22_nt17,3.4497
np11_nt25,nt23_np13,6.3452
np11_nt25,nt23_nt18,4.6974
np11_nt25,nt24_np12,6.3593
np11_nt25,nt24_nt19,6.2755
np11_nt25,nt25_np10,6.4569
np11_nt25,nt2_np2,6.9932
np11_nt25,nt2_nt7,8.9296
np11_nt25,nt3_np3,7.1210
np11_nt25,nt3_nt8,2.1320
np11_nt25,nt4_np4,6.8228
np11_nt25,nt4_nt9,7.0572
np11_nt25,nt5_np5,6.8637
np11_nt25,nt5_np6,7.0843
np11_nt25,nt6_np19,6.7700
np11_nt25,nt6_nt7,6.3816
np11_nt25,nt7_nt12,6.6553
np11_nt25,nt7_nt8,1.7658
np11_nt25,nt8_nt13,3.9015
np11_nt25,nt8_nt7,3.9544
np11_nt25,nt8_nt9,5.9263
np11_nt25,nt9_nt14,7.3855
np11_nt25,nt9_nt8,6.1891
np12_nt24,nt10_np7,6.8484
np12_nt24,nt10_nt9,3.8942
np12_nt24,nt11_np18,6.6268
np12_nt24,nt11_nt12,3.6836
np12_nt24,nt12_nt13,6.7994
np12_nt24,nt12_nt17,3.5038
np12_nt24,nt12_nt7,3.5396
np12_nt24,nt13_nt12,2.3971
np12_nt24,nt13_nt14,3.3429
np12_nt24,nt13_nt18,5.9913
np12_nt24,nt13_nt8,7.3193
np12_nt24,nt14_nt13,5.4000
np12_nt24,nt14_nt19,5.7108
np12_nt24,nt14_nt9,5.3471
np12_nt24,nt15_np8,7.1947
np12_nt24,nt15_nt14,1.0000
np12_nt24,nt16_np17,6.1781
np12_nt24,nt16_nt17,4.5323
np12_nt24,nt17_nt12,5.3537
np12_nt24,nt17_nt18,4.6873
np12_nt24,nt18_nt13,3.8070
np12_nt24,nt18_nt17,2.6133
np12_nt24,nt18_nt19,6.0451
np12_nt24,nt19_nt14,5.0347
np12_nt24,nt19_nt18,7.2590
np12_nt24,nt1_np1,6.2529
np12_nt24,nt1_np20,6.4197
np12_nt24,nt20_np9,6.3039
np12_nt24,nt20_nt19,2.8592
np12_nt24,nt21_np15,6.3437
np12_nt24,nt21_np16,7.2188
np12_nt24,nt22_np14,6.3086
np12_nt24,nt22_nt17,7.1272
np12_nt24,nt23_np13,6.8132
np12_nt24,nt23_nt18,7.0064
np12_nt24,nt24_nt19,5.9623
np12_nt24,nt25_np10,6.2489
np12_nt24,nt25_np11,6.8345
np12_nt24,nt2_np2,6.6897
np12_nt24,nt2_nt7,7.5638
np12_nt24,nt3_np3,7.0198
np12_nt24,nt3_nt8,3.4571
np12_nt24,nt4_np4,5.9483
np12_nt24,nt4_nt9,4.3414
np12_nt24,nt5_np5,6.2811
np12_nt24,nt5_np6,6.5729
np12_nt24,nt6_np19,6.9180
