origin_edge,dest_edge,veh_per_hour
np10_nt25,nt10_np7,7.3083
np10_nt25,nt10_nt9,6.9516
np10_nt25,nt11_np18,2.7943
np10_nt25,nt11_nt12,2.5937
np10_nt25,nt12_nt13,1.0000
np10_nt25,nt12_nt17,4.0537
np10_nt25,nt12_nt7,2.6464
np10_nt25,nt13_nt12,5.9394
np10_nt25,nt13_nt14,6.1888
np10_nt25,nt13_nt18,6.1669
np10_nt25,nt13_nt8,7.2679
np10_nt25,nt14_nt13,7.6516
np10_nt25,nt14_nt19,5.1918
np10_nt25,nt14_nt9,5.3296
np10_nt25,nt15_np8,8.0881
np10_nt25,nt15_nt14,5.6964
np10_nt25,nt16_np17,4.2882
np10_nt25,nt16_nt17,6.9895
np10_nt25,nt17_nt12,2.7880
np10_nt25,nt17_nt18,3.6233
np10_nt25,nt18_nt13,5.3218
np10_nt25,nt18_nt17,2.2653
np10_nt25,nt18_nt19,4.0835
np10_nt25,nt19_nt14,6.2103
np10_nt25,nt19_nt18,4.2384
np10_nt25,nt1_np1,7.1378
np10_nt25,nt1_np20,5.0839
np10_nt25,nt20_np9,5.7106
np10_nt25,nt20_nt19,4.6434
np10_nt25,nt21_np15,2.3596
np10_nt25,nt21_np16,3.1344
np10_nt25,nt22_np14,9.7844
np10_nt25,nt22_nt17,4.2133
np10_nt25,nt23_np13,6.2096
np10_nt25,nt23_nt18,8.9992
np10_nt25,nt24_np12,8.6466
np10_nt25,nt24_nt19,3.9541
np10_nt25,nt25_np11,2.1031
np10_nt25,nt2_np2,2.7513
np10_nt25,nt2_nt7,1.9265
np10_nt25,nt3_np3,4.4100
np10_nt25,nt3_nt8,3.9862
np10_nt25,nt4_np4,3.0040
np10_nt25,nt4_nt9,4.7725
np10_nt25,nt5_np5,1.6012
np10_nt25,nt5_np6,7.5270
np10_nt25,nt6_np19,4.8883
np10_nt25,nt6_nt7,6.6971
np10_nt25,nt7_nt12,5.7432
np10_nt25,nt7_nt8,1.8135
np10_nt25,nt8_nt13,6.1644
np10_nt25,nt8_nt7,8.8763
np10_nt25,nt8_nt9,3.9454
np10_nt25,nt9_nt14,6.7227
np10_nt25,nt9_nt8,4.8890
np11_nt25,nt10_np7,4.5347
np11_nt25,nt10_nt9,5.0771
np11_nt25,nt11_np18,5.7897
np11_nt25,nt11_nt12,4.6117
np11_nt25,nt12_nt13,3.3269
np11_nt25,nt12_nt17,2.4272
np11_nt25,nt12_nt7,2.5967
np11_nt25,nt13_nt12,9.4939
np11_nt25,nt13_nt14,1.1819
np11_nt25,nt13_nt18,5.8018
np11_nt25,nt13_nt8,3.6029
np11_nt25,nt14_nt13,3.7487
np11_nt25,nt14_nt19,7.8880
np11_nt25,nt14_nt9,3.3801
np11_nt25,nt15_np8,6.0686
np11_nt25,nt15_nt14,5.2223
np11_nt25,nt16_np17,3.7062
np11_nt25,nt16_nt17,4.1475
np11_nt25,nt17_nt12,7.6767
np11_nt25,nt17_nt18,4.9636
np11_nt25,nt18_nt13,5.8169
np11_nt25,nt18_nt17,4.7761
np11_nt25,nt18_nt19,5.8436
np11_nt25,nt19_nt14,5.6144
np11_nt25,nt19_nt18,7.4044
np11_nt25,nt1_np1,1.2100
np11_nt25,nt1_np20,5.5554
np11_nt25,nt20_np9,4.2673
np11_nt25,nt20_nt19,9.5772
np11_nt25,nt21_np15,1.6569
np11_nt25,nt21_np16,4.9122
np11_nt25,nt22_np14,7.5814
np11_nt25,nt22_nt17,5.6384
np11_nt25,nt23_np13,5.3778
np11_nt25,nt23_nt18,4.1483
np11_nt25,nt24_np12,6.4928
np11_nt25,nt24_nt19,7.0300
np11_nt25,nt25_np10,4.6883
np11_nt25,nt2_np2,5.0908
np11_nt25,nt2_nt7,6.0394
np11_nt25,nt3_np3,4.9362
np11_nt25,nt3_nt8,5.7204
np11_nt25,nt4_np4,7.2773
np11_nt25,nt4_nt9,4.4938
np11_nt25,nt5_np5,6.0726
np11_nt25,nt5_np6,8.9003
np11_nt25,nt6_np19,5.6051
np11_nt25,nt6_nt7,3.8881
np11_nt25,nt7_nt12,5.5777
np11_nt25,nt7_nt8,3.8928
np11_nt25,nt8_nt13,6.5068
np11_nt25,nt8_nt7,2.2821
np11_nt25,nt8_nt9,6.1336
np11_nt25,nt9_nt14,5.2167
np11_nt25,nt9_nt8,7.1973
np12_nt24,nt10_np7,5.5241
np12_nt24,nt10_nt9,4.2011
np12_nt24,nt11_np18,3.0569
np12_nt24,nt11_nt12,5.2200
np12_nt24,nt12_nt13,8.0722
np12_nt24,nt12_nt17,8.6354
np12_nt24,nt12_nt7,4.1678
np12_nt24,nt13_nt12,2.9676
np12_nt24,nt13_nt14,4.9294
np12_nt24,nt13_nt18,5.2305
np12_nt24,nt13_nt8,6.7834
np12_nt24,nt14_nt13,2.8426
np12_nt24,nt14_nt19,4.7904
np12_nt24,nt14_nt9,6.4437
np12_nt24,nt15_np8,3.2964
np12_nt24,nt15_nt14,7.0262
np12_nt24,nt16_np17,1.0000
np12_nt24,nt16_nt17,8.5682
np12_nt24,nt17_nt12,5.7212
np12_nt24,nt17_nt18,4.1253
np12_nt24,nt18_nt13,4.2194
np12_nt24,nt18_nt17,5.4795
np12_nt24,nt18_nt19,5.2482
np12_nt24,nt19_nt14,5.4459
np12_nt24,nt19_nt18,4.0084
np12_nt24,nt1_np1,5.6709
np12_nt24,nt1_np20,2.6767
np12_nt24,nt20_np9,2.0360
np12_nt24,nt20_nt19,7.6919
np12_nt24,nt21_np15,4.6840
np12_nt24,nt21_np16,4.7822
np12_nt24,nt22_np14,6.1227
np12_nt24,nt22_nt17,7.3859
np12_nt24,nt23_np13,7.6286
np12_nt24,nt23_nt18,6.3098
np12_nt24,nt24_nt19,4.4508
np12_nt24,nt25_np10,2.8328
np12_nt24,nt25_np11,7.4013
np12_nt24,nt2_np2,3.3650
np12_nt24,nt2_nt7,5.0687
np12_nt24,nt3_np3,6.4829
np12_nt24,nt3_nt8,5.6500
np12_nt24,nt4_np4,9.3831
np12_nt24,nt4_nt9,3.0619
np12_nt24,nt5_np5,2.9823
np12_nt24,nt5_np6,4.6157
np12_nt24,nt6_np19,6.4086
np12_nt24,nt6_nt7,5.3060
np12_nt24,nt7_nt12,3.8771
np12_nt24,nt7_nt8,5.9636
np12_nt24,nt8_nt13,4.8944
np12_nt24,nt8_nt7,6.0290
np12_nt24,nt8_nt9,3.5210
np12_nt24,nt9_nt14,6.8861
np12_nt24,nt9_nt8,5.3729
np13_nt23,nt10_np7,5.1170
np13_nt23,nt10_nt9,6.3322
np13_nt23,nt11_np18,5.9504
np13_nt23,nt11_nt12,2.3104
np13_nt23,nt12_nt13,2.8893
np13_nt23,nt12_nt17,3.0792
np13_nt23,nt12_nt7,8.4233
np13_nt23,nt13_nt12,4.3801
np13_nt23,nt13_nt14,4.6675
np13_nt23,nt13_nt18,3.0623
np13_nt23,nt13_nt8,8.9822
np13_nt23,nt14_nt13,5.3047
np13_nt23,nt14_nt19,8.3190
np13_nt23,nt14_nt9,3.7294
np13_nt23,nt15_np8,1.0000
np13_nt23,nt15_nt14,3.3724
np13_nt23,nt16_np17,3.5099
np13_nt23,nt16_nt17,5.6846
np13_nt23,nt17_nt12,6.9572
np13_nt23,nt17_nt18,3.3434
np13_nt23,nt18_nt13,4.7468
np13_nt23,nt18_nt17,2.8462
np13_nt23,nt18_nt19,5.5007
np13_nt23,nt19_nt14,3.4851
np13_nt23,nt19_nt18,4.7893
np13_nt23,nt1_np1,7.0470
np13_nt23,nt1_np20,2.3514
np13_nt23,nt20_np9,7.9942
np13_nt23,nt20_nt19,7.1222
np13_nt23,nt21_np15,4.6897
np13_nt23,nt21_np16,6.6100
np13_nt23,nt22_np14,4.7532
np13_nt23,nt22_nt17,4.7685
np13_nt23,nt23_nt18,6.1090
np13_nt23,nt24_np12,4.3172
np13_nt23,nt24_nt19,1.0000
np13_nt23,nt25_np10,2.9756
np13_nt23,nt25_np11,4.0000
np13_nt23,nt2_np2,4.1178
np13_nt23,nt2_nt7,6.7499
np13_nt23,nt3_np3,4.8686
np13_nt23,nt3_nt8,4.5107
np13_nt23,nt4_np4,10.3241
np13_nt23,nt4_nt9,7.3972
np13_nt23,nt5_np5,6.1986
np13_nt23,nt5_np6,4.6795
np13_nt23,nt6_np19,3.4284
np13_nt23,nt6_nt7,6.0645
np13_nt23,nt7_nt12,5.0827
np13_nt23,nt7_nt8,5.0275
np13_nt23,nt8_nt13,6.1020
np13_nt23,nt8_nt7,5.0399
np13_nt23,nt8_nt9,8.0956
np13_nt23,nt9_nt14,4.5690
np13_nt23,nt9_nt8,5.1110
np14_nt22,nt10_np7,3.5600
np14_nt22,nt10_nt9,7.1239
np14_nt22,nt11_np18,2.8519
np14_nt22,nt11_nt12,4.9908
np14_nt22,nt12_nt13,4.1503
np14_nt22,nt12_nt17,4.5009
np14_nt22,nt12_nt7,2.2616
np14_nt22,nt13_nt12,1.6041
np14_nt22,nt13_nt14,3.4814
np14_nt22,nt13_nt18,3.7978
np14_nt22,nt13_nt8,4.4840
np14_nt22,nt14_nt13,5.1929
np14_nt22,nt14_nt19,6.2209
np14_nt22,nt14_nt9,8.9205
np14_nt22,nt15_np8,9.2444
np14_nt22,nt15_nt14,4.8743
np14_nt22,nt16_np17,5.9501
np14_nt22,nt16_nt17,8.7027
np14_nt22,nt17_nt12,4.8420
np14_nt22,nt17_nt18,5.3664
np14_nt22,nt18_nt13,7.0097
np14_nt22,nt18_nt17,4.3448
np14_nt22,nt18_nt19,6.1187
np14_nt22,nt19_nt14,1.5537
np14_nt22,nt19_nt18,6.9038
np14_nt22,nt1_np1,5.9443
np14_nt22,nt1_np20,6.5390
np14_nt22,nt20_np9,3.4697
np14_nt22,nt20_nt19,4.6513
