2026-04-06 10:12:18,310 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ma2c_real.ini
2026-04-06 10:12:18,310 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ma2c_real
2026-04-06 10:12:18,310 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ma2c_real_old
2026-04-06 10:12:18,311 - Initializing Adversarial Environment...
2026-04-06 10:12:28,698 - Initializing GCN Adversary...
2026-04-06 10:12:28,834 - Start Training...
2026-04-06 10:12:55,930 - Episode 0: Steps=11, Reward=24514.00
2026-04-06 10:13:18,288 - Episode 1: Steps=11, Reward=17177.00
2026-04-06 10:13:40,871 - Episode 2: Steps=11, Reward=15436.00
2026-04-06 10:14:03,671 - Episode 3: Steps=11, Reward=19384.00
2026-04-06 10:14:26,148 - Episode 4: Steps=11, Reward=16660.00
2026-04-06 10:14:49,087 - Episode 5: Steps=11, Reward=14412.00
2026-04-06 10:15:11,816 - Episode 6: Steps=11, Reward=19184.00
2026-04-06 10:15:34,991 - Episode 7: Steps=11, Reward=18299.00
2026-04-06 10:15:57,522 - Episode 8: Steps=11, Reward=15440.00
2026-04-06 10:16:20,311 - Episode 9: Steps=11, Reward=16362.00
2026-04-06 10:16:20,329 - Saved checkpoint at episode=9 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ma2c_real_old/model
2026-04-06 10:16:42,881 - Episode 10: Steps=11, Reward=16896.00
2026-04-06 10:17:05,064 - Episode 11: Steps=11, Reward=17122.00
2026-04-06 10:17:28,379 - Episode 12: Steps=11, Reward=23356.00
2026-04-06 10:17:50,836 - Episode 13: Steps=11, Reward=16894.00
2026-04-06 10:18:13,769 - Episode 14: Steps=11, Reward=14564.00
2026-04-06 10:18:36,516 - Episode 15: Steps=11, Reward=16115.00
2026-04-06 10:18:58,850 - Episode 16: Steps=11, Reward=16198.00
2026-04-06 10:19:21,578 - Episode 17: Steps=11, Reward=14798.00
2026-04-06 10:19:44,555 - Episode 18: Steps=11, Reward=18931.00
2026-04-06 10:20:07,077 - Episode 19: Steps=11, Reward=14112.00
2026-04-06 10:20:07,094 - Saved checkpoint at episode=19 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ma2c_real_old/model
2026-04-06 10:20:29,560 - Episode 20: Steps=11, Reward=16199.00
2026-04-06 10:20:52,107 - Episode 21: Steps=11, Reward=14333.00
2026-04-06 10:21:15,097 - Episode 22: Steps=11, Reward=16820.00
2026-04-06 10:21:37,859 - Episode 23: Steps=11, Reward=14330.00
2026-04-06 10:22:00,362 - Episode 24: Steps=11, Reward=18539.00
2026-04-06 10:22:23,069 - Episode 25: Steps=11, Reward=16848.00
2026-04-06 10:22:45,773 - Episode 26: Steps=11, Reward=15716.00
2026-04-06 10:23:08,606 - Episode 27: Steps=11, Reward=15570.00
2026-04-06 10:23:31,318 - Episode 28: Steps=11, Reward=14826.00
2026-04-06 10:23:54,055 - Episode 29: Steps=11, Reward=17774.00
2026-04-06 10:23:54,065 - Saved checkpoint at episode=29 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ma2c_real_old/model
2026-04-06 10:24:16,662 - Episode 30: Steps=11, Reward=15471.00
2026-04-06 10:24:39,822 - Episode 31: Steps=11, Reward=18456.00
2026-04-06 10:25:02,572 - Episode 32: Steps=11, Reward=13722.00
2026-04-06 10:25:25,599 - Episode 33: Steps=11, Reward=18177.00
2026-04-06 10:25:47,978 - Episode 34: Steps=11, Reward=17164.00
2026-04-06 10:26:10,387 - Episode 35: Steps=11, Reward=15362.00
2026-04-06 10:26:33,121 - Episode 36: Steps=11, Reward=16135.00
2026-04-06 10:26:56,160 - Episode 37: Steps=11, Reward=19594.00
2026-04-06 10:27:18,514 - Episode 38: Steps=11, Reward=14762.00
2026-04-06 10:27:41,121 - Episode 39: Steps=11, Reward=15857.00
2026-04-06 10:27:41,131 - Saved checkpoint at episode=39 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ma2c_real_old/model
2026-04-06 10:28:04,182 - Episode 40: Steps=11, Reward=19200.00
2026-04-06 10:28:27,118 - Episode 41: Steps=11, Reward=17101.00
