2026-03-28 12:34:04,765 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:34:04,765 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:34:04,765 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:34:04,766 - Initializing Adversarial Environment...
2026-03-28 12:34:25,025 - Initializing GCN Adversary...
2026-03-28 12:34:25,164 - Start Training...
2026-03-28 12:34:27,196 - Training Finished.
2026-03-28 12:36:54,124 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:36:54,124 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:36:54,124 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:36:54,125 - Initializing Adversarial Environment...
2026-03-28 12:37:14,320 - Initializing GCN Adversary...
2026-03-28 12:37:14,459 - Start Training...
2026-03-28 12:37:46,103 - Episode 0: Steps=11, Reward=56490.00
2026-03-28 12:38:11,792 - Episode 1: Steps=11, Reward=228528.00
2026-03-28 12:38:35,229 - Episode 2: Steps=11, Reward=94004.00
2026-03-28 12:38:57,492 - Episode 3: Steps=11, Reward=51135.00
2026-03-28 12:39:21,405 - Episode 4: Steps=11, Reward=151933.00
2026-03-28 12:39:49,270 - Episode 5: Steps=11, Reward=312962.00
2026-03-28 12:40:11,432 - Episode 6: Steps=11, Reward=161053.00
2026-03-28 12:40:34,207 - Episode 7: Steps=11, Reward=69676.00
2026-03-28 12:40:56,384 - Episode 8: Steps=11, Reward=57685.00
2026-03-28 12:41:19,579 - Episode 9: Steps=11, Reward=107030.00
2026-03-28 12:41:19,596 - Saved checkpoint at episode=9 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 12:41:43,089 - Episode 10: Steps=11, Reward=81199.00
2026-03-28 12:42:05,974 - Episode 11: Steps=11, Reward=84730.00
2026-03-28 12:42:31,093 - Episode 12: Steps=11, Reward=174795.00
2026-03-28 12:42:55,847 - Episode 13: Steps=11, Reward=166667.00
2026-03-28 12:43:18,914 - Episode 14: Steps=11, Reward=82412.00
2026-03-28 12:43:43,448 - Episode 15: Steps=11, Reward=162810.00
2026-03-28 12:44:05,702 - Episode 16: Steps=11, Reward=65138.00
