,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
0,1,f_0_4.0,0.00,73.00,73.00,1,2.00
1,1,f_0_4.1,9.00,75.00,66.00,0,0.00
2,1,f_0_1.0,0.00,90.00,90.00,0,0.00
3,1,f_0_4.2,17.00,93.00,76.00,3,4.00
4,1,f_0_4.3,25.00,95.00,70.00,0,0.00
5,1,f_0_4.4,33.00,97.00,64.00,0,0.00
6,1,f_0_0.0,0.00,111.00,111.00,0,0.00
7,1,f_0_4.5,41.00,123.00,82.00,1,9.00
8,1,f_0_4.6,50.00,125.00,75.00,1,2.00
9,1,f_0_1.1,14.00,131.00,117.00,0,0.00
10,1,f_0_0.1,14.00,135.00,121.00,1,4.00
11,1,f_0_1.2,28.00,137.00,109.00,0,0.00
12,1,f_0_4.7,58.00,138.00,80.00,1,7.00
13,1,f_0_2.0,0.00,141.00,141.00,1,4.00
14,1,f_0_1.3,41.00,150.00,109.00,2,11.00
15,1,f_0_4.8,66.00,152.00,86.00,4,17.00
16,1,f_0_5.1,9.00,155.00,146.00,1,1.00
17,1,f_0_2.1,14.00,157.00,143.00,1,12.00
18,1,f_0_5.0,0.00,158.00,158.00,3,3.00
19,1,f_0_0.2,28.00,161.00,133.00,2,5.00
20,1,f_0_2.2,28.00,165.00,137.00,3,10.00
21,1,f_0_5.2,17.00,167.00,150.00,2,4.00
22,1,f_0_4.9,74.00,167.00,93.00,3,24.00
23,1,f_0_2.3,41.00,168.00,127.00,4,10.00
24,1,f_0_4.10,82.00,170.00,88.00,3,17.00
25,1,f_0_1.4,55.00,171.00,116.00,2,12.00
26,1,f_0_4.11,91.00,171.00,80.00,1,4.00
27,1,f_0_3.0,0.00,173.00,173.00,3,10.00
28,1,f_0_4.12,99.00,173.00,74.00,1,3.00
29,1,f_0_1.5,69.00,174.00,105.00,0,0.00
30,1,f_0_3.3,25.00,175.00,150.00,2,3.00
31,1,f_0_1.6,82.00,176.00,94.00,0,0.00
32,1,f_0_0.3,41.00,178.00,137.00,1,6.00
33,1,f_0_3.1,9.00,179.00,170.00,2,8.00
34,1,f_0_3.4,33.00,183.00,150.00,3,7.00
35,1,f_0_5.3,25.00,192.00,167.00,0,0.00
36,1,f_0_3.5,41.00,193.00,152.00,2,2.00
37,1,f_0_5.4,33.00,198.00,165.00,1,6.00
38,1,f_0_4.13,107.00,198.00,91.00,3,15.00
39,1,f_0_0.4,55.00,199.00,144.00,0,0.00
40,1,f_0_4.14,115.00,199.00,84.00,4,17.00
41,1,f_0_3.2,17.00,200.00,183.00,2,9.00
42,1,f_0_4.15,123.00,201.00,78.00,3,9.00
43,1,f_0_3.6,50.00,203.00,153.00,1,5.00
44,1,f_0_1.7,96.00,206.00,110.00,1,3.00
45,1,f_0_0.5,69.00,207.00,138.00,1,6.00
46,1,f_0_2.5,69.00,207.00,138.00,2,3.00
47,1,f_0_1.8,110.00,208.00,98.00,1,1.00
48,1,f_0_0.6,82.00,211.00,129.00,2,7.00
49,1,f_0_1.9,123.00,213.00,90.00,0,0.00
50,1,f_0_4.16,131.00,213.00,82.00,1,10.00
51,1,f_0_5.5,41.00,215.00,174.00,0,0.00
52,1,f_0_4.17,140.00,215.00,75.00,1,2.00
53,1,f_0_5.6,50.00,217.00,167.00,1,9.00
54,1,f_0_4.18,148.00,217.00,69.00,0,0.00
55,1,f_0_2.4,55.00,218.00,163.00,3,12.00
56,1,f_0_5.7,58.00,222.00,164.00,2,12.00
57,1,f_0_3.7,58.00,224.00,166.00,1,6.00
58,1,f_0_5.8,66.00,225.00,159.00,3,9.00
59,1,f_0_3.8,66.00,226.00,160.00,1,6.00
60,1,f_0_2.6,82.00,226.00,144.00,2,12.00
61,1,f_0_5.9,74.00,231.00,157.00,1,1.00
62,1,f_0_0.7,96.00,231.00,135.00,2,6.00
63,1,f_0_1.10,137.00,233.00,96.00,1,6.00
64,1,f_0_4.19,156.00,233.00,77.00,1,3.00
65,1,f_0_5.10,82.00,234.00,152.00,0,0.00
66,1,f_0_1.11,150.00,237.00,87.00,0,0.00
67,1,f_0_3.9,74.00,241.00,167.00,1,1.00
68,1,f_0_2.7,96.00,242.00,146.00,2,7.00
69,1,f_0_0.8,110.00,242.00,132.00,2,3.00
70,1,f_0_3.10,82.00,243.00,161.00,2,11.00
71,1,f_0_2.8,110.00,243.00,133.00,0,0.00
72,1,f_0_5.11,91.00,246.00,155.00,1,6.00
73,1,f_0_4.20,164.00,248.00,84.00,2,12.00
74,1,f_0_4.21,172.00,249.00,77.00,1,8.00
75,1,f_0_2.9,123.00,253.00,130.00,2,3.00
76,1,f_0_3.11,91.00,258.00,167.00,2,11.00
77,1,f_0_5.14,115.00,263.00,148.00,1,1.00
78,1,f_0_4.22,181.00,263.00,82.00,4,9.00
79,1,f_0_0.11,150.00,265.00,115.00,2,7.00
80,1,f_0_4.23,189.00,265.00,76.00,1,5.00
81,1,f_0_5.13,107.00,267.00,160.00,2,4.00
82,1,f_0_4.24,197.00,267.00,70.00,0,0.00
83,1,f_0_3.12,99.00,268.00,169.00,4,17.00
84,1,f_0_3.13,107.00,270.00,163.00,2,3.00
85,1,f_0_3.14,115.00,271.00,156.00,1,1.00
86,1,f_0_0.9,123.00,271.00,148.00,3,16.00
87,1,f_0_2.10,137.00,276.00,139.00,1,1.00
88,1,f_0_1.12,164.00,277.00,113.00,1,3.00
89,1,f_0_0.10,137.00,280.00,143.00,4,15.00
90,1,f_0_2.11,150.00,281.00,131.00,2,12.00
91,1,f_0_5.15,123.00,284.00,161.00,2,9.00
92,1,f_0_5.12,99.00,286.00,187.00,4,34.00
93,1,f_0_4.25,205.00,288.00,83.00,1,9.00
94,1,f_0_4.26,213.00,290.00,77.00,1,2.00
95,1,f_0_2.12,164.00,291.00,127.00,1,3.00
96,1,f_0_4.27,221.00,291.00,70.00,1,3.00
97,1,f_0_1.13,178.00,295.00,117.00,1,4.00
98,1,f_0_0.12,164.00,297.00,133.00,2,8.00
99,1,f_0_1.14,191.00,297.00,106.00,0,0.00
100,1,f_0_3.16,131.00,298.00,167.00,1,10.00
101,1,f_0_5.16,131.00,299.00,168.00,1,8.00
102,1,f_0_0.13,178.00,299.00,121.00,2,3.00
