controller_id,physical_junctions,x,y,dx_from_centroid,dy_from_centroid,rot_dx,rot_dy,radius,angle_deg,ring,cardinal,quadrant,neighbor_count
10026,10026,315.000,320.810,-56.284,-32.494,-56.284,-32.494,64.990,-150.001,center,W,SW,4
8794,8794,372.160,202.340,0.876,-150.964,0.876,-150.964,150.966,-89.667,center,S,SE,4
9431,9431,232.100,284.750,-139.184,-68.554,-139.184,-68.554,155.151,-153.778,center,W,SW,4
9531,9531,395.170,421.750,23.886,68.446,23.886,68.446,72.495,70.762,center,N,NE,2
9561,9561,276.020,387.710,-95.264,34.406,-95.264,34.406,101.287,160.142,center,W,NW,4
9884,9884,215.450,360.580,-155.834,7.276,-155.834,7.276,156.004,177.327,center,W,NW,4
cluster_9043_9052,cluster_9043_9052,457.530,385.880,86.246,32.576,86.246,32.576,92.193,20.692,center,E,NE,5
cluster_9389_9689,cluster_9389_9689,236.620,416.030,-134.664,62.726,-134.664,62.726,148.556,155.024,center,W,NW,4
cluster_9563_9597,cluster_9563_9597,414.720,295.130,43.436,-58.174,43.436,-58.174,72.601,-53.253,center,S,SE,4
joinedS_1,9316;9490,419.955,482.785,48.671,129.481,48.671,129.481,138.327,69.399,center,N,NE,2
8940,8940,573.840,391.680,202.556,38.376,202.556,38.376,206.160,10.728,middle,E,NE,2
8996,8996,163.180,383.490,-208.104,30.186,-208.104,30.186,210.282,171.747,middle,W,NW,2
9058,9058,455.180,173.350,83.896,-179.954,83.896,-179.954,198.549,-65.005,middle,S,SE,3
9721,9721,195.700,268.540,-175.584,-84.764,-175.584,-84.764,194.973,-154.231,middle,W,SW,3
9837,9837,290.060,177.040,-81.224,-176.264,-81.224,-176.264,194.078,-114.741,middle,S,SW,3
cluster_8751_9630,cluster_8751_9630,278.340,488.370,-92.944,135.066,-92.944,135.066,163.956,124.533,middle,N,NW,1
cluster_8985_9609,cluster_8985_9609,337.530,143.810,-33.754,-209.494,-33.754,-209.494,212.195,-99.153,middle,S,SW,3
joinedS_0,9970;cluster_9154_9919,495.980,194.365,124.696,-158.939,124.696,-158.939,202.016,-51.884,middle,S,SE,3
9007,9007,622.110,338.930,250.826,-14.374,250.826,-14.374,251.238,-3.280,periphery,E,SE,2
9153,9153,500.140,575.350,128.856,222.046,128.856,222.046,256.727,59.873,periphery,N,NE,1
9309,9309,591.640,291.100,220.356,-62.204,220.356,-62.204,228.968,-15.764,periphery,E,SE,3
9413,9413,247.220,167.140,-124.064,-186.164,-124.064,-186.164,223.716,-123.680,periphery,S,SW,2
9429,9429,557.310,502.590,186.026,149.286,186.026,149.286,238.521,38.747,periphery,E,NE,3
9433,9433,371.410,593.650,0.126,240.346,0.126,240.346,240.346,89.970,periphery,N,NE,1
9466,9466,567.120,266.180,195.836,-87.124,195.836,-87.124,214.342,-23.983,periphery,E,SE,3
9480,9480,102.590,395.430,-268.694,42.126,-268.694,42.126,271.976,171.090,periphery,W,NW,2
9643,9643,561.240,666.680,189.956,313.376,189.956,313.376,366.453,58.777,periphery,N,NE,1
9713,9713,150.630,317.040,-220.654,-36.264,-220.654,-36.264,223.614,-170.667,periphery,W,SW,3
