controller_id,physical_junctions,x,y,radius,neighbor_count,group_membership
10026,10026,315.000,320.810,64.990,4,Center
8794,8794,372.160,202.340,150.966,4,
8940,8940,573.840,391.680,206.160,2,
8996,8996,163.180,383.490,210.282,2,
9007,9007,622.110,338.930,251.238,2,E;Periphery;SE
9058,9058,455.180,173.350,198.549,3,
9153,9153,500.140,575.350,256.727,1,N;NE;Periphery
9309,9309,591.640,291.100,228.968,3,E;Periphery;S;SE
9413,9413,247.220,167.140,223.716,2,Periphery;S;SW;W
9429,9429,557.310,502.590,238.521,3,
9431,9431,232.100,284.750,155.151,4,
9433,9433,371.410,593.650,240.346,1,N;NE;NW;Periphery
9466,9466,567.120,266.180,214.342,3,E;Periphery;S;SE
9480,9480,102.590,395.430,271.976,2,NW;Periphery;SW;W
9531,9531,395.170,421.750,72.495,2,Center
9561,9561,276.020,387.710,101.287,4,
9643,9643,561.240,666.680,366.453,1,N;NE;Periphery
9713,9713,150.630,317.040,223.614,3,NW;Periphery;SW;W
9721,9721,195.700,268.540,194.973,3,
9837,9837,290.060,177.040,194.078,3,
9884,9884,215.450,360.580,156.004,4,
cluster_8751_9630,cluster_8751_9630,278.340,488.370,163.956,1,
cluster_8985_9609,cluster_8985_9609,337.530,143.810,212.195,3,
cluster_9043_9052,cluster_9043_9052,457.530,385.880,92.193,5,
cluster_9389_9689,cluster_9389_9689,236.620,416.030,148.556,4,
cluster_9563_9597,cluster_9563_9597,414.720,295.130,72.601,4,Center
joinedS_0,9970;cluster_9154_9919,495.980,194.365,202.016,3,
joinedS_1,9316;9490,419.955,482.785,138.327,2,
