,agent,step,test_id,avg_reward,std_reward
0,iqll,1320,-1,-142.3909090909091,81.5571202087795
1,iqll,2640,-1,-144.48939393939395,81.58764506287345
2,iqll,3960,-1,-135.35075757575757,75.16614223718028
3,iqll,5280,-1,-129.78787878787878,64.45472104661867
4,iqll,6600,-1,-147.15757575757576,80.49712598032768
5,iqll,7920,-1,-140.71212121212122,78.93498766275093
6,iqll,9240,-1,-129.1909090909091,69.73737471762819
7,iqll,10560,-1,-144.0659090909091,76.34530440358846
8,iqll,11880,-1,-140.14469696969698,80.52368070136914
9,iqll,13200,-1,-139.72651515151514,76.57393076435554
10,iqll,14520,-1,-154.37651515151515,84.95676205081536
11,iqll,15840,-1,-144.50833333333333,75.61551422268856
12,iqll,17160,-1,-144.21363636363637,79.05612579788361
13,iqll,18480,-1,-145.15984848484848,77.32091367079242
14,iqll,19800,-1,-135.50075757575758,71.02993393336077
15,iqll,21120,-1,-137.90681818181818,75.17991319130257
16,iqll,22440,-1,-138.38181818181818,75.07344668186093
17,iqll,23760,-1,-137.40757575757576,76.49323957176644
18,iqll,25080,-1,-140.95454545454547,81.23027160359239
19,iqll,26400,-1,-141.65151515151516,79.52725708155938
20,iqll,27720,-1,-144.0818181818182,81.81677221007948
21,iqll,29040,-1,-134.88484848484848,67.78203981842638
22,iqll,30360,-1,-160.16136363636363,86.45657795025066
23,iqll,31680,-1,-132.90151515151516,72.09797204819212
24,iqll,33000,-1,-136.75454545454545,72.70833427660295
25,iqll,34320,-1,-141.80530303030304,78.02848626525807
26,iqll,35640,-1,-151.6727272727273,86.82421556059978
27,iqll,36960,-1,-149.56060606060606,78.81082620367216
28,iqll,38280,-1,-134.51363636363635,77.3217096535414
29,iqll,39600,-1,-145.5939393939394,77.9944556669524
30,iqll,40920,-1,-137.10227272727272,69.11015138992057
31,iqll,42240,-1,-139.5189393939394,75.94747749773559
32,iqll,43560,-1,-145.61060606060607,78.60481253828003
33,iqll,44880,-1,-136.89545454545456,79.4372897929044
34,iqll,46200,-1,-161.65833333333333,87.6475505212424
35,iqll,47520,-1,-132.3409090909091,78.04546359047617
36,iqll,48840,-1,-142.5401515151515,82.13968088405639
37,iqll,50160,-1,-142.94772727272726,77.63983178551584
38,iqll,51480,-1,-141.53863636363636,81.26027221566969
39,iqll,52800,-1,-142.72954545454544,77.32397628733469
40,iqll,54120,-1,-133.38181818181818,72.3943512552182
41,iqll,55440,-1,-129.56666666666666,69.53541790651973
42,iqll,56760,-1,-139.3939393939394,72.99603118889178
43,iqll,58080,-1,-134.04469696969696,78.43834851227055
44,iqll,59400,-1,-139.03333333333333,75.68128212871704
45,iqll,60720,-1,-134.7621212121212,76.92455624230936
46,iqll,62040,-1,-144.32575757575756,79.73668751927994
47,iqll,63360,-1,-135.44242424242424,73.10945314784945
48,iqll,64680,-1,-135.9060606060606,79.40882112435597
49,iqll,66000,-1,-138.8037878787879,72.82912848132226
50,iqll,67320,-1,-139.68257575757576,81.5726484130744
51,iqll,68640,-1,-147.65,84.56761818482619
52,iqll,69960,-1,-139.42954545454546,75.24340023271986
53,iqll,71280,-1,-129.0340909090909,70.65905904899036
54,iqll,72600,-1,-133.79166666666666,79.79529543137113
55,iqll,73920,-1,-144.06742424242424,80.65589553327496
56,iqll,75240,-1,-148.4719696969697,82.49614758167355
57,iqll,76560,-1,-135.34242424242424,77.60419791169153
58,iqll,77880,-1,-131.8689393939394,76.5863363402809
59,iqll,79200,-1,-129.65454545454546,68.36952001599566
60,iqll,80520,-1,-130.8030303030303,75.70772541680908
61,iqll,81840,-1,-133.15530303030303,81.70037258769862
62,iqll,83160,-1,-138.11818181818182,78.76816559909041
63,iqll,84480,-1,-131.46969696969697,69.30304984695833
64,iqll,85800,-1,-124.7969696969697,78.6498357117415
65,iqll,87120,-1,-139.45530303030304,83.61232402854036
66,iqll,88440,-1,-134.61666666666667,77.27317752394076
67,iqll,89760,-1,-124.46818181818182,75.31699003281601
68,iqll,91080,-1,-134.84318181818182,78.67798072194084
69,iqll,92400,-1,-138.1878787878788,81.07173874275293
70,iqll,93720,-1,-132.98257575757575,78.03851321546705
71,iqll,95040,-1,-140.75227272727273,74.67042735988215
72,iqll,96360,-1,-151.25984848484848,87.71366929843504
73,iqll,97680,-1,-130.99166666666667,75.84120625965275
74,iqll,99000,-1,-142.74621212121212,81.77343043462169
75,iqll,100320,-1,-146.65681818181818,75.81057703167832
76,iqll,101640,-1,-133.41742424242423,75.18802189038966
77,iqll,102960,-1,-133.80530303030304,72.45726516304747
78,iqll,104280,-1,-134.3090909090909,78.06062082392106
79,iqll,105600,-1,-131.92954545454546,78.79366248803413
80,iqll,106920,-1,-133.16742424242423,77.25180197585676
81,iqll,108240,-1,-134.21212121212122,86.18154114945033
82,iqll,109560,-1,-135.38863636363635,72.82989536410551
83,iqll,110880,-1,-129.54848484848486,71.308287678528
84,iqll,112200,-1,-153.45757575757577,83.24785748559077
85,iqll,113520,-1,-122.65681818181818,74.33077964071981
86,iqll,114840,-1,-134.41893939393938,79.58272485812994
87,iqll,116160,-1,-139.5681818181818,82.79959313889738
88,iqll,117480,-1,-135.39545454545456,79.30973789386388
89,iqll,118800,-1,-134.5909090909091,78.53785562287922
90,iqll,120120,-1,-144.5310606060606,83.17715088399065
91,iqll,121440,-1,-125.22575757575757,72.09809565552582
92,iqll,122760,-1,-125.87954545454545,68.80814261918773
93,iqll,124080,-1,-121.30075757575757,68.59128842579739
94,iqll,125400,-1,-146.60075757575757,82.2224283678049
95,iqll,126720,-1,-117.75378787878788,70.21923990131651
96,iqll,128040,-1,-126.50075757575758,76.84001482439965
97,iqll,129360,-1,-134.66893939393938,76.04865033027826
98,iqll,130680,-1,-142.3719696969697,78.88420917221872
99,iqll,132000,-1,-130.9060606060606,80.0815699275241
100,iqll,133320,-1,-130.30151515151516,74.95252030942402
101,iqll,134640,-1,-124.72878787878788,72.3252905704949
102,iqll,135960,-1,-118.96969696969697,69.94799360238349
103,iqll,137280,-1,-141.76287878787878,77.11706361631964
104,iqll,138600,-1,-127.13409090909092,71.21100350106083
105,iqll,139920,-1,-117.21969696969697,76.8211928613156
106,iqll,141240,-1,-140.2962121212121,76.85469949285354
107,iqll,142560,-1,-130.58333333333334,80.95316094925984
108,iqll,143880,-1,-132.99242424242425,80.09332588735973
109,iqll,145200,-1,-121.84621212121212,72.67132203461028
110,iqll,146520,-1,-140.45757575757577,74.71376503049582
111,iqll,147840,-1,-147.49318181818182,76.59677943738276
112,iqll,149160,-1,-158.15984848484848,93.27706070906447
113,iqll,150480,-1,-131.78787878787878,76.87529554543143
114,iqll,151800,-1,-133.80454545454546,80.09137571666082
115,iqll,153120,-1,-126.76136363636364,83.84427226757883
116,iqll,154440,-1,-134.63560606060605,72.28150842007364
117,iqll,155760,-1,-160.49015151515152,81.22825989788068
118,iqll,157080,-1,-134.35681818181817,81.73385735642776
119,iqll,158400,-1,-138.59318181818182,70.83138609785001
120,iqll,159720,-1,-138.02575757575758,77.8387373581881
121,iqll,161040,-1,-125.96060606060605,71.90708415133965
122,iqll,162360,-1,-136.4719696969697,79.83573553771248
123,iqll,163680,-1,-138.22045454545454,78.78905884532942
124,iqll,165000,-1,-127.77045454545454,75.35492507545025
125,iqll,166320,-1,-138.15454545454546,84.39521238363132
126,iqll,167640,-1,-113.46818181818182,73.18229968785694
127,iqll,168960,-1,-117.53484848484848,73.61046325580772
128,iqll,170280,-1,-132.08560606060607,77.75710688806771
129,iqll,171600,-1,-128.1681818181818,75.1422220396619
130,iqll,172920,-1,-136.6931818181818,77.77323650941086
131,iqll,174240,-1,-146.09621212121212,79.97740581062521
132,iqll,175560,-1,-134.7280303030303,79.8027082535746
133,iqll,176880,-1,-114.11212121212121,65.28632395456539
134,iqll,178200,-1,-124.5280303030303,71.45414381858876
135,iqll,179520,-1,-164.81060606060606,91.19523118311496
136,iqll,180840,-1,-155.52727272727273,85.75123913841773
137,iqll,182160,-1,-133.16969696969696,82.2276680002337
138,iqll,183480,-1,-132.0659090909091,73.07741466951067
139,iqll,184800,-1,-137.3689393939394,79.0805081073173
140,iqll,186120,-1,-117.54166666666667,71.0348703760585
141,iqll,187440,-1,-112.58257575757575,76.11549736302075
142,iqll,188760,-1,-117.67045454545455,70.03880768268095
143,iqll,190080,-1,-121.59318181818182,80.23118366508297
144,iqll,191400,-1,-110.5409090909091,66.54919455668303
145,iqll,192720,-1,-111.26439393939394,69.67816017186246
146,iqll,194040,-1,-127.94015151515151,80.39648092691364
147,iqll,195360,-1,-158.99924242424242,87.95300483799367
148,iqll,196680,-1,-150.6848484848485,80.6183719237973
149,iqll,198000,-1,-145.1621212121212,77.36873196847387
150,iqll,199320,-1,-129.93560606060606,79.12423835870277
151,iqll,200640,-1,-107.00378787878788,75.78187888585342
152,iqll,201960,-1,-152.5568181818182,83.25095203130387
153,iqll,203280,-1,-129.69545454545454,79.07484741996257
154,iqll,204600,-1,-136.90757575757576,75.01936479418531
155,iqll,205920,-1,-127.575,76.55803193517895
156,iqll,207240,-1,-128.4340909090909,81.12469015633546
157,iqll,208560,-1,-138.4030303030303,76.86301070774998
158,iqll,209880,-1,-132.32045454545454,69.98191025850717
159,iqll,211200,-1,-128.42651515151516,76.68870008801272
160,iqll,212520,-1,-141.5560606060606,77.29274266921611
161,iqll,213840,-1,-127.48030303030303,73.80792788102096
162,iqll,215160,-1,-137.5462121212121,76.11477169709214
163,iqll,216480,-1,-127.93560606060606,66.911177705264
164,iqll,217800,-1,-113.40833333333333,75.46407387430837
165,iqll,219120,-1,-129.4151515151515,79.89224038329311
166,iqll,220440,-1,-143.5848484848485,73.49399324542694
167,iqll,221760,-1,-130.78787878787878,80.63668334921189
168,iqll,223080,-1,-106.26287878787879,73.1248298680259
169,iqll,224400,-1,-147.6469696969697,81.19110213918049
170,iqll,225720,-1,-164.10757575757575,87.86459419074822
171,iqll,227040,-1,-124.97424242424242,71.78401487164636
172,iqll,228360,-1,-151.79848484848486,76.53121959998998
173,iqll,229680,-1,-149.1810606060606,78.67934409204173
174,iqll,231000,-1,-149.6280303030303,79.98067173177373
175,iqll,232320,-1,-141.59848484848484,79.91071341764155
176,iqll,233640,-1,-171.29469696969696,88.58249178401874
177,iqll,234960,-1,-112.98409090909091,63.36574130508733
178,iqll,236280,-1,-104.9121212121212,60.420520082299944
179,iqll,237600,-1,-149.29924242424244,81.11211283101264
180,iqll,238920,-1,-118.96515151515152,83.71947384411001
181,iqll,240240,-1,-145.58636363636364,84.37656465236326
182,iqll,241560,-1,-165.37348484848485,91.42912834030494
183,iqll,242880,-1,-167.2037878787879,91.26851070472244
184,iqll,244200,-1,-145.64318181818183,78.99802902526135
185,iqll,245520,-1,-115.74545454545455,65.1772436161537
186,iqll,246840,-1,-144.84621212121212,80.81111432082339
187,iqll,248160,-1,-125.86136363636363,73.39719479790152
188,iqll,249480,-1,-111.07954545454545,71.04224440924202
189,iqll,250800,-1,-145.78787878787878,79.60136765071374
190,iqll,252120,-1,-99.19772727272728,61.10255532759644
191,iqll,253440,-1,-160.70606060606062,89.84955418649264
192,iqll,254760,-1,-144.1280303030303,78.80113713838216
193,iqll,256080,-1,-122.69015151515151,70.31514703822603
194,iqll,257400,-1,-124.47121212121212,73.98291626132863
195,iqll,258720,-1,-136.6818181818182,76.81558181004311
196,iqll,260040,-1,-137.74015151515152,80.13574596767178
197,iqll,261360,-1,-155.86439393939395,88.42466716087473
198,iqll,262680,-1,-154.49772727272727,81.08053419371225
199,iqll,264000,-1,-138.9030303030303,79.55551515022239
200,iqll,265320,-1,-115.75757575757575,73.53451273939346
201,iqll,266640,-1,-172.2068181818182,91.0871732755528
202,iqll,267960,-1,-151.8939393939394,78.5966551813326
203,iqll,269280,-1,-126.70984848484848,74.54907816011207
204,iqll,270600,-1,-147.06666666666666,69.97803840195765
205,iqll,271920,-1,-111.00681818181818,78.2349362915488
206,iqll,273240,-1,-138.41893939393938,80.7814828697313
207,iqll,274560,-1,-137.79242424242423,83.54046889147737
208,iqll,275880,-1,-145.04090909090908,76.32528965944248
209,iqll,277200,-1,-147.9318181818182,74.56352723459314
210,iqll,278520,-1,-135.23257575757575,81.19752197686611
211,iqll,279840,-1,-135.6818181818182,71.43659173783739
212,iqll,281160,-1,-141.45909090909092,78.63362392319692
213,iqll,282480,-1,-145.2098484848485,81.28535068719751
214,iqll,283800,-1,-142.46969696969697,82.10326456008508
215,iqll,285120,-1,-136.3159090909091,84.75758331098763
216,iqll,286440,-1,-135.5560606060606,83.39956694311643
217,iqll,287760,-1,-139.41439393939393,75.62073592544189
218,iqll,289080,-1,-146.9212121212121,78.8459363014863
219,iqll,290400,-1,-151.07045454545454,77.17779771669731
220,iqll,291720,-1,-154.53181818181818,81.02884196400409
221,iqll,293040,-1,-143.27272727272728,94.87138749533104
222,iqll,294360,-1,-176.36212121212122,96.42856087838405
223,iqll,295680,-1,-144.02348484848486,74.88618774599598
224,iqll,297000,-1,-161.56060606060606,85.73569830163544
225,iqll,298320,-1,-125.33333333333333,83.33168180181649
