,agent,step,test_id,avg_reward,std_reward
0,ma2c,1320,-1,-1929.2754545454543,1775.403973783092
1,ma2c,2640,-1,-1792.4301515151517,1466.539995910796
2,ma2c,3960,-1,-1335.8762121212121,1216.4318813312095
3,ma2c,5280,-1,-1995.5680303030308,1718.1657233477304
4,ma2c,6600,-1,-1813.974393939394,1668.264323666084
5,ma2c,7920,-1,-1648.641212121212,1334.2938045903638
6,ma2c,9240,-1,-1825.9474242424244,1566.1088535233669
7,ma2c,10560,-1,-1521.554393939394,1298.7008794614821
8,ma2c,11880,-1,-1590.2009090909091,1329.530657036224
9,ma2c,13200,-1,-1610.0153030303031,1359.963221241462
10,ma2c,14520,-1,-1744.7740909090912,1686.406302285818
11,ma2c,15840,-1,-1589.2004545454547,1473.1867837816371
12,ma2c,17160,-1,-1531.7095454545456,1230.9786578288417
13,ma2c,18480,-1,-1945.6290909090908,1647.4990511062954
14,ma2c,19800,-1,-1797.0192424242423,1580.6255605391586
15,ma2c,21120,-1,-1495.3163636363638,1326.1388762135582
16,ma2c,22440,-1,-1397.8324242424244,1253.8015275892083
17,ma2c,23760,-1,-1336.4307575757578,1086.369323519527
18,ma2c,25080,-1,-1521.9575757575758,1258.97948372585
19,ma2c,26400,-1,-1530.7348484848485,1386.958327681469
20,ma2c,27720,-1,-1500.580606060606,1285.1172663340633
21,ma2c,29040,-1,-1609.0153030303031,1449.1764419968138
22,ma2c,30360,-1,-1678.136666666667,1449.3341171518746
23,ma2c,31680,-1,-1820.0845454545458,1607.5553944375913
24,ma2c,33000,-1,-1420.8528787878786,1209.9753781708087
25,ma2c,34320,-1,-1708.5298484848483,1712.0600115030595
26,ma2c,35640,-1,-1747.8003030303032,1497.9126804464713
27,ma2c,36960,-1,-1637.4118181818183,1487.8197003566736
28,ma2c,38280,-1,-1504.7148484848483,1304.5622070806585
29,ma2c,39600,-1,-1284.3709090909092,1097.663794253197
30,ma2c,40920,-1,-1739.6265151515152,1518.379173646561
31,ma2c,42240,-1,-1632.473181818182,1535.542663984674
32,ma2c,43560,-1,-1269.8233333333333,1063.1597801755051
33,ma2c,44880,-1,-1554.2528787878787,1431.1298686884845
34,ma2c,46200,-1,-1342.0627272727272,1054.909966288299
35,ma2c,47520,-1,-1264.654393939394,1116.3986584218685
36,ma2c,48840,-1,-1433.4813636363638,1224.4861154234486
37,ma2c,50160,-1,-1551.966515151515,1365.1560506425767
38,ma2c,51480,-1,-1448.9150000000002,1316.891819842822
