depart_sec,origin_edge,dest_edge,speed
0,np11_nt25,nt11_np18,11.0
0,np2_nt2,nt5_np5,11.0
0,np4_nt4,nt5_np6,11.0
0,np2_nt2,nt25_np10,11.0
1,np10_nt25,nt21_np15,11.0
1,np9_nt20,nt4_np4,11.0
1,np10_nt25,nt6_np19,11.0
1,np14_nt22,nt10_np7,11.0
1,np16_nt21,nt10_np7,11.0
4,np9_nt20,nt1_np20,11.0
5,np12_nt24,nt25_np11,11.0
5,np10_nt25,nt2_np2,11.0
6,np10_nt25,nt25_np11,11.0
6,np14_nt22,nt3_np3,11.0
7,np18_nt11,nt15_np8,11.0
7,np17_nt16,nt10_np7,11.0
7,np9_nt20,nt6_np19,11.0
7,np20_nt1,nt24_np12,11.0
7,np18_nt11,nt25_np10,11.0
8,np7_nt10,nt21_np15,11.0
8,np16_nt21,nt15_np8,11.0
9,np20_nt1,nt15_np8,11.0
10,np18_nt11,nt20_np9,11.0
10,np18_nt11,nt6_np19,11.0
12,np9_nt20,nt1_np20,11.0
12,np14_nt22,nt1_np20,11.0
14,np20_nt1,nt10_np7,11.0
14,np19_nt6,nt22_np14,11.0
14,np10_nt25,nt1_np1,11.0
15,np8_nt15,nt21_np15,11.0
15,np9_nt20,nt25_np11,11.0
15,np14_nt22,nt20_np9,11.0
16,np7_nt10,nt3_np3,11.0
16,np5_nt5,nt10_np7,11.0
16,np8_nt15,nt21_np15,11.0
16,np2_nt2,nt16_np17,11.0
17,np17_nt16,nt5_np6,11.0
17,np13_nt23,nt21_np16,11.0
18,np11_nt25,nt1_np20,11.0
18,np16_nt21,nt24_np12,11.0
19,np11_nt25,nt11_np18,11.0
19,np5_nt5,nt25_np11,11.0
19,np14_nt22,nt11_np18,11.0
21,np14_nt22,nt4_np4,11.0
21,np17_nt16,nt21_np15,11.0
22,np3_nt3,nt21_np15,11.0
22,np4_nt4,nt5_np5,11.0
23,np8_nt15,nt1_np1,11.0
24,np8_nt15,nt25_np10,11.0
24,np15_nt21,nt16_np17,11.0
24,np8_nt15,nt3_np3,11.0
24,np13_nt23,nt1_np1,11.0
24,np9_nt20,nt21_np16,11.0
24,np7_nt10,nt4_np4,11.0
24,np11_nt25,nt22_np14,11.0
25,np4_nt4,nt11_np18,11.0
25,np20_nt1,nt6_np19,11.0
26,np11_nt25,nt10_np7,11.0
26,np6_nt5,nt25_np10,11.0
27,np16_nt21,nt5_np6,11.0
27,np11_nt25,nt5_np6,11.0
27,np15_nt21,nt2_np2,11.0
28,np7_nt10,nt1_np1,11.0
28,np20_nt1,nt15_np8,11.0
29,np5_nt5,nt1_np20,11.0
29,np5_nt5,nt10_np7,11.0
29,np15_nt21,nt23_np13,11.0
30,np11_nt25,nt21_np15,11.0
30,np7_nt10,nt21_np16,11.0
30,np6_nt5,nt21_np15,11.0
30,np11_nt25,nt16_np17,11.0
30,np10_nt25,nt5_np6,11.0
33,np15_nt21,nt10_np7,11.0
33,np1_nt1,nt21_np16,11.0
34,np19_nt6,nt24_np12,11.0
34,np18_nt11,nt22_np14,11.0
34,np9_nt20,nt5_np6,11.0
34,np3_nt3,nt5_np6,11.0
35,np5_nt5,nt5_np6,11.0
35,np5_nt5,nt5_np6,11.0
35,np9_nt20,nt10_np7,11.0
36,np2_nt2,nt21_np15,11.0
36,np7_nt10,nt25_np11,11.0
36,np7_nt10,nt20_np9,11.0
36,np16_nt21,nt25_np11,11.0
36,np7_nt10,nt20_np9,11.0
36,np16_nt21,nt6_np19,11.0
36,np11_nt25,nt6_np19,11.0
37,np5_nt5,nt4_np4,11.0
37,np8_nt15,nt21_np16,11.0
37,np3_nt3,nt10_np7,11.0
37,np19_nt6,nt1_np20,11.0
37,np10_nt25,nt1_np1,11.0
38,np12_nt24,nt15_np8,11.0
38,np5_nt5,nt5_np6,11.0
39,np15_nt21,nt4_np4,11.0
39,np12_nt24,nt20_np9,11.0
39,np10_nt25,nt23_np13,11.0
40,np5_nt5,nt5_np6,11.0
40,np6_nt5,nt1_np20,11.0
40,np14_nt22,nt25_np11,11.0
41,np2_nt2,nt5_np5,11.0
41,np1_nt1,nt3_np3,11.0
42,np15_nt21,nt3_np3,11.0
42,np6_nt5,nt24_np12,11.0
42,np15_nt21,nt6_np19,11.0
42,np17_nt16,nt2_np2,11.0
42,np1_nt1,nt25_np10,11.0
43,np9_nt20,nt3_np3,11.0
44,np20_nt1,nt22_np14,11.0
44,np6_nt5,nt25_np10,11.0
45,np8_nt15,nt1_np20,11.0
45,np14_nt22,nt24_np12,11.0
45,np4_nt4,nt1_np1,11.0
45,np17_nt16,nt1_np20,11.0
45,np20_nt1,nt5_np5,11.0
46,np11_nt25,nt22_np14,11.0
47,np18_nt11,nt22_np14,11.0
49,np20_nt1,nt22_np14,11.0
49,np18_nt11,nt25_np10,11.0
51,np8_nt15,nt25_np10,11.0
53,np20_nt1,nt11_np18,11.0
53,np3_nt3,nt2_np2,11.0
53,np4_nt4,nt20_np9,11.0
53,np5_nt5,nt16_np17,11.0
53,np6_nt5,nt1_np20,11.0
53,np10_nt25,nt11_np18,11.0
53,np7_nt10,nt2_np2,11.0
54,np13_nt23,nt25_np11,11.0
54,np13_nt23,nt5_np6,11.0
54,np19_nt6,nt21_np15,11.0
54,np2_nt2,nt5_np5,11.0
56,np14_nt22,nt4_np4,11.0
56,np13_nt23,nt4_np4,11.0
57,np8_nt15,nt20_np9,11.0
57,np10_nt25,nt1_np20,11.0
58,np10_nt25,nt20_np9,11.0
58,np15_nt21,nt2_np2,11.0
58,np4_nt4,nt25_np11,11.0
60,np11_nt25,nt24_np12,11.0
62,np2_nt2,nt1_np20,11.0
62,np18_nt11,nt21_np15,11.0
62,np9_nt20,nt10_np7,11.0
63,np6_nt5,nt15_np8,11.0
64,np6_nt5,nt11_np18,11.0
64,np16_nt21,nt5_np5,11.0
64,np19_nt6,nt25_np11,11.0
65,np18_nt11,nt5_np6,11.0
65,np4_nt4,nt1_np1,11.0
65,np4_nt4,nt11_np18,11.0
65,np20_nt1,nt5_np6,11.0
66,np7_nt10,nt1_np1,11.0
66,np11_nt25,nt11_np18,11.0
66,np15_nt21,nt5_np6,11.0
67,np18_nt11,nt15_np8,11.0
67,np19_nt6,nt15_np8,11.0
68,np1_nt1,nt24_np12,11.0
68,np14_nt22,nt2_np2,11.0
68,np6_nt5,nt21_np15,11.0
69,np19_nt6,nt5_np6,11.0
69,np14_nt22,nt1_np20,11.0
69,np7_nt10,nt15_np8,11.0
70,np5_nt5,nt23_np13,11.0
70,np5_nt5,nt22_np14,11.0
70,np5_nt5,nt24_np12,11.0
70,np11_nt25,nt1_np1,11.0
71,np12_nt24,nt1_np20,11.0
72,np7_nt10,nt3_np3,11.0
72,np12_nt24,nt1_np20,11.0
72,np11_nt25,nt21_np15,11.0
74,np14_nt22,nt11_np18,11.0
75,np19_nt6,nt2_np2,11.0
77,np11_nt25,nt16_np17,11.0
78,np20_nt1,nt6_np19,11.0
78,np17_nt16,nt1_np20,11.0
78,np2_nt2,nt3_np3,11.0
78,np20_nt1,nt5_np5,11.0
80,np13_nt23,nt11_np18,11.0
80,np20_nt1,nt5_np5,11.0
83,np13_nt23,nt5_np6,11.0
