origin_edge,dest_edge,veh_per_hour
nt10_np7,np11_nt25,11.75
nt10_np7,np12_nt24,4.89
nt10_np7,np13_nt23,24.62
nt10_np7,np14_nt22,32.95
nt10_np7,np15_nt21,12.18
nt10_np7,np16_nt21,18.33
nt10_np7,np17_nt16,3.96
nt10_np7,np18_nt11,31.43
nt10_np7,np19_nt6,46.24
nt10_np7,np1_nt1,2.12
nt10_np7,np20_nt1,2.53
nt10_np7,np2_nt2,7.47
nt10_np7,np3_nt3,3.48
nt10_np7,np4_nt4,31.53
nt10_np7,np5_nt5,58.96
nt10_np7,np6_nt5,44.74
nt10_np7,np8_nt15,31.86
nt10_np7,np9_nt20,20.73
nt11_np18,np10_nt25,13.5
nt11_np18,np11_nt25,39.24
nt11_np18,np12_nt24,30.78
nt11_np18,np14_nt22,14.48
nt11_np18,np15_nt21,2.9
nt11_np18,np16_nt21,25.26
nt11_np18,np17_nt16,25.93
nt11_np18,np19_nt6,3.64
nt11_np18,np1_nt1,3.68
nt11_np18,np20_nt1,2.32
nt11_np18,np2_nt2,7.0
nt11_np18,np3_nt3,1.4
nt11_np18,np4_nt4,1.75
nt11_np18,np5_nt5,6.12
nt11_np18,np6_nt5,3.23
nt11_np18,np7_nt10,3.91
nt11_np18,np8_nt15,9.35
nt11_np18,np9_nt20,28.22
nt15_np8,np10_nt25,12.59
nt15_np8,np11_nt25,1.33
nt15_np8,np12_nt24,51.3
nt15_np8,np13_nt23,3.47
nt15_np8,np14_nt22,8.54
nt15_np8,np15_nt21,5.05
nt15_np8,np16_nt21,2.82
nt15_np8,np17_nt16,6.8
nt15_np8,np18_nt11,3.8
nt15_np8,np19_nt6,36.13
nt15_np8,np1_nt1,9.31
nt15_np8,np20_nt1,22.95
nt15_np8,np3_nt3,51.29
nt15_np8,np4_nt4,12.25
nt15_np8,np5_nt5,1.72
nt15_np8,np6_nt5,13.72
nt15_np8,np7_nt10,7.57
nt15_np8,np9_nt20,21.26
nt16_np17,np10_nt25,1.79
nt16_np17,np11_nt25,20.29
nt16_np17,np12_nt24,22.36
nt16_np17,np13_nt23,32.58
nt16_np17,np14_nt22,20.23
nt16_np17,np15_nt21,6.98
nt16_np17,np16_nt21,21.75
nt16_np17,np18_nt11,2.9
nt16_np17,np19_nt6,3.28
nt16_np17,np1_nt1,36.37
nt16_np17,np20_nt1,4.27
nt16_np17,np2_nt2,17.01
nt16_np17,np3_nt3,2.23
nt16_np17,np4_nt4,7.05
nt16_np17,np5_nt5,9.63
nt16_np17,np6_nt5,4.65
nt16_np17,np7_nt10,21.4
nt16_np17,np8_nt15,19.63
nt16_np17,np9_nt20,7.07
nt1_np1,np10_nt25,3.65
nt1_np1,np11_nt25,14.7
nt1_np1,np12_nt24,40.02
nt1_np1,np13_nt23,18.88
nt1_np1,np14_nt22,21.71
nt1_np1,np15_nt21,1.94
nt1_np1,np17_nt16,7.5
nt1_np1,np18_nt11,1.38
nt1_np1,np19_nt6,12.7
nt1_np1,np20_nt1,43.19
nt1_np1,np2_nt2,35.64
nt1_np1,np3_nt3,54.21
nt1_np1,np4_nt4,7.49
nt1_np1,np5_nt5,13.73
nt1_np1,np6_nt5,20.67
nt1_np1,np7_nt10,14.31
nt1_np1,np8_nt15,9.11
nt1_np1,np9_nt20,11.45
nt1_np20,np10_nt25,9.1
nt1_np20,np11_nt25,26.7
nt1_np20,np12_nt24,5.15
nt1_np20,np13_nt23,9.23
nt1_np20,np14_nt22,2.5
nt1_np20,np15_nt21,12.24
nt1_np20,np16_nt21,14.33
nt1_np20,np17_nt16,22.18
nt1_np20,np18_nt11,6.5
nt1_np20,np19_nt6,7.45
nt1_np20,np1_nt1,3.43
nt1_np20,np3_nt3,21.54
nt1_np20,np4_nt4,18.52
nt1_np20,np5_nt5,17.73
nt1_np20,np6_nt5,21.61
nt1_np20,np7_nt10,43.73
nt1_np20,np8_nt15,1.24
nt1_np20,np9_nt20,4.79
nt20_np9,np10_nt25,9.85
nt20_np9,np11_nt25,12.04
nt20_np9,np12_nt24,13.88
nt20_np9,np13_nt23,51.65
nt20_np9,np14_nt22,1.74
nt20_np9,np15_nt21,26.27
nt20_np9,np16_nt21,3.28
nt20_np9,np17_nt16,4.57
nt20_np9,np18_nt11,9.57
nt20_np9,np19_nt6,3.9
nt20_np9,np1_nt1,52.61
nt20_np9,np20_nt1,12.87
nt20_np9,np2_nt2,43.79
nt20_np9,np3_nt3,86.54
nt20_np9,np4_nt4,19.07
nt20_np9,np5_nt5,7.56
nt20_np9,np6_nt5,52.06
nt20_np9,np8_nt15,11.93
nt21_np15,np10_nt25,7.69
nt21_np15,np11_nt25,40.41
nt21_np15,np12_nt24,14.69
nt21_np15,np14_nt22,38.65
nt21_np15,np16_nt21,17.17
nt21_np15,np17_nt16,37.71
nt21_np15,np18_nt11,11.12
nt21_np15,np19_nt6,4.03
nt21_np15,np1_nt1,4.67
nt21_np15,np20_nt1,4.85
nt21_np15,np2_nt2,40.65
nt21_np15,np3_nt3,4.96
nt21_np15,np4_nt4,9.21
nt21_np15,np5_nt5,7.94
nt21_np15,np6_nt5,4.39
nt21_np15,np7_nt10,19.81
nt21_np15,np8_nt15,12.31
nt21_np15,np9_nt20,39.94
nt21_np16,np10_nt25,7.31
nt21_np16,np11_nt25,6.06
nt21_np16,np12_nt24,6.93
nt21_np16,np13_nt23,3.21
nt21_np16,np14_nt22,13.65
nt21_np16,np15_nt21,11.76
nt21_np16,np17_nt16,22.94
nt21_np16,np18_nt11,25.72
nt21_np16,np19_nt6,28.52
nt21_np16,np1_nt1,40.51
nt21_np16,np20_nt1,9.72
nt21_np16,np2_nt2,3.04
nt21_np16,np3_nt3,14.78
nt21_np16,np4_nt4,8.52
nt21_np16,np5_nt5,30.58
nt21_np16,np6_nt5,16.71
nt21_np16,np7_nt10,20.92
nt21_np16,np8_nt15,4.67
nt21_np16,np9_nt20,22.9
nt22_np14,np10_nt25,17.13
nt22_np14,np11_nt25,18.47
nt22_np14,np12_nt24,11.4
nt22_np14,np13_nt23,21.22
nt22_np14,np15_nt21,51.09
nt22_np14,np16_nt21,38.17
